
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
            908.38 3          908.391 24    21  7                                                                                   
    (1      928.43 3          928.465 24    17  4                                                                                   
          930.622 17          930.625 16    15  3                                                                                   
            944.06 5            944.06 5    19  5                                                                                   
          945.329 17          945.325 13    11  2                                                                                   
            947.42 4            947.43 4    26  9                                                                                   
            963.58 3          963.559 19    28 10                                                                                   
           968.75 22           968.76 21   130100                                                                                   
    (2     972.51 15           972.84 12   106 49                                                                                   
           1002.10 8           1002.12 8    22  6                                                                                   
    (1     1005.70 4         1005.758 14    12  1                                                                                   
         1023.645 24         1023.653 23   123 73                                                                                   
          1059.51 10          1059.48 10   125 76                                                                                   
          1069.93 11           1070.00 5    66 23                                                                                   
           1075.68 7           1075.68 7   129 87                                                                                   
         1092.358 22         1092.359 22   118 60                                                                                   
           1103.77 3           1103.77 3    20  3                                                                                   
           1117.93 5           1117.91 4    43 11                                                                                   
    (2    1134.76 13           1135.05 8    55 17                                                                                   
            1146.1 3          1146.11 22    45 12                                                                                   
          1158.86 15          1159.00 11    82 26                                                                                   
            1176.9 3          1176.72 21    91 33                                                                                   
           1195.70 8           1195.72 8   137 97                                                                                   
    (1    1206.67 12         1206.474 24    28  7                                                                                   
    (2     1207.97 7         1207.793 20    15  1                                                                                   
          1215.80 14           1215.84 5    48 12                                                                                   
          1216.45 18          1216.37 16    16  1                                                                                   
           1226.80 4           1226.80 4    87 27                                                                                   
    (1   1238.575 22         1238.610 13    23  3                                                                                   
           1246.75 8           1246.73 8   109 40                                                                                   
          1262.56 10           1262.64 4    35  8                                                                                   
          1271.92 10           1271.89 6    61 17                                                                                   
    (2     1274.28 3         1274.357 24    36  8                                                                                   
    (1     1277.50 3         1277.535 20    24  4                                                                                   
           1283.28 3         1283.274 22    18  2                                                                                   
           1334.74 5           1334.76 5   113 42                                                                                   
    (2      1341.2 3         1341.818 25    18  1                                                                                   
    (2     1362.51 6         1362.663 24    25  3                                                                                   
           1382.43 7           1382.42 7    92 25                                                                                   
           1419.37 7           1419.33 6    57 11                                                                                   
          1424.49 13          1424.49 13     0  0                                                                                   
          1429.33 14          1429.32 14   139 96                                                                                   
    (1     1472.03 3         1472.081 19    28  3                                                                                   
          1505.01 18          1505.12 15    70 14                                                                                   
         1507.368 23         1507.353 18    24  2                                                                                   
         1515.769 14         1515.776 11    23  1                                                                                   
          1539.18 17          1539.24 11    41  6                                                                                   
    (1    1542.53 25          1542.12 10   123 47                                                                                   
          1545.01 12          1545.01 12   122 45                                                                                   
           1553.70 6         1553.698 22    32  3                                                                                   
           1556.11 8           1556.14 8    54 10                                                                                   
    (3      1612.3 3          1611.36 14   120 39                                                                                   
          1639.37 14          1639.48 13    77 13                                                                                   
          1647.08 21          1647.02 19    37  3                                                                                   
          1651.07 13          1651.05 12    27  2                                                                                   
          1677.92 20          1677.82 11   115 29                                                                                   
    (1     1690.77 4         1690.702 20    28  2                                                                                   
           1692.81 4           1692.80 4    38  4                                                                                   
           1704.24 7           1704.25 7   139 80                                                                                   
           1774.65 3           1774.64 3    33  2                                                                                   
    (1    1785.97 18          1786.24 14   120 31                                                                                   
            1787.4 3           1787.54 3    29  1                                                                                   
           1799.91 3           1799.92 3    30  1                                                                                   
    (2    1808.40 18           1808.83 8    31  1                                                                                   
    (1    1809.56 24           1809.09 8    55  7                                                                                   
           1818.57 5           1818.60 4    35  2                                                                                   
    (3   1830.793 21         1830.862 19    32  1                                                                                   
          1839.69 11          1839.73 11   119 28                                                                                   
           1845.01 9           1845.08 5    44  4                                                                                   
         1852.709 25         1852.715 24    34  1                                                                                   
