  60CO    59CO(N,G), (POL N,G) E=TH     1984KO29                                 
  
         EL                IN             OUT          NET       (+NORM. UNC.)
        3065.6 4        0.014 7       0.119 23       0.105 24       0.105 24    
        3077.0 3       0.018 10        0.023 5       0.005 11       0.005 11    
      3084.66 20        0.055 5        0.035 6       -0.020 8       -0.020 8    
      3096.25 11       0.187 12        0.038 5      -0.149 13      -0.149 13    
      3114.58 19       0.119 10        0.061 6      -0.058 12      -0.058 12    
      3121.42 19       0.078 12        0.082 9         0.0            0.0       
      3132.25 23        0.022 3        0.040 6        0.018 7        0.018 7    
      3141.47 12       0.091 13        0.041 4      -0.050 14      -0.050 14    
      3155.20 20        0.039 6       0.122 11       0.083 13       0.083 13    
      3162.88 18        0.105 8        0.132 7       0.027 11       0.027 11    
        3185.6 4       0.008 10        0.050 7       0.042 12       0.042 12    
      3191.00 12        0.061 6        0.049 4       -0.012 7       -0.012 7    
      3203.43 18        0.036 5       0.198 11       0.162 12       0.162 12    
      3216.52 19        0.063 6       0.105 13       0.042 14       0.042 14    
        3238.6 3        0.032 5         0.0          -0.032 5       -0.032 5    
      3279.32 14        0.082 9        0.061 4      -0.021 10      -0.021 10    
      3283.88 13       0.255 13       0.218 12      -0.037 18      -0.037 18    
      3336.25 24        0.128 8       0.112 22      -0.016 23      -0.016 23    
      3343.15 21       0.086 21        0.086 6         0.0            0.0       
      3415.79 16        0.048 7        0.155 9       0.107 11       0.107 11    
      3459.87 18        0.208 9        0.028 6      -0.180 11      -0.180 11    
      3465.64 12       0.272 10        0.045 6      -0.227 12      -0.227 12    
      3496.99 24       0.095 17         0.0         -0.095 17      -0.095 17    
      3514.99 24        0.057 6        0.079 6        0.022 9        0.022 9    
      3562.06 12       0.272 11       0.070 14      -0.202 18      -0.202 18    
      3589.01 12        0.046 6        0.065 4        0.019 7        0.019 7    
      3594.89 17        0.092 7       0.185 10       0.093 12       0.093 12    
      3651.09 16        0.129 8       0.067 16      -0.062 17      -0.062 17    
      3696.87 22        0.029 6        0.054 4        0.025 7        0.025 7    
       3742.71 7       0.415 13         0.42 3         0.0            0.0       
      3797.86 18       0.039 11        0.092 9       0.053 14       0.053 14    
      3827.79 21        0.080 9        0.070 7      -0.010 12      -0.010 12    
        3872.2 3        0.059 8        0.024 5       -0.035 9       -0.035 9    
        3916.4 3        0.049 6       0.053 15         0.0            0.0       
        3929.6 3        0.064 7        0.038 6       -0.026 9       -0.026 9    
      4012.01 16        0.050 5        0.099 7        0.049 9        0.049 9    
      4100.83 19        0.026 5        0.108 9       0.082 10       0.082 10    
      4111.72 14       0.210 10        0.038 6      -0.172 12      -0.172 12    
      4156.65 14        0.104 7         0.0          -0.104 7       -0.104 7    
        4193.7 4        0.045 7       0.088 20       0.043 21       0.043 21    
        4212.8 4        0.058 7       0.047 16      -0.011 17      -0.011 17    
      4253.79 19        0.089 8        0.069 7      -0.020 11      -0.020 11    
        4270.0 3       0.033 17       0.064 16       0.031 23       0.031 23    
      4291.63 13        0.020 5        0.168 9       0.148 10       0.148 10    
      4298.30 16        0.089 6       0.080 19      -0.009 20      -0.009 20    
      4513.85 17        0.075 7        0.166 9       0.091 12       0.091 12    
        4538.0 4        0.045 7        0.033 6       -0.012 9       -0.012 9    
      4600.96 19       0.063 18        0.127 9       0.064 20       0.064 20    
      4751.92 18        0.103 7       0.302 14       0.199 16       0.199 16    
      4799.96 15        0.076 7       0.120 11       0.044 13       0.044 13    
      4811.35 25         0.11 3        0.036 6        -0.07 3        -0.07 3    
      4875.32 21        0.040 5        0.036 5       -0.004 7       -0.004 7    
       7492.05 3         0.0            32.4 5         32.4 5         32.4 5    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          38.4 6         38.4 6    
             TOTAL UNPLACED GAMMA INTENSITY =          2.33 8                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
