  60CO    59CO(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
        3076.6 4       0.018 10        0.023 5       0.005 11       0.005 11    
      3084.96 12        0.055 5        0.035 6       -0.020 8       -0.020 8    
      3095.92 11       0.187 12        0.038 5      -0.149 13      -0.149 13    
      3114.48 13       0.119 10        0.061 6      -0.058 12      -0.058 12    
      3121.04 13       0.078 12        0.082 9         0.0            0.0       
      3132.21 15        0.022 3        0.040 6        0.018 7        0.018 7    
      3141.45 13       0.091 13        0.041 4      -0.050 14      -0.050 14    
      3154.92 12        0.039 6       0.122 11       0.083 13       0.083 13    
      3162.95 12        0.105 8        0.132 7       0.027 11       0.027 11    
      3185.50 23         0.0           0.050 7        0.050 7        0.050 7    
      3191.07 10        0.061 6        0.049 4       -0.012 7       -0.012 7    
      3203.51 10        0.036 5       0.228 13       0.192 14       0.192 14    
      3216.73 14        0.063 6       0.105 13       0.042 14       0.042 14    
      3238.88 17        0.032 5         0.0          -0.032 5       -0.032 5    
      3279.15 12        0.082 9        0.061 4       -0.021 *       -0.021 *    
       3283.81 7       0.255 13       0.218 12      -0.037 18      -0.037 18    
        3338.4 4        0.128 8       0.073 13      -0.055 15      -0.055 15    
      3342.94 17       0.086 21        0.086 6         0.0            0.0       
      3415.21 11        0.048 7       0.223 12       0.175 14       0.175 14    
      3459.58 10        0.208 9        0.051 9      -0.157 12      -0.157 12    
       3465.38 7       0.272 10        0.045 6      -0.227 12      -0.227 12    
      3497.04 17         0.0            0.0            0.0            0.0       
      3515.52 17        0.057 6        0.079 6        0.022 9        0.022 9    
      3562.37 13       0.272 11         0.42 3         0.15 3         0.15 3    
      3588.90 10        0.046 6        0.065 4        0.019 7        0.019 7    
      3595.12 12        0.092 7       0.185 10       0.093 12       0.093 12    
       3650.74 9        0.129 8        0.015 4       -0.114 9       -0.114 9    
      3696.80 15        0.029 6        0.054 4        0.025 7        0.025 7    
       3742.66 6       0.415 13         0.39 3        -0.02 3        -0.02 3    
      3797.71 14       0.097 16        0.092 9         0.0            0.0       
      3827.25 14        0.080 9        0.070 7      -0.010 12      -0.010 12    
        3872.1 3        0.059 8        0.024 5       -0.035 9       -0.035 9    
      3916.32 21        0.049 6        0.021 6       -0.028 9       -0.028 9    
      3929.02 17        0.064 7        0.038 6       -0.026 9       -0.026 9    
      4011.74 15        0.050 5        0.099 7        0.049 9        0.049 9    
      4100.65 13        0.026 5        0.108 9       0.082 10       0.082 10    
      4111.67 24       0.210 10        0.038 6      -0.172 12      -0.172 12    
       4156.43 9        0.104 7         0.0          -0.104 7       -0.104 7    
      4192.96 21        0.045 7        0.028 6       -0.017 9       -0.017 9    
        4212.6 3        0.058 7         0.0          -0.058 7       -0.058 7    
      4253.65 13        0.089 8        0.069 7      -0.020 11      -0.020 11    
      4270.04 23         0.0            0.0            0.0            0.0       
      4291.29 10        0.020 5        0.168 9       0.148 10       0.148 10    
      4298.04 10        0.089 6         0.0          -0.089 6       -0.089 6    
       4514.09 9        0.075 7        0.166 9       0.091 12       0.091 12    
        4537.9 3        0.045 7        0.033 6       -0.012 9       -0.012 9    
      4600.75 13         0.0           0.127 9        0.127 9        0.127 9    
      4751.39 10        0.103 7       0.282 12       0.179 14       0.179 14    
      4799.74 10        0.076 7       0.120 11       0.044 13       0.044 13    
        4812.6 4         0.0           0.036 6        0.036 6        0.036 6    
      4874.52 17        0.040 5        0.036 5       -0.004 7       -0.004 7    
     7491.623 21         0.0            32.0 5         32.0 5         32.0 5    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          37.0 5         37.0 5    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
