  60CO    59CO(N,G), (POL N,G) E=TH     1984KO29                  93ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
      3077.09 22       0.079 11       0.187 22       0.108 25       0.108 25    
      3084.72 19       0.155 15       0.096 17      -0.059 23      -0.059 23    
       3096.27 7       0.455 18         0.57 3         0.12 4         0.12 4    
      3114.86 15       0.385 18         0.18 3        -0.21 4        -0.21 4    
      3121.56 18       0.255 15         0.25 4         0.0            0.0       
        3132.2 3        0.048         0.050 17         0.0            0.0       
       3141.54 9       0.351 14       0.183 15      -0.168 21      -0.168 21    
      3155.51 17       0.112 11         0.52 4         0.40 5         0.40 5    
      3163.00 13       0.341 15        0.330 9      -0.011 18      -0.011 18    
        3186.4 4       0.018 14       0.189 21       0.172 25       0.172 25    
       3191.07 9       0.183 15        0.127 8      -0.056 17      -0.056 17    
      3203.30 12       0.108 11         0.65 4         0.55 4         0.55 4    
      3216.39 14       0.201 13         0.53 3         0.33 4         0.33 4    
      3238.59 21       0.134 12         0.0         -0.134 12      -0.134 12    
      3279.37 12         0.30 3        0.143 9        -0.16 3        -0.16 3    
      3284.03 10         0.83 3         0.83 6         0.0            0.0       
      3336.51 14         0.48 3         0.38 3        -0.11 4        -0.11 4    
      3343.08 16       0.220 23       0.219 22         0.0            0.0       
      3415.73 10       0.194 14       0.402 17       0.208 22       0.208 22    
      3459.51 12         0.74 3       0.201 20        -0.54 4        -0.54 4    
      3465.42 10         0.91 3       0.097 13        -0.82 4        -0.82 4    
      3497.04 17       0.218 15         0.0         -0.218 15      -0.218 15    
      3514.98 18       0.234 18       0.197 19        -0.04 3        -0.04 3    
       3562.26 9         0.99 3         1.07 3         0.08 4         0.08 4    
      3589.04 11       0.207 22       0.208 17         0.0            0.0       
      3595.13 15       0.271 23         0.41 7         0.14 7         0.14 7    
      3650.72 12       0.413 18       0.119 19        -0.29 3        -0.29 3    
      3696.92 22       0.130 13       0.195 15       0.065 20       0.065 20    
       3742.75 6         1.53 6         1.17 4        -0.36 7        -0.36 7    
      3798.30 14       0.221 15         0.25 3         0.03 3         0.03 3    
      3827.78 19       0.248 21       0.244 20         0.0            0.0       
        3872.2 3       0.212 18       0.121 18      -0.091 25      -0.091 25    
        3915.9 3       0.173 15       0.101 22        -0.07 3        -0.07 3    
        3929.8 3       0.175 15       0.044 22        -0.13 3        -0.13 3    
      4012.12 14       0.174 19       0.187 11       0.013 22       0.013 22    
      4100.98 19       0.142 17       0.337 22         0.19 3         0.19 3    
