date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:28	13868/13868	---M--	200	added ('OK')	text/html	etag:%22362c-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/27MG_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/27MG_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:28	60688/60688	---M--	200	added ('OK')	text/html	etag:%22ed10-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/26MG_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/26MG_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:29	68891/68891	---M--	200	added ('OK')	text/html	etag:%2210d1b-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/28AL_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/28AL_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:29	18049/18049	---M--	200	added ('OK')	text/html	etag:%224681-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/29SI_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/29SI_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:29	30024/30024	---M--	200	added ('OK')	text/html	etag:%227548-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/30SI_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/30SI_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:30	10997/10997	---M--	200	added ('OK')	text/html	etag:%222af5-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/31SI_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/31SI_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:30	55769/55769	---M--	200	added ('OK')	text/html	etag:%22d9d9-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/32P_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/32P_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:31	32480/32480	---M--	200	added ('OK')	text/html	etag:%227ee0-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/33S_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/33S_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:31	18459/18459	---M--	200	added ('OK')	text/html	etag:%22481b-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/35S_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/35S_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:31	58884/58884	---M--	200	added ('OK')	text/html	etag:%22e604-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/34S_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/34S_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:32	7308/7308	---M--	200	added ('OK')	text/html	etag:%221c8c-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/37S_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/37S_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:32	106529/106529	---M--	200	added ('OK')	text/html	etag:%221a021-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/36CL_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/36CL_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:32	9834/9834	---M--	200	added ('OK')	text/html	etag:%22266a-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/37AR_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/37AR_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:33	22805/22805	---M--	200	added ('OK')	text/html	etag:%225915-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/38CL_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/38CL_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:34	11178/11178	---M--	200	added ('OK')	text/html	etag:%222baa-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/41AR_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/41AR_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:34	99637/99637	---M--	200	added ('OK')	text/html	etag:%2218535-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/40K_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/40K_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
