  41K     40K(N,G) E=THERMAL            84KR05                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
          7000         1.116 22         0.48 3        -0.64 4        -0.64 4    
          7000           0.91 6        1.47 19        0.56 20        0.56 20    
          7000           0.69 4         0.85 4         0.16 6         0.16 6    
          7400           0.44 4         0.65 4         0.21 6         0.21 6    
          7600           0.58 6         0.49 5        -0.08 8        -0.08 8    
          7700           0.68 7         1.25 4         0.58 8         0.58 9    
          7900          1.00 10         0.71 3       -0.29 11       -0.29 11    
          8200         0.253 25         0.48 3         0.23 4         0.23 4    
          8200           0.88 9         1.11 5         0.23 *        0.23 10    
          9700         0.089 13       0.081 10      -0.009 17      -0.009 17    
     10095.18 10         0.0            70.0 7         70.0 7           70 5    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           99 16          99 18    
             TOTAL UNPLACED GAMMA INTENSITY =        14.46 20                   
              NORMALIZATION UNCERTAINTY (%) =   7.5949                          
