  42K     41K(N,G) E=THERMAL            85KR06                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
       4154.74 5       0.0030 6       0.0037 4       0.0008 7       0.0008 7    
       4179.43 6       0.0022 5     0.00140 25      -0.0008 5      -0.0008 5    
       4259.16 6       0.0017 3       0.028 24       0.026 24       0.026 24    
       4389.80 8       0.0039 7       0.0023 3      -0.0015 8      -0.0015 8    
       4416.61 3        0.018 3      0.0153 11       -0.002 4       -0.002 4    
       4428.26 3      0.0119 22       0.0068 8     -0.0051 24     -0.0051 24    
       4443.14 4       0.0030 6       0.0030 6         0.0            0.0       
       4481.07 4      0.0110 21       0.0079 7     -0.0031 22     -0.0031 22    
       4556.67 4      0.0074 18       0.0071 8         0.0            0.0       
       4576.29 4      0.0051 12       0.025 19       0.020 19       0.020 19    
       4590.58 3      0.0059 15       0.010 16         0.0            0.0       
       4612.80 5      0.0034 16        0.005 3         0.0            0.0       
       4660.68 6       0.0037 6      0.0028 13     -0.0009 15     -0.0009 15    
       4715.35 9       0.0013 6      0.0016 10         0.0            0.0       
       4748.47 7       0.0016 6      0.0039 23      0.0023 24      0.0023 24    
       4778.08 5       0.0021 9      0.0038 22      0.0017 24      0.0017 24    
       4806.84 3        0.015 6        0.010 5       -0.005 8       -0.005 8    
       4853.60 3        0.009 4        0.005 3       -0.004 5       -0.004 5    
       4877.27 4       0.0018 7      0.0027 18         0.0            0.0       
       4903.64 7       0.0018 7      0.0032 22      0.0014 23      0.0014 23    
       4938.94 6       0.0018 7      0.0037 18      0.0019 20      0.0019 20    
       4942.98 3      0.0027 12      0.0029 23         0.0            0.0       
       4959.73 7      0.0016 12      0.0015 10         0.0            0.0       
       5003.00 4      0.0046 19        0.004 3         0.0            0.0       
       5064.01 4      0.0042 18        0.006 3        0.002 4        0.002 4    
       5081.29 6        0.007 3      0.0027 14       -0.004 3       -0.004 3    
       5097.04 3       0.0046 9      0.0046 23         0.0            0.0       
       5179.15 4       0.0018 4      0.0016 13         0.0            0.0       
       5246.64 4      0.0064 12      0.0036 21     -0.0028 24     -0.0028 24    
       5318.97 5         0.06 5      0.0029 15        -0.06 5        -0.06 5    
       5476.96 8       0.0009 6       0.0008 5         0.0            0.0       
       5630.32 7         0.0          0.0010 7       0.0010 7       0.0010 7    
       5697.23 4      0.0019 15       0.0036 5      0.0017 16      0.0017 16    
       5710.67 5        0.005 3       0.0024 3       -0.002 3       -0.002 3    
       5759.71 4      0.0021 16       0.0026 4         0.0            0.0       
       5789.72 3        0.010 7       0.0023 6       -0.008 8       -0.008 8    
       5846.61 7     0.00058 16     0.00073 16      1.5E-0423      1.5E-0423    
       5953.49 3      0.0042 10       0.0023 3     -0.0019 11     -0.0019 11    
       5978.32 4       0.0016 5       0.0035 4       0.0018 6       0.0018 6    
     7533.822 10         0.0            1.37 5         1.37 5         1.37 5    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         1.64 12        1.64 12    
             TOTAL UNPLACED GAMMA INTENSITY =         8.17 11                   
              NORMALIZATION UNCERTAINTY (%) =    .0673                          
