  46SC    45SC(N,G) E=THERMAL           82TI02                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
        3708.4 5        0.059 6       0.132 16       0.073 17       0.073 17    
      3721.37 20        0.034 3        0.056 8        0.022 9        0.022 9    
      3766.87 10       0.177 15         0.19 3         0.0            0.0       
       3785.69 8       0.498 24         0.48 4        -0.02 4        -0.02 4    
      3813.74 20        0.043 5        0.044 9         0.0            0.0       
      3841.08 11       0.092 13       0.056 14      -0.036 19      -0.036 19    
      3868.62 10       0.094 12       0.152 23         0.06 3         0.06 3    
      3876.75 13       0.128 13       0.198 25         0.07 3         0.07 3    
       3937.30 9       0.078 11         0.08 3         0.0            0.0       
        3945.3 3        0.034 5        0.023 5       -0.011 7       -0.011 7    
      4039.63 10       0.171 16       0.165 18         0.0            0.0       
      4074.67 21       0.054 10        0.041 6      -0.013 12      -0.013 12    
      4081.45 18       0.112 14       0.148 14       0.036 20       0.036 20    
      4103.74 21       0.058 12        0.020 5      -0.038 13      -0.038 13    
       4131.91 8       0.059 13         0.0         -0.059 13      -0.059 13    
      4142.57 10       0.089 15       0.114 20       0.025 25       0.025 25    
      4261.65 11       0.149 15       0.159 17       0.010 23       0.010 23    
      4294.62 13       0.106 13       0.108 20         0.0            0.0       
      4319.08 13       0.065 12       0.079 22       0.014 25       0.014 25    
       4383.06 8       0.127 15         0.12 3         0.0            0.0       
      4432.76 15       0.047 10       0.053 21         0.0            0.0       
      4447.79 17       0.064 13       0.036 15      -0.028 20      -0.028 20    
      4467.23 21       0.073 11       0.086 16       0.013 20       0.013 20    
      4522.82 10       0.096 17       0.196 19       0.100 25       0.100 25    
      4528.72 16        0.073 9       0.112 21       0.039 23       0.039 23    
      4587.19 17         0.11 3         0.25 3         0.14 4         0.14 4    
       4606.44 9         0.07 3       0.135 18         0.07 4         0.07 4    
       4694.58 9       0.079 19       0.121 14       0.042 24       0.042 24    
       4701.03 8         0.18 3         0.25 4         0.07 5         0.07 5    
      4719.56 14       0.059 13       0.065 13         0.0            0.0       
      4754.25 10       0.091 17       0.109 18       0.018 25       0.018 25    
      4761.08 12       0.086 17         0.12 5         0.04 5         0.04 5    
      4787.22 13       0.066 12       0.102 21       0.036 24       0.036 24    
        4872.8 3        0.036 5       0.050 12       0.014 13       0.014 13    
      4882.52 12       0.088 11       0.100 21       0.012 24       0.012 24    
       4961.45 8       0.125 13         0.13 4         0.0            0.0       
        5049.0 3        0.054 8        0.068 9       0.014 12       0.014 12    
      5092.90 12         0.06 3       0.063 11         0.0            0.0       
      5302.16 19       0.156 15         0.22 3         0.07 3         0.07 3    
      5346.26 13       0.066 13       0.136 16       0.070 21       0.070 21    
        5541.5 3        0.026 9       0.036 12       0.010 15       0.010 15    
     8760.745 20         0.0          19.29 24       19.29 24       19.29 24    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          26.3 4         26.3 4    
             TOTAL UNPLACED GAMMA INTENSITY =         7.56 24                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
