  46SC    45SC(N,G) E=THERMAL           82TI02                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
      3721.42 20        0.139 9         0.25 3         0.11 3         0.11 3    
      3766.61 10         0.83 6        0.84 14         0.0            0.0       
       3785.28 8        2.45 13        2.53 17        0.07 22        0.07 22    
      3813.70 22       0.176 19         0.18 3         0.0            0.0       
      3841.11 14         0.45 3         0.23 5        -0.22 6        -0.22 6    
      3868.65 12         0.56 4         0.62 7         0.06 8         0.06 8    
      3876.79 13         0.57 4         0.72          0.15 10        0.15 10    
      3937.33 11         0.42 3        0.34 13       -0.07 13       -0.07 13    
        3945.3 3       0.139 19       0.093 19        -0.05 3        -0.05 3    
       4039.58 9         0.85 6         0.92 6         0.06 8         0.06 8    
      4074.67 25         0.22 4       0.167 19        -0.06 4        -0.06 4    
        4081.3 3         0.50 5         0.76 9        0.26 10        0.26 10    
        4103.7 3         0.28 4       0.083 19        -0.19 4        -0.19 4    
       4131.99 9         0.32 3         0.0           -0.32 3        -0.32 3    
      4142.62 10         0.46 4         0.45 5         0.0            0.0       
       4261.44 9         0.64 4         0.67 5         0.03 7         0.03 7    
      4294.65 14         0.37 3        0.50 13        0.13 13        0.13 13    
      4319.11 16         0.27 3         0.32 5         0.06 6         0.06 6    
       4383.08 9         0.48 3         0.48 7         0.0            0.0       
      4432.79 18         0.29 3         0.21 5        -0.07 6        -0.07 6    
      4447.83 21         0.22 3         0.15 3        -0.07 4        -0.07 4    
      4467.08 14         0.33 3         0.31 3        -0.02 4        -0.02 4    
      4522.75 11         0.54 4         0.92 7         0.38 8         0.38 8    
      4528.75 17         0.30 3         0.56 7         0.26 8         0.26 8    
      4586.87 20         0.68 6         1.07 6         0.40 9         0.40 9    
       4606.41 9         0.42 4         0.59 4         0.18 5         0.18 5    
      4694.59 11         0.47 3         0.49 5         0.0            0.0       
       4701.06 8         0.87 5        1.15 15        0.28 15        0.28 15    
      4719.58 17         0.26 3         0.27 5         0.0            0.0       
      4754.27 10         0.41 3         0.62 6         0.21 7         0.21 7    
      4761.17 13       0.306 19        0.52 13        0.21 13        0.21 13    
      4787.24 11       0.306 19         0.47 6         0.17 7         0.17 7    
        4872.7 3       0.148 19         0.20 4         0.06 4         0.06 4    
      4882.60 12         0.57 4        0.47 10       -0.10 11       -0.10 11    
      4961.48 10         0.55 4        0.54 15         0.0            0.0       
      5049.62 19         0.27 3         0.23 3        -0.04 4        -0.04 4    
      5092.98 11         0.31 3         0.37 3         0.06 4         0.06 4    
      5301.74 11         0.82 6        1.00 11        0.18 13        0.18 13    
      5346.20 14         0.39 5         0.54 4         0.15 6         0.15 6    
        5541.5 4         0.25 5         0.15 5        -0.10 7        -0.10 7    
     8760.797 22         0.0            91.9 8         91.9 8         91.9 8    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           100 5          100 5    
             TOTAL UNPLACED GAMMA INTENSITY =         7.56 24                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
