  64CU    63CU(N,G), (POL N,G) E=TH     1983DE28                                 
  
         EL                IN             OUT          NET       (+NORM. UNC.)
       3352.77 7       0.0162 7      0.0184 14      0.0023 16      0.0023 16    
      3412.04 12      0.0252 10      0.0192 18     -0.0059 21     -0.0059 21    
      3440.09 13       0.0247 9      0.0132 12     -0.0116 14     -0.0116 14    
      3465.62 15       0.0088 7      0.0250 12      0.0162 14      0.0162 14    
        3474.9 3      0.0136 16      0.0173 12      0.0038 20      0.0038 20    
        3493.1 3       0.0072 6      0.0049 12     -0.0023 13     -0.0023 13    
      3511.07 18       0.0160 7      0.0189 17      0.0029 19      0.0029 19    
      3524.53 17       0.0068 7       0.0046 3      -0.0022 8      -0.0022 8    
       3596.07 8        0.068 7      0.0555 23       -0.012 8       -0.012 8    
      3603.23 24      0.0150 12      0.0195 15      0.0045 19      0.0045 19    
      3629.44 15       0.0175 9       0.0147 6     -0.0027 10     -0.0027 10    
      3711.74 19       0.0132 7      0.0042 13     -0.0090 15     -0.0090 15    
      3782.96 12      0.0200 14      0.0139 14     -0.0061 20     -0.0061 20    
      3802.49 18      0.0094 16      0.0145 19      0.0051 24      0.0051 24    
      3826.82 14       0.0130 7        0.030 3        0.017 3        0.017 3    
        3990.8 3         0.0         0.0114 12      0.0114 12      0.0114 12    
      4034.04 13      0.0071 10      0.0301 25        0.023 3        0.023 3    
      4071.53 15      0.0254 16      0.0286 21        0.003 3        0.003 3    
      4140.42 15       0.0104 9      0.0098 10        -0.0           -0.0       
      4264.10 24       0.0032 9      0.0143 16      0.0111 18      0.0111 18    
      4327.54 10      0.0176 20      0.0205 14      0.0029 25      0.0029 25    
        4432.9 3      0.0061 12      0.0226 24        0.016 3        0.016 3    
        4444.1 3      0.0093 12      0.0244 25        0.015 3        0.015 3    
        4549.2 3       0.0072 7       0.0035 6      -0.0038 9      -0.0038 9    
      4763.11 16      0.0143 13      0.0233 20      0.0090 23      0.0090 23    
       7916.14 4         0.0           4.73 11        4.73 11        4.73 11    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         4.75 11        4.75 11    
             TOTAL UNPLACED GAMMA INTENSITY =          12.2 3                   
              NORMALIZATION UNCERTAINTY (%) =    .0415                          
