  64CU    63CU(N,G), (POL N,G) E=TH     1983DE28                                 
  
         EL                IN             OUT          NET       (+NORM. UNC.)
       3596.07 6         1.35 5         0.66 6        -0.69 8        -0.69 8    
      3603.09 15         0.28 3         0.36 4         0.08 5         0.08 5    
       3629.42 8       0.337 18       0.286 11      -0.051 21      -0.051 21    
      3711.92 15       0.254 14       0.080 24        -0.17 3        -0.17 3    
       3783.14 7       0.381 18         0.25 3        -0.13 3        -0.13 3    
      3802.74 13       0.180 12         0.28 3         0.10 3         0.10 3    
      3826.92 10       0.254 14         0.58 4         0.33 4         0.33 4    
      3990.85 21         0.0          0.221 23       0.221 23       0.221 23    
       4034.03 8       0.146 24         0.58 5         0.43 5         0.43 5    
      4071.60 10         0.49 3         0.55 4         0.06 5         0.06 5    
      4140.83 11       0.202 19       0.189 24        -0.01 3        -0.01 3    
      4264.15 17       0.062 14       0.274 25         0.21 3         0.21 3    
      4327.67 12         0.34 4       0.396 25         0.06 5         0.06 5    
      4432.92 23       0.115 24         0.33 4         0.21 5         0.21 5    
      4444.48 17       0.183 24         0.37 4         0.19 4         0.19 4    
      4549.86 21       0.144 16       0.068 11      -0.076 19      -0.076 19    
      4763.39 12       0.278 21         0.45 3         0.17 4         0.17 4    
     7916.418 16         0.0            99.3 8         99.3 8         99.3 8    
 *****************************************************************************
                       TOTAL BETA INTENSITY =            96 5           96 5    
             TOTAL UNPLACED GAMMA INTENSITY =          12.2 3                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
