date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:33	1157/1157	---M--	200	added ('OK')	text/html	etag:%2216fa9a6288ccd1:0%22	http://www.nuclear.csdb.cn/ygybk13.html	E:/My%20Web/2/www.nuclear.csdb.cn/ygybk13.html	(from http://www.nuclear.csdb.cn/index.html)
18:45:33	26159/26159	---M--	200	added ('OK')	image/jpeg	etag:%22f24052b1a730cc1:0%22	http://www.nuclear.csdb.cn/images/photo_04.jpg	E:/My%20Web/2/www.nuclear.csdb.cn/images/photo_04.jpg	(from http://www.nuclear.csdb.cn/index.html)
18:45:33	58188/58188	---M--	200	added ('OK')	image/jpeg	etag:%22805529a689e2d31:0%22	http://www.nuclear.csdb.cn/thu/thu.jpg	E:/My%20Web/2/www.nuclear.csdb.cn/thu/thu.jpg	(from http://www.nuclear.csdb.cn/index.html)
18:45:34	2037/2037	---M--	200	added ('OK')	image/jpeg	etag:%22085b1851f3ca1:0%22	http://www.nuclear.csdb.cn/images/shy_47.jpg	E:/My%20Web/2/www.nuclear.csdb.cn/images/shy_47.jpg	(from http://www.nuclear.csdb.cn/sjkchzh.html)
18:45:34	44/44	---M--	200	added ('OK')	image/gif	etag:%22024136bdedca1:0%22	http://www.nuclear.csdb.cn/images/section23.gif	E:/My%20Web/2/www.nuclear.csdb.cn/images/section23.gif	(from http://www.nuclear.csdb.cn/shjjs.html)
18:45:34	44/44	---M--	200	added ('OK')	image/gif	etag:%2203b7cab88f2ca1:0%22	http://www.nuclear.csdb.cn/images/shy_80.gif	E:/My%20Web/2/www.nuclear.csdb.cn/images/shy_80.gif	(from http://www.nuclear.csdb.cn/shjjs.html)
18:45:34	4409/4409	---M--	200	added ('OK')	text/html	etag:%22276542c82e6d31:0%22	http://www.nuclear.csdb.cn/gybk11.html	E:/My%20Web/2/www.nuclear.csdb.cn/gybk11.html	(from http://www.nuclear.csdb.cn/gybk1.html)
18:45:35	3685/3685	---M--	200	added ('OK')	text/html	etag:%2282f514b5e951cc1:0%22	http://www.nuclear.csdb.cn/gybk12.html	E:/My%20Web/2/www.nuclear.csdb.cn/gybk12.html	(from http://www.nuclear.csdb.cn/gybk1.html)
18:45:35	2900/2900	---M--	200	added ('OK')	text/html	etag:%22b0288fc22b44cc1:0%22	http://www.nuclear.csdb.cn/gybk13.html	E:/My%20Web/2/www.nuclear.csdb.cn/gybk13.html	(from http://www.nuclear.csdb.cn/gybk1.html)
18:45:36	3430/3430	---M--	200	added ('OK')	text/html	etag:%22c5f75446155ccd1:0%22	http://www.nuclear.csdb.cn/yhshc.html	E:/My%20Web/2/www.nuclear.csdb.cn/yhshc.html	(from http://www.nuclear.csdb.cn/shyzhn.html)
18:45:36	53/53	---M--	200	added ('OK')	image/gif	etag:%2204a1a1f81f2ca1:0%22	http://www.nuclear.csdb.cn/images/shy_79.gif	E:/My%20Web/2/www.nuclear.csdb.cn/images/shy_79.gif	(from http://www.nuclear.csdb.cn/sjkml.html)
18:45:41	36991/36991	---M--	200	added ('OK')	image/jpeg	etag:%222a94f8892f35cc1:0%22	http://www.nuclear.csdb.cn/images/photo_11.jpg	E:/My%20Web/2/www.nuclear.csdb.cn/images/photo_11.jpg	(from http://www.nuclear.csdb.cn/sjkml.html)
18:45:41	167505/167505	---M--	200	added ('OK')	image/jpeg	etag:%2258d8f3ceca4ad61:0%22	http://www.nuclear.csdb.cn/images/c32.jpg	E:/My%20Web/2/www.nuclear.csdb.cn/images/c32.jpg	(from http://www.nuclear.csdb.cn/index.html)
18:45:44	42945/42945	---M--	200	added ('OK')	image/jpeg	etag:%22ba229ed92f35cc1:0%22	http://www.nuclear.csdb.cn/images/photo_13.jpg	E:/My%20Web/2/www.nuclear.csdb.cn/images/photo_13.jpg	(from http://www.nuclear.csdb.cn/sjkml.html)
18:45:44	47767/47767	---M--	200	added ('OK')	image/jpeg	etag:%2292559ea62f35cc1:0%22	http://www.nuclear.csdb.cn/images/photo_12.jpg	E:/My%20Web/2/www.nuclear.csdb.cn/images/photo_12.jpg	(from http://www.nuclear.csdb.cn/sjkml.html)
18:45:44	155/155	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Dec%202022%2010:45:45%20GMT	http://www.nuclear.csdb.cn/endf	E:/My%20Web/2/www.nuclear.csdb.cn/endf.84.delayed	(from http://www.nuclear.csdb.cn/endf.htm)
18:45:44	799/799	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2010:45:45%20GMT	http://www.nuclear.csdb.cn/endf/	E:/My%20Web/2/www.nuclear.csdb.cn/endf/index.html	(from http://www.nuclear.csdb.cn/endf.htm)
18:45:45	18669/18669	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2010:45:45%20GMT	http://www.nuclear.csdb.cn/cgi-bin/cs.exe	E:/My%20Web/2/www.nuclear.csdb.cn/cgi-bin/cs.html	(from http://www.nuclear.csdb.cn/endf.htm)
18:45:46	1989/1989	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2010:45:46%20GMT	http://www.nuclear.csdb.cn/cgi-bin/total1.exe	E:/My%20Web/2/www.nuclear.csdb.cn/cgi-bin/total1.html	(from http://www.nuclear.csdb.cn/endf.htm)
18:45:46	2078/2078	---M--	200	added ('OK')	text/html	etag:%22f74b9765b3e6d31:0%22	http://www.nuclear.csdb.cn/thuendf.htm	E:/My%20Web/2/www.nuclear.csdb.cn/thuendf.html	(from http://www.nuclear.csdb.cn/thu/index.html)
18:45:47	3086/3086	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2010:45:47%20GMT	http://www.nuclear.csdb.cn/cgi-bin/thfy1.pl	E:/My%20Web/2/www.nuclear.csdb.cn/cgi-bin/thfy1.html	(from http://www.nuclear.csdb.cn/thu/index.html)
18:45:47	4453/4453	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2010:45:47%20GMT	http://www.nuclear.csdb.cn/cgi-bin/thudecay.pl	E:/My%20Web/2/www.nuclear.csdb.cn/cgi-bin/thudecay.html	(from http://www.nuclear.csdb.cn/thu/index.html)
18:45:48	901/901	---M--	200	added ('OK')	text/plain	etag:%22408ba94292c0c01:0%22	http://www.nuclear.csdb.cn/nuclear/picture/chartt.map	E:/My%20Web/2/www.nuclear.csdb.cn/nuclear/picture/chartt.map	(from http://www.nuclear.csdb.cn/nuclear/index.asp)
18:45:48	49656/49656	---M--	200	added ('OK')	image/jpeg	etag:%227a82e21a3035cc1:0%22	http://www.nuclear.csdb.cn/images/photo_14.jpg	E:/My%20Web/2/www.nuclear.csdb.cn/images/photo_14.jpg	(from http://www.nuclear.csdb.cn/sjkml.html)
18:45:48	108/108	---M--	302	error ('Object%20moved')	text/html	date:Wed,%2014%20Dec%202022%2010:45:48%20GMT	http://www.nuclear.csdb.cn/nuclear/chartt.asp?A=1,38	E:/My%20Web/2/www.nuclear.csdb.cn/nuclear/chartt.8cf79b.delayed	(from http://www.nuclear.csdb.cn/nuclear/index.asp)
18:45:48	4502/4502	---M--	200	added ('OK')	image/gif	etag:%22f099244292c0c01:0%22	http://www.nuclear.csdb.cn/nuclear/picture/chartall.gif	E:/My%20Web/2/www.nuclear.csdb.cn/nuclear/picture/chartall.gif	(from http://www.nuclear.csdb.cn/nuclear/index.asp)
18:45:49	18080/18080	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2010:45:48%20GMT	http://www.nuclear.csdb.cn/nuclear/chart1.asp	E:/My%20Web/2/www.nuclear.csdb.cn/nuclear/chart1.html	(from http://www.nuclear.csdb.cn/nuclear/index.asp)
18:45:49	108/108	---M--	302	error ('Object%20moved')	text/html	date:Wed,%2014%20Dec%202022%2010:45:48%20GMT	http://www.nuclear.csdb.cn/nuclear/chartt.asp?A=21,59	E:/My%20Web/2/www.nuclear.csdb.cn/nuclear/chartt.8e0e4d.delayed	(from http://www.nuclear.csdb.cn/nuclear/index.asp)
18:45:50	26237/26237	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2010:45:50%20GMT	http://www.nuclear.csdb.cn/nuclear/chart2.asp	E:/My%20Web/2/www.nuclear.csdb.cn/nuclear/chart2.html	(from http://www.nuclear.csdb.cn/nuclear/index.asp)
18:45:50	108/108	---M--	302	error ('Object%20moved')	text/html	date:Wed,%2014%20Dec%202022%2010:45:50%20GMT	http://www.nuclear.csdb.cn/nuclear/chartt.asp?A=36,74	E:/My%20Web/2/www.nuclear.csdb.cn/nuclear/chartt.90c0bc.delayed	(from http://www.nuclear.csdb.cn/nuclear/index.asp)
