V - 50N,G    1.0000+00* SIGECN-MASGAM                             2350 3102
 2.5700E+04 8.5662E-02 2.5750E+04 1.4441E-01 2.5800E+04 1.8734E-012350 3102
 2.5850E+04 1.4368E-01 2.5875E+04 1.1149E-01 2.5900E+04 8.4989E-022350 3102
 2.5925E+04 6.5200E-02 2.5950E+04 5.0850E-02 2.5975E+04 4.0436E-022350 3102
 2.6000E+04 3.2779E-02 2.6050E+04 2.2681E-02 2.6075E+04 1.9293E-022350 3102
 2.6100E+04 1.6621E-02 2.6150E+04 1.2745E-02 2.6200E+04 1.0134E-022350 3102
 2.6300E+04 6.9637E-03 2.6350E+04 5.9639E-03 2.6400E+04 5.1974E-032350 3102
 2.6500E+04 4.1214E-03 2.6600E+04 3.4239E-03 2.6800E+04 2.6241E-032350 3102
 2.7000E+04 2.2342E-03 2.7200E+04 2.0646E-03 2.7400E+04 2.0486E-032350 3102
 2.7600E+04 2.1763E-03 2.7800E+04 2.4846E-03 2.8000E+04 3.0810E-032350 3102
 2.8200E+04 4.2367E-03 2.8300E+04 5.2208E-03 2.8400E+04 6.7116E-032350 3102
 2.8450E+04 7.7559E-03 2.8500E+04 9.0970E-03 2.8550E+04 1.0852E-022350 3102
 2.8600E+04 1.3199E-02 2.8650E+04 1.6414E-02 2.8700E+04 2.0935E-022350 3102
 2.8725E+04 2.3890E-02 2.8750E+04 2.7459E-02 2.8775E+04 3.1791E-022350 3102
 2.8800E+04 3.7060E-02 2.8825E+04 4.3455E-02 2.8850E+04 5.1145E-022350 3102
 2.8875E+04 6.0199E-02 2.8900E+04 7.0435E-02 2.8950E+04 9.1144E-022350 3102
 2.9000E+04 1.0092E-01 2.9040E+04 9.4144E-02 2.9080E+04 7.8629E-022350 3102
 2.9120E+04 6.1772E-02 2.9159E+04 4.7576E-02 2.9199E+04 3.6784E-022350 3102
 2.9239E+04 2.8851E-02 2.9279E+04 2.3037E-02 2.9319E+04 1.8731E-022350 3102
 2.9398E+04 1.3013E-02 2.9478E+04 9.5602E-03 2.9558E+04 7.3447E-032350 3102
 2.9638E+04 5.8497E-03 2.9797E+04 4.0337E-03 2.9877E+04 3.4620E-032350 3102
 2.9956E+04 3.0246E-03 3.0116E+04 2.4135E-03 3.0275E+04 2.0215E-032350 3102
 3.0594E+04 1.5841E-03 3.0913E+04 1.3886E-03 3.1231E+04 1.3278E-032350 3102
 3.1550E+04 1.3661E-03 3.1869E+04 1.5030E-03 3.2188E+04 1.7682E-032350 3102
 3.2506E+04 2.2375E-03 3.2825E+04 3.0878E-03 3.2984E+04 3.7741E-032350 3102
 3.3144E+04 4.7625E-03 3.3223E+04 5.4225E-03 3.3303E+04 6.2350E-032350 3102
 3.3383E+04 7.2438E-03 3.3463E+04 8.5055E-03 3.3542E+04 1.0091E-022350 3102
 3.3622E+04 1.2080E-02 3.3702E+04 1.4549E-02 3.3781E+04 1.7518E-022350 3102
 3.3941E+04 2.4179E-02 3.4100E+04 2.7641E-02 3.4463E+04 1.5674E-022350 3102
 3.4644E+04 1.0432E-02 3.4734E+04 8.6744E-03 3.4825E+04 7.3389E-032350 3102
 3.5006E+04 5.5520E-03 3.5188E+04 4.5239E-03 3.5369E+04 3.9682E-032350 3102
 3.5550E+04 3.7497E-03 3.5731E+04 3.8262E-03 3.5913E+04 4.2335E-032350 3102
 3.6094E+04 5.1112E-03 3.6275E+04 6.7989E-03 3.6366E+04 8.1658E-032350 3102
 3.6456E+04 1.0102E-02 3.6547E+04 1.2888E-02 3.6638E+04 1.6937E-022350 3102
 3.6728E+04 2.2734E-02 3.6819E+04 3.0382E-02 3.6909E+04 3.8213E-022350 3102
 3.7000E+04 4.1733E-02 3.7231E+04 2.5498E-02 3.7347E+04 1.7321E-022350 3102
 3.7463E+04 1.2063E-02 3.7578E+04 8.7680E-03 3.7694E+04 6.6505E-032350 3102
 3.7809E+04 5.2388E-03 3.7925E+04 4.2642E-03 3.8156E+04 3.0665E-032350 3102
 3.8388E+04 2.4154E-03 3.8619E+04 2.0588E-03 3.8850E+04 1.8914E-032350 3102
 3.9081E+04 1.8762E-03 3.9313E+04 2.0229E-03 3.9544E+04 2.3978E-032350 3102
 3.9775E+04 3.1802E-03 3.9891E+04 3.8518E-03 4.0006E+04 4.8553E-032350 3102
 4.0122E+04 6.4104E-03 4.0238E+04 8.9285E-03 4.0295E+04 1.0770E-022350 3102
 4.0353E+04 1.3181E-02 4.0411E+04 1.6333E-02 4.0469E+04 2.0382E-022350 3102
 4.0584E+04 3.0655E-02 4.0700E+04 3.6829E-02 4.0776E+04 3.3733E-022350 3102
 4.0851E+04 2.7069E-02 4.0868E+04 2.5579E-02 4.0868E+04 3.9838E-022350 3102
 4.6500E+04 3.5090E-02 7.0000E+04 2.5950E-02 1.0000E+05 2.0290E-022350 3102
 1.5000E+05 1.5750E-02 2.1500E+05 1.2830E-02 3.0000E+05 8.5300E-032350 3102
 4.6500E+05 5.4600E-03 7.0000E+05 4.3000E-03 1.0000E+06 3.1200E-032350 3102
 1.5000E+06 2.3800E-03 2.1500E+06 2.4100E-03 3.0000E+06 2.2900E-032350 3102
 4.6500E+06 1.3800E-03 7.0000E+06 7.4000E-04 1.0000E+07 7.7000E-042350 3102
 1.2000E+07 7.2000E-04 1.3000E+07 6.7000E-04 1.4000E+07 6.3000E-042350 3102
 1.5000E+07 5.6000E-04 1.6000E+07 5.2000E-04 1.7000E+07 4.8000E-042350 3102
 1.8000E+07 4.4000E-04 1.9000E+07 4.1000E-04 2.0000E+07 3.8000E-042350 3102
                                                                  2350 3  0
