S - 33N,G    1.0000+00* JEF-2.2                                   1633 3102
 5.1606E+04 8.7344E-03 5.1613E+04 9.0069E-03 5.1620E+04 9.2925E-031633 3102
 5.1626E+04 9.5911E-03 5.1633E+04 9.9045E-03 5.1640E+04 1.0233E-021633 3102
 5.1647E+04 1.0578E-02 5.1654E+04 1.0939E-02 5.1660E+04 1.1320E-021633 3102
 5.1667E+04 1.1719E-02 5.1674E+04 1.2140E-02 5.1681E+04 1.2582E-021633 3102
 5.1688E+04 1.3048E-02 5.1694E+04 1.3539E-02 5.1701E+04 1.4058E-021633 3102
 5.1708E+04 1.4605E-02 5.1715E+04 1.5183E-02 5.1722E+04 1.5794E-021633 3102
 5.1729E+04 1.6441E-02 5.1735E+04 1.7124E-02 5.1742E+04 1.7850E-021633 3102
 5.1749E+04 1.8617E-02 5.1756E+04 1.9432E-02 5.1763E+04 2.0296E-021633 3102
 5.1769E+04 2.1215E-02 5.1776E+04 2.2189E-02 5.1783E+04 2.3227E-021633 3102
 5.1790E+04 2.4329E-02 5.1797E+04 2.5502E-02 5.1804E+04 2.6749E-021633 3102
 5.1810E+04 2.8079E-02 5.1817E+04 2.9491E-02 5.1824E+04 3.0997E-021633 3102
 5.1831E+04 3.2597E-02 5.1838E+04 3.4300E-02 5.1844E+04 3.6108E-021633 3102
 5.1851E+04 3.8030E-02 5.1858E+04 4.0066E-02 5.1865E+04 4.2223E-021633 3102
 5.1872E+04 4.4499E-02 5.1880E+04 4.7339E-02 5.1888E+04 5.0339E-021633 3102
 5.1896E+04 5.3494E-02 5.1904E+04 5.6788E-02 5.1912E+04 6.0195E-021633 3102
 5.1920E+04 6.3679E-02 5.1928E+04 6.7191E-02 5.1944E+04 7.4079E-021633 3102
 5.1960E+04 8.0235E-02 5.1968E+04 8.2804E-02 5.1976E+04 8.4914E-021633 3102
 5.1984E+04 8.6482E-02 5.1992E+04 8.7444E-02 5.2000E+04 8.7759E-021633 3102
 5.2008E+04 8.7412E-02 5.2016E+04 8.6420E-02 5.2024E+04 8.4824E-021633 3102
 5.2032E+04 8.2691E-02 5.2040E+04 8.0103E-02 5.2048E+04 7.7153E-021633 3102
 5.2056E+04 7.3935E-02 5.2064E+04 7.0540E-02 5.2072E+04 6.7047E-021633 3102
 5.2080E+04 6.3539E-02 5.2096E+04 5.6661E-02 5.2120E+04 4.7244E-021633 3102
 5.2138E+04 4.1264E-02 5.2148E+04 3.8342E-02 5.2157E+04 3.5653E-021633 3102
 5.2167E+04 3.3183E-02 5.2176E+04 3.0920E-02 5.2186E+04 2.8848E-021633 3102
 5.2196E+04 2.6952E-02 5.2205E+04 2.5217E-02 5.2215E+04 2.3629E-021633 3102
 5.2225E+04 2.2175E-02 5.2234E+04 2.0842E-02 5.2244E+04 1.9618E-021633 3102
 5.2254E+04 1.8495E-02 5.2263E+04 1.7462E-02 5.2273E+04 1.6511E-021633 3102
 5.2282E+04 1.5635E-02 5.2292E+04 1.4826E-02 5.2302E+04 1.4079E-021633 3102
 5.2311E+04 1.3388E-02 5.2321E+04 1.2747E-02 5.2331E+04 1.2153E-021633 3102
 5.2350E+04 1.1088E-02 5.2359E+04 1.0611E-02 5.2379E+04 9.7517E-031633 3102
 5.2388E+04 9.3645E-03 5.2408E+04 8.6642E-03 5.2427E+04 8.0506E-031633 3102
 5.2437E+04 7.7724E-03 5.2456E+04 7.2677E-03 5.2475E+04 6.8227E-031633 3102
 5.2494E+04 6.4276E-03 5.2514E+04 6.0780E-03 5.2533E+04 5.7683E-031633 3102
 5.2552E+04 5.4940E-03 5.2571E+04 5.2511E-03 5.2591E+04 5.0366E-031633 3102
 5.2610E+04 4.8475E-03 5.2629E+04 4.6816E-03 5.2648E+04 4.5370E-031633 3102
 5.2668E+04 4.4120E-03 5.2687E+04 4.3052E-03 5.2725E+04 4.1423E-031633 3102
 5.2745E+04 4.0846E-03 5.2783E+04 4.0142E-03 5.2802E+04 4.0011E-031633 3102
 5.2841E+04 4.0194E-03 5.2860E+04 4.0513E-03 5.2899E+04 4.1639E-031633 3102
 5.2918E+04 4.2463E-03 5.2957E+04 4.4700E-03 5.2976E+04 4.6148E-031633 3102
 5.2995E+04 4.7846E-03 5.3014E+04 4.9822E-03 5.3034E+04 5.2111E-031633 3102
 5.3053E+04 5.4752E-03 5.3072E+04 5.7780E-03 5.3082E+04 5.9458E-031633 3102
 5.3101E+04 6.3210E-03 5.3111E+04 6.5297E-03 5.3130E+04 6.9944E-031633 3102
 5.3140E+04 7.2531E-03 5.3159E+04 7.8305E-03 5.3168E+04 8.1527E-031633 3102
 5.3178E+04 8.4999E-03 5.3188E+04 8.8743E-03 5.3197E+04 9.2783E-031633 3102
 5.3207E+04 9.7146E-03 5.3217E+04 1.0186E-02 5.3226E+04 1.0696E-021633 3102
 5.3236E+04 1.1249E-02 5.3245E+04 1.1848E-02 5.3255E+04 1.2497E-021633 3102
 5.3265E+04 1.3201E-02 5.3274E+04 1.3966E-02 5.3284E+04 1.4797E-021633 3102
 5.3294E+04 1.5699E-02 5.3303E+04 1.6680E-02 5.3313E+04 1.7744E-021633 3102
 5.3322E+04 1.8900E-02 5.3332E+04 2.0153E-02 5.3342E+04 2.1508E-021633 3102
 5.3351E+04 2.2972E-02 5.3361E+04 2.4545E-02 5.3370E+04 2.6061E-021633 3102
 5.3378E+04 2.7666E-02 5.3387E+04 2.9355E-02 5.3396E+04 3.1118E-021633 3102
 5.3404E+04 3.2945E-02 5.3413E+04 3.4814E-02 5.3422E+04 3.6698E-021633 3102
 5.3448E+04 4.2118E-02 5.3457E+04 4.3695E-02 5.3465E+04 4.5071E-021633 3102
 5.3474E+04 4.6201E-02 5.3483E+04 4.7038E-02 5.3491E+04 4.7548E-021633 3102
 5.3500E+04 4.7707E-02 5.3509E+04 4.7510E-02 5.3517E+04 4.6963E-021633 3102
 5.3526E+04 4.6091E-02 5.3535E+04 4.4929E-02 5.3543E+04 4.3521E-021633 3102
 5.3552E+04 4.1918E-02 5.3561E+04 4.0170E-02 5.3570E+04 3.8330E-021633 3102
 5.3578E+04 3.6438E-02 5.3587E+04 3.4537E-02 5.3604E+04 3.0811E-021633 3102
 5.3630E+04 2.5711E-02 5.3651E+04 2.2282E-02 5.3662E+04 2.0537E-021633 3102
 5.3674E+04 1.8946E-02 5.3686E+04 1.7502E-02 5.3697E+04 1.6190E-021633 3102
 5.3709E+04 1.5002E-02 5.3721E+04 1.3924E-02 5.3732E+04 1.2948E-021633 3102
 5.3744E+04 1.2061E-02 5.3756E+04 1.1256E-02 5.3767E+04 1.0523E-021633 3102
 5.3779E+04 9.8556E-03 5.3791E+04 9.2463E-03 5.3802E+04 8.6899E-031633 3102
 5.3814E+04 8.1800E-03 5.3825E+04 7.7127E-03 5.3849E+04 6.8876E-031633 3102
 5.3860E+04 6.5230E-03 5.3884E+04 5.8750E-03 5.3907E+04 5.3187E-031633 3102
 5.3919E+04 5.0699E-03 5.3942E+04 4.6222E-03 5.3954E+04 4.4204E-031633 3102
 5.3977E+04 4.0552E-03 5.4012E+04 3.5883E-03 5.4035E+04 3.3214E-031633 3102
 5.4047E+04 3.1994E-03 5.4082E+04 2.8734E-03 5.4105E+04 2.6832E-031633 3102
 5.4152E+04 2.3572E-03 5.4175E+04 2.2169E-03 5.4222E+04 1.9730E-031633 3102
 5.4268E+04 1.7690E-03 5.4292E+04 1.6793E-03 5.4338E+04 1.5202E-031633 3102
 5.4408E+04 1.3228E-03 5.4478E+04 1.1635E-03 5.4525E+04 1.0736E-031633 3102
 5.4595E+04 9.5822E-04 5.4711E+04 8.0570E-04 5.4758E+04 7.5525E-041633 3102
 5.4851E+04 6.6840E-04 5.4944E+04 5.9655E-04 5.5084E+04 5.0983E-041633 3102
 5.5224E+04 4.4170E-04 5.5364E+04 3.8708E-04 5.5457E+04 3.5643E-041633 3102
 5.5597E+04 3.1722E-04 5.5784E+04 2.7479E-04 5.6063E+04 2.2616E-041633 3102
 5.6250E+04 2.0093E-04 5.6530E+04 1.7071E-04 5.6809E+04 1.4718E-041633 3102
 5.7089E+04 1.2846E-04 5.7555E+04 1.0479E-04 5.7835E+04 9.3815E-051633 3102
 5.8301E+04 7.9317E-05 5.8674E+04 7.0241E-05 5.9234E+04 5.9623E-051633 3102
 5.9793E+04 5.1591E-05 6.0353E+04 4.5397E-05 6.1285E+04 3.7904E-051633 3102
 6.2590E+04 3.1278E-05 6.4082E+04 2.7125E-05 6.4828E+04 2.6013E-051633 3102
 6.6320E+04 2.5365E-05 6.8185E+04 2.7565E-05 6.9677E+04 3.2629E-051633 3102
 7.0610E+04 3.8250E-05 7.1728E+04 4.9405E-05 7.2101E+04 5.4814E-051633 3102
 7.2661E+04 6.5397E-05 7.3314E+04 8.3363E-05 7.3780E+04 1.0214E-041633 3102
 7.4060E+04 1.1705E-04 7.4339E+04 1.3584E-04 7.4526E+04 1.5122E-041633 3102
 7.4806E+04 1.8008E-04 7.5085E+04 2.1864E-04 7.5365E+04 2.7173E-041633 3102
 7.5598E+04 3.3290E-04 7.5738E+04 3.8040E-04 7.5878E+04 4.3909E-041633 3102
 7.5971E+04 4.8624E-04 7.6111E+04 5.7284E-04 7.6251E+04 6.8512E-041633 3102
 7.6391E+04 8.3532E-04 7.6624E+04 1.2187E-03 7.6670E+04 1.3271E-031633 3102
 7.6717E+04 1.4506E-03 7.6764E+04 1.5914E-03 7.6787E+04 1.6694E-031633 3102
 7.6834E+04 1.8444E-03 7.6857E+04 1.9423E-03 7.6880E+04 2.0482E-031633 3102
 7.6904E+04 2.1627E-03 7.6927E+04 2.2870E-03 7.6950E+04 2.4222E-031633 3102
 7.6974E+04 2.5695E-03 7.6997E+04 2.7303E-03 7.7020E+04 2.9064E-031633 3102
 7.7043E+04 3.0996E-03 7.7067E+04 3.3114E-03 7.7078E+04 3.4253E-031633 3102
 7.7090E+04 3.5452E-03 7.7102E+04 3.6716E-03 7.7113E+04 3.8045E-031633 3102
 7.7125E+04 3.9447E-03 7.7137E+04 4.0923E-03 7.7148E+04 4.2482E-031633 3102
 7.7160E+04 4.4128E-03 7.7172E+04 4.5868E-03 7.7183E+04 4.7707E-031633 3102
 7.7195E+04 4.9655E-03 7.7207E+04 5.1717E-03 7.7218E+04 5.3905E-031633 3102
 7.7230E+04 5.6226E-03 7.7242E+04 5.8694E-03 7.7253E+04 6.1315E-031633 3102
 7.7265E+04 6.4108E-03 7.7277E+04 6.7080E-03 7.7288E+04 7.0251E-031633 3102
 7.7300E+04 7.3633E-03 7.7312E+04 7.7248E-03 7.7323E+04 8.1110E-031633 3102
 7.7335E+04 8.5245E-03 7.7346E+04 8.9670E-03 7.7358E+04 9.4416E-031633 3102
 7.7370E+04 9.9502E-03 7.7381E+04 1.0496E-02 7.7393E+04 1.1083E-021633 3102
 7.7405E+04 1.1712E-02 7.7416E+04 1.2388E-02 7.7422E+04 1.2744E-021633 3102
 7.7428E+04 1.3114E-02 7.7434E+04 1.3498E-02 7.7440E+04 1.3895E-021633 3102
 7.7446E+04 1.4307E-02 7.7451E+04 1.4735E-02 7.7457E+04 1.5178E-021633 3102
 7.7463E+04 1.5636E-02 7.7469E+04 1.6111E-02 7.7475E+04 1.6603E-021633 3102
 7.7481E+04 1.7112E-02 7.7486E+04 1.7637E-02 7.7492E+04 1.8182E-021633 3102
 7.7498E+04 1.8744E-02 7.7504E+04 1.9325E-02 7.7510E+04 1.9923E-021633 3102
 7.7516E+04 2.0554E-02 7.7522E+04 2.1203E-02 7.7528E+04 2.1872E-021633 3102
 7.7533E+04 2.2559E-02 7.7545E+04 2.3987E-02 7.7557E+04 2.5475E-021633 3102
 7.7569E+04 2.7017E-02 7.7581E+04 2.8594E-02 7.7593E+04 3.0188E-021633 3102
 7.7605E+04 3.1769E-02 7.7641E+04 3.6098E-02 7.7652E+04 3.7265E-021633 3102
 7.7664E+04 3.8224E-02 7.7676E+04 3.8936E-02 7.7688E+04 3.9373E-021633 3102
 7.7700E+04 3.9515E-02 7.7712E+04 3.9355E-02 7.7724E+04 3.8901E-021633 3102
 7.7736E+04 3.8172E-02 7.7748E+04 3.7199E-02 7.7759E+04 3.6019E-021633 3102
 7.7771E+04 3.4676E-02 7.7783E+04 3.3211E-02 7.7795E+04 3.1668E-021633 3102
 7.7807E+04 3.0083E-02 7.7819E+04 2.8491E-02 7.7843E+04 2.5380E-021633 3102
 7.7867E+04 2.2466E-02 7.7902E+04 1.8617E-02 7.7926E+04 1.6421E-021633 3102
 7.7938E+04 1.5434E-02 7.7963E+04 1.3663E-02 7.7975E+04 1.2871E-021633 3102
 7.7999E+04 1.1454E-02 7.8011E+04 1.0820E-02 7.8035E+04 9.6851E-031633 3102
 7.8059E+04 8.7036E-03 7.8071E+04 8.2632E-03 7.8095E+04 7.4694E-031633 3102
 7.8107E+04 7.1118E-03 7.8131E+04 6.4647E-03 7.8143E+04 6.1716E-031633 3102
 7.8167E+04 5.6396E-03 7.8191E+04 5.1701E-03 7.8227E+04 4.5644E-031633 3102
 7.8263E+04 4.0557E-03 7.8275E+04 3.9049E-03 7.8299E+04 3.6263E-031633 3102
 7.8324E+04 3.3748E-03 7.8348E+04 3.1478E-03 7.8372E+04 2.9425E-031633 3102
 7.8396E+04 2.7561E-03 7.8444E+04 2.4317E-03 7.8468E+04 2.2902E-031633 3102
 7.8516E+04 2.0413E-03 7.8540E+04 1.9315E-03 7.8588E+04 1.7367E-031633 3102
 7.8636E+04 1.5695E-03 7.8709E+04 1.3602E-03 7.8781E+04 1.1898E-031633 3102
 7.8853E+04 1.0493E-03 7.8901E+04 9.6898E-04 7.8973E+04 8.6462E-041633 3102
 7.9094E+04 7.2475E-04 7.9142E+04 6.7804E-04 7.9238E+04 5.9720E-041633 3102
 7.9334E+04 5.2999E-04 7.9479E+04 4.4861E-04 7.9623E+04 3.8466E-041633 3102
 7.9768E+04 3.3351E-04 7.9864E+04 3.0490E-04 8.0008E+04 2.6845E-041633 3102
 8.0153E+04 2.3822E-04 8.0297E+04 2.1287E-04 8.0490E+04 1.8497E-041633 3102
 8.0778E+04 1.5247E-04 8.1067E+04 1.2794E-04 8.1356E+04 1.0898E-041633 3102
 8.1837E+04 8.5739E-05 8.2415E+04 6.6683E-05 8.2896E+04 5.5409E-051633 3102
 8.3474E+04 4.5420E-05 8.4052E+04 3.8025E-05 8.5014E+04 2.9364E-051633 3102
 8.6169E+04 2.2609E-05 8.7132E+04 1.8768E-05 8.7902E+04 1.6448E-051633 3102
 8.9057E+04 1.3814E-05 9.0983E+04 1.0872E-05 9.3293E+04 8.7191E-061633 3102
 9.5604E+04 7.4120E-06 9.7914E+04 6.6184E-06 1.0022E+05 6.1777E-061633 3102
 1.0254E+05 6.0151E-06 1.0485E+05 6.1089E-06 1.0716E+05 6.4824E-061633 3102
 1.1062E+05 7.7566E-06 1.1255E+05 9.0443E-06 1.1486E+05 1.1567E-051633 3102
 1.1678E+05 1.5132E-05 1.1832E+05 1.9797E-05 1.1929E+05 2.4156E-051633 3102
 1.2044E+05 3.1931E-05 1.2140E+05 4.2058E-05 1.2198E+05 5.0828E-051633 3102
 1.2256E+05 6.2822E-05 1.2304E+05 7.6551E-05 1.2333E+05 8.7144E-051633 3102
 1.2362E+05 1.0017E-04 1.2381E+05 1.1058E-04 1.2410E+05 1.2958E-041633 3102
 1.2439E+05 1.5405E-04 1.2468E+05 1.8626E-04 1.2487E+05 2.1375E-041633 3102
 1.2516E+05 2.6809E-04 1.2525E+05 2.9088E-04 1.2545E+05 3.4615E-041633 3102
 1.2554E+05 3.7990E-04 1.2574E+05 4.6398E-04 1.2602E+05 6.5377E-041633 3102
 1.2612E+05 7.4240E-04 1.2622E+05 8.5046E-04 1.2627E+05 9.1368E-041633 3102
 1.2631E+05 9.8392E-04 1.2636E+05 1.0624E-03 1.2641E+05 1.1503E-031633 3102
 1.2646E+05 1.2492E-03 1.2651E+05 1.3608E-03 1.2653E+05 1.4224E-031633 3102
 1.2655E+05 1.4881E-03 1.2658E+05 1.5583E-03 1.2660E+05 1.6330E-031633 3102
 1.2663E+05 1.7134E-03 1.2665E+05 1.7996E-03 1.2667E+05 1.8921E-031633 3102
 1.2670E+05 1.9911E-03 1.2672E+05 2.0981E-03 1.2675E+05 2.2130E-031633 3102
 1.2677E+05 2.3375E-03 1.2679E+05 2.4715E-03 1.2682E+05 2.6170E-031633 3102
 1.2684E+05 2.7744E-03 1.2686E+05 2.8583E-03 1.2687E+05 2.9452E-031633 3102
 1.2688E+05 3.0359E-03 1.2689E+05 3.1304E-03 1.2690E+05 3.2299E-031633 3102
 1.2692E+05 3.3328E-03 1.2693E+05 3.4401E-03 1.2694E+05 3.5522E-031633 3102
 1.2695E+05 3.6702E-03 1.2696E+05 3.7925E-03 1.2698E+05 3.9201E-031633 3102
 1.2699E+05 4.0535E-03 1.2700E+05 4.1941E-03 1.2701E+05 4.3398E-031633 3102
 1.2702E+05 4.4934E-03 1.2704E+05 4.6526E-03 1.2705E+05 4.8203E-031633 3102
 1.2706E+05 4.9943E-03 1.2707E+05 5.1760E-03 1.2708E+05 5.3659E-031633 3102
 1.2710E+05 5.5658E-03 1.2711E+05 5.7729E-03 1.2712E+05 5.9891E-031633 3102
 1.2713E+05 6.2145E-03 1.2714E+05 6.4514E-03 1.2716E+05 6.6961E-031633 3102
 1.2717E+05 6.9507E-03 1.2718E+05 7.2152E-03 1.2719E+05 7.4456E-031633 3102
 1.2720E+05 7.6807E-03 1.2721E+05 7.9226E-03 1.2722E+05 8.1713E-031633 3102
 1.2723E+05 8.4264E-03 1.2724E+05 8.6879E-03 1.2725E+05 8.9553E-031633 3102
 1.2726E+05 9.2282E-03 1.2728E+05 9.7905E-03 1.2730E+05 1.0363E-021633 3102
 1.2732E+05 1.0942E-02 1.2734E+05 1.1517E-02 1.2736E+05 1.2079E-021633 3102
 1.2740E+05 1.3094E-02 1.2742E+05 1.3519E-02 1.2744E+05 1.3868E-021633 3102
 1.2746E+05 1.4128E-02 1.2748E+05 1.4287E-02 1.2750E+05 1.4338E-021633 3102
 1.2752E+05 1.4280E-02 1.2754E+05 1.4113E-02 1.2756E+05 1.3847E-021633 3102
 1.2758E+05 1.3492E-02 1.2760E+05 1.3060E-02 1.2762E+05 1.2571E-021633 3102
 1.2764E+05 1.2038E-02 1.2766E+05 1.1476E-02 1.2768E+05 1.0897E-021633 3102
 1.2770E+05 1.0320E-02 1.2774E+05 9.1883E-03 1.2778E+05 8.1322E-031633 3102
 1.2784E+05 6.6926E-03 1.2789E+05 5.8191E-03 1.2791E+05 5.4316E-031633 3102
 1.2796E+05 4.7457E-03 1.2798E+05 4.4432E-03 1.2802E+05 3.9085E-031633 3102
 1.2805E+05 3.6725E-03 1.2809E+05 3.2545E-03 1.2814E+05 2.8984E-031633 3102
 1.2816E+05 2.7401E-03 1.2820E+05 2.4577E-03 1.2823E+05 2.3315E-031633 3102
 1.2827E+05 2.1052E-03 1.2829E+05 2.0035E-03 1.2834E+05 1.8201E-031633 3102
 1.2839E+05 1.6597E-03 1.2845E+05 1.4548E-03 1.2852E+05 1.2845E-031633 3102
 1.2859E+05 1.1416E-03 1.2863E+05 1.0591E-03 1.2868E+05 9.8505E-041633 3102
 1.2877E+05 8.5765E-04 1.2881E+05 8.0285E-04 1.2891E+05 7.0767E-041633 3102
 1.2895E+05 6.6620E-04 1.2904E+05 5.9336E-04 1.2913E+05 5.3171E-041633 3102
 1.2927E+05 4.5569E-04 1.2940E+05 3.9470E-04 1.2954E+05 3.4511E-041633 3102
 1.2963E+05 3.1703E-04 1.2976E+05 2.8089E-04 1.2990E+05 2.5060E-041633 3102
 1.2999E+05 2.3307E-04 1.3017E+05 2.0302E-04 1.3035E+05 1.7841E-041633 3102
 1.3062E+05 1.4910E-04 1.3089E+05 1.2647E-04 1.3116E+05 1.0863E-041633 3102
 1.3135E+05 9.8758E-05 1.3162E+05 8.6303E-05 1.3189E+05 7.6074E-051633 3102
 1.3216E+05 6.7573E-05 1.3234E+05 6.2682E-05 1.3288E+05 5.0835E-051633 3102
 1.3342E+05 4.2081E-05 1.3397E+05 3.5434E-05 1.3487E+05 2.7439E-051633 3102
 1.3596E+05 2.1023E-05 1.3686E+05 1.7291E-05 1.3758E+05 1.5001E-051633 3102
 1.3867E+05 1.2364E-05 1.4048E+05 9.3502E-06 1.4264E+05 7.0624E-061633 3102
 1.4445E+05 5.7894E-06 1.4734E+05 4.4331E-06 1.5096E+05 3.3988E-061633 3102
 1.5530E+05 2.6644E-06 1.5891E+05 2.2861E-06 1.6542E+05 1.9045E-061633 3102
 1.6832E+05 1.8168E-06 1.7410E+05 1.7533E-06 1.8133E+05 1.8711E-061633 3102
 1.8567E+05 2.0692E-06 1.8856E+05 2.2759E-06 1.9218E+05 2.6550E-061633 3102
 1.9652E+05 3.3891E-06 2.0013E+05 4.4114E-06 2.0339E+05 5.9390E-061633 3102
 2.0519E+05 7.2296E-06 2.0736E+05 9.5089E-06 2.0917E+05 1.2441E-051633 3102
 2.1026E+05 1.4951E-05 2.1134E+05 1.8347E-05 2.1261E+05 2.4073E-051633 3102
 2.1315E+05 2.7407E-05 2.1369E+05 3.1503E-05 2.1405E+05 3.4775E-051633 3102
 2.1459E+05 4.0746E-05 2.1514E+05 4.8424E-05 2.1568E+05 5.8522E-051633 3102
 2.1604E+05 6.7128E-05 2.1658E+05 8.4112E-05 2.1676E+05 9.1227E-051633 3102
 2.1713E+05 1.0847E-04 2.1731E+05 1.1897E-04 2.1767E+05 1.4509E-041633 3102
 2.1785E+05 1.6146E-04 2.1821E+05 2.0379E-04 2.1839E+05 2.3135E-041633 3102
 2.1875E+05 3.0587E-04 2.1893E+05 3.5682E-04 2.1911E+05 4.2123E-041633 3102
 2.1920E+05 4.6000E-04 2.1930E+05 5.0401E-04 2.1934E+05 5.2825E-041633 3102
 2.1939E+05 5.5433E-04 2.1943E+05 5.8230E-04 2.1948E+05 6.1231E-041633 3102
 2.1952E+05 6.4458E-04 2.1957E+05 6.7930E-04 2.1961E+05 7.1671E-041633 3102
 2.1966E+05 7.5698E-04 2.1970E+05 8.0058E-04 2.1975E+05 8.4775E-041633 3102
 2.1979E+05 8.9884E-04 2.1984E+05 9.5423E-04 2.1988E+05 1.0144E-031633 3102
 2.1993E+05 1.0795E-03 2.1995E+05 1.1142E-03 2.1997E+05 1.1504E-031633 3102
 2.2000E+05 1.1883E-03 2.2002E+05 1.2278E-03 2.2004E+05 1.2690E-031633 3102
 2.2006E+05 1.3120E-03 2.2009E+05 1.3569E-03 2.2011E+05 1.4038E-031633 3102
 2.2013E+05 1.4528E-03 2.2015E+05 1.5039E-03 2.2018E+05 1.5572E-031633 3102
 2.2020E+05 1.6128E-03 2.2022E+05 1.6708E-03 2.2024E+05 1.7313E-031633 3102
 2.2027E+05 1.7944E-03 2.2029E+05 1.8601E-03 2.2031E+05 1.9285E-031633 3102
 2.2033E+05 1.9996E-03 2.2036E+05 2.0736E-03 2.2038E+05 2.1499E-031633 3102
 2.2040E+05 2.2181E-03 2.2042E+05 2.2883E-03 2.2044E+05 2.3605E-031633 3102
 2.2046E+05 2.4348E-03 2.2048E+05 2.5110E-03 2.2050E+05 2.5891E-031633 3102
 2.2052E+05 2.6690E-03 2.2053E+05 2.7501E-03 2.2055E+05 2.8331E-031633 3102
 2.2057E+05 2.9173E-03 2.2059E+05 3.0026E-03 2.2061E+05 3.0888E-031633 3102
 2.2063E+05 3.1753E-03 2.2065E+05 3.2620E-03 2.2069E+05 3.4337E-031633 3102
 2.2073E+05 3.6012E-03 2.2077E+05 3.7600E-03 2.2081E+05 3.9055E-031633 3102
 2.2088E+05 4.1375E-03 2.2092E+05 4.2152E-03 2.2096E+05 4.2629E-031633 3102
 2.2100E+05 4.2783E-03 2.2104E+05 4.2606E-03 2.2108E+05 4.2107E-031633 3102
 2.2112E+05 4.1307E-03 2.2116E+05 4.0243E-03 2.2119E+05 3.8952E-031633 3102
 2.2123E+05 3.7484E-03 2.2127E+05 3.5886E-03 2.2131E+05 3.4208E-031633 3102
 2.2135E+05 3.2482E-03 2.2139E+05 3.0748E-03 2.2143E+05 2.9035E-031633 3102
 2.2147E+05 2.7369E-03 2.2158E+05 2.2760E-03 2.2170E+05 1.8952E-031633 3102
 2.2177E+05 1.6821E-03 2.2188E+05 1.4131E-03 2.2200E+05 1.1960E-031633 3102
 2.2211E+05 1.0204E-03 2.2218E+05 9.2195E-04 2.2230E+05 7.9726E-041633 3102
 2.2241E+05 6.9467E-04 2.2252E+05 6.0973E-04 2.2259E+05 5.6102E-041633 3102
 2.2271E+05 4.9782E-04 2.2282E+05 4.4442E-04 2.2289E+05 4.1330E-041633 3102
 2.2304E+05 3.5971E-04 2.2319E+05 3.1568E-04 2.2327E+05 2.9657E-041633 3102
 2.2342E+05 2.6310E-04 2.2364E+05 2.2239E-04 2.2387E+05 1.9034E-041633 3102
 2.2402E+05 1.7262E-04 2.2424E+05 1.5028E-04 2.2447E+05 1.3199E-041633 3102
 2.2469E+05 1.1680E-04 2.2507E+05 9.6712E-05 2.2552E+05 7.8729E-051633 3102
 2.2597E+05 6.5307E-05 2.2627E+05 5.8172E-05 2.2672E+05 4.9470E-051633 3102
 2.2717E+05 4.2579E-05 2.2762E+05 3.7032E-05 2.2837E+05 2.9926E-051633 3102
 2.2882E+05 2.6603E-05 2.2942E+05 2.2971E-05 2.3002E+05 2.0034E-051633 3102
 2.3092E+05 1.6584E-05 2.3181E+05 1.3957E-05 2.3271E+05 1.1910E-051633 3102
 2.3421E+05 9.3815E-06 2.3601E+05 7.2894E-06 2.3781E+05 5.8326E-061633 3102
 2.3961E+05 4.7773E-06 2.4141E+05 3.9886E-06 2.4441E+05 3.0554E-061633 3102
 2.4801E+05 2.3191E-06 2.5100E+05 1.8962E-06 2.5640E+05 1.3868E-061633 3102
 2.5760E+05 1.3028E-06 2.5880E+05 1.2266E-06 2.5940E+05 1.1918E-061633 3102
 2.5970E+05 1.1906E-06 2.5985E+05 1.1886E-06 2.5991E+05 1.1873E-061633 3102
 2.5992E+05 1.2394E-06 2.5993E+05 1.3170E-06 2.5993E+05 1.4901E-061633 3102
 2.5994E+05 1.8557E-06 2.5994E+05 2.1684E-06 2.5994E+05 2.5868E-061633 3102
 2.5995E+05 3.1885E-06 2.5995E+05 3.9723E-06 2.5995E+05 5.0695E-061633 3102
 2.5995E+05 6.4607E-06 2.5996E+05 8.3567E-06 2.5996E+05 1.0697E-051633 3102
 2.5996E+05 1.3658E-05 2.5996E+05 1.7355E-05 2.5996E+05 2.2132E-051633 3102
 2.5997E+05 2.7724E-05 2.5997E+05 4.2777E-05 2.5998E+05 6.3489E-051633 3102
 2.5998E+05 8.9861E-05 2.5999E+05 1.2313E-04 2.5999E+05 1.6216E-041633 3102
 2.6000E+05 2.0558E-04 2.6000E+05 1.1572E-06 2.6000E+05 5.0055E-041633 3102
 2.6000E+05 5.0055E-04 2.7536E+05 4.8435E-04 2.9149E+05 4.6879E-041633 3102
 3.0798E+05 4.5423E-04 3.2527E+05 4.4022E-04 3.4273E+05 4.2722E-041633 3102
 3.6098E+05 4.1470E-04 3.8006E+05 4.0263E-04 4.0000E+05 3.9099E-041633 3102
 4.2671E+05 3.7627E-04 4.5494E+05 3.6222E-04 4.8406E+05 3.4912E-041633 3102
 5.1477E+05 3.3659E-04 5.4641E+05 3.2487E-04 5.7972E+05 3.1365E-041633 3102
 6.1399E+05 3.0314E-04 6.5000E+05 2.9305E-04 7.0000E+05 2.8041E-041633 3102
 7.3884E+05 2.7176E-04 7.7953E+05 2.6344E-04 8.2164E+05 2.5552E-041633 3102
 8.6570E+05 2.4789E-04 8.6782E+05 2.4724E-04 8.6994E+05 2.4659E-041633 3102
