CL- 35N,G    1.0000+00* SIGECN-MASGAM                             1735 3102
                                                                  1735 3102
 1.70350+04 3.4668E+01          0         99          0          01735 3102
 3.0000E+02 8.5799E+06          0          0          1       16881735 3102
       1688          5                                            1735 3102
 1.0000E-05 2.1951E+03 1.2965E-05 1.9278E+03 1.4448E-05 1.8262E+031735 3102
 1.5931E-05 1.7392E+03 1.8896E-05 1.5969E+03 2.1861E-05 1.4847E+031735 3102
 2.7792E-05 1.3167E+03 3.3723E-05 1.1954E+03 3.9653E-05 1.1023E+031735 3102
 4.5584E-05 1.0282E+03 5.1515E-05 9.6715E+02 5.7445E-05 9.1587E+021735 3102
 6.9307E-05 8.3382E+02 8.1168E-05 7.7049E+02 9.3029E-05 7.1970E+021735 3102
 1.0489E-04 6.7779E+02 1.2861E-04 6.1209E+02 1.5234E-04 5.6242E+021735 3102
 1.7606E-04 5.2316E+02 1.9978E-04 4.9111E+02 2.4723E-04 4.4148E+021735 3102
 2.9467E-04 4.0438E+02 3.4212E-04 3.7529E+02 3.8956E-04 3.5170E+021735 3102
 4.8445E-04 3.1538E+02 5.7934E-04 2.8840E+02 6.7423E-04 2.6733E+021735 3102
 7.6912E-04 2.5030E+02 9.5891E-04 2.2416E+02 1.1487E-03 2.0481E+021735 3102
 1.3385E-03 1.8974E+02 1.5283E-03 1.7756E+02 1.9078E-03 1.5892E+021735 3102
 2.2874E-03 1.4514E+02 2.6669E-03 1.3441E+02 3.0465E-03 1.2576E+021735 3102
 3.8056E-03 1.1252E+02 4.5648E-03 1.0274E+02 5.3239E-03 9.5131E+011735 3102
 6.0830E-03 8.8996E+01 7.6013E-03 7.9613E+01 9.1195E-03 7.2683E+011735 3102
 1.0638E-02 6.7295E+01 1.2156E-02 6.2952E+01 1.5192E-02 5.6308E+011735 3102
 1.8229E-02 5.1403E+01 2.1266E-02 4.7591E+01 2.4302E-02 4.4517E+011735 3102
 2.5300E-02 4.3629E+01 3.0375E-02 3.9816E+01 3.6448E-02 3.6345E+011735 3102
 4.2521E-02 3.3648E+01 4.8594E-02 3.1473E+01 6.0740E-02 2.8147E+011735 3102
 7.2886E-02 2.5691E+01 8.5032E-02 2.3783E+01 9.7178E-02 2.2244E+011735 3102
 1.2147E-01 1.9890E+01 1.4576E-01 1.8152E+01 1.7005E-01 1.6801E+011735 3102
 1.9435E-01 1.5712E+01 2.4293E-01 1.4046E+01 2.9151E-01 1.2815E+011735 3102
 3.4010E-01 1.1858E+01 3.8868E-01 1.1086E+01 4.8585E-01 9.9053E+001735 3102
 5.8302E-01 9.0325E+00 6.8019E-01 8.3535E+00 7.7735E-01 7.8056E+001735 3102
 9.7169E-01 6.9665E+00 1.1660E+00 6.3459E+00 1.3604E+00 5.8626E+001735 3102
 1.5547E+00 5.4722E+00 1.9434E+00 4.8736E+00 2.3320E+00 4.4300E+001735 3102
 2.7207E+00 4.0839E+00 3.1094E+00 3.8040E+00 3.8867E+00 3.3736E+001735 3102
 4.6641E+00 3.0538E+00 5.4414E+00 2.8036E+00 6.2188E+00 2.6007E+001735 3102
 7.7734E+00 2.2878E+00 9.3281E+00 2.0542E+00 1.0883E+01 1.8710E+001735 3102
 1.2438E+01 1.7220E+00 1.5547E+01 1.4916E+00 1.7102E+01 1.3998E+001735 3102
 1.8656E+01 1.3193E+00 2.1766E+01 1.1841E+00 2.4875E+01 1.0743E+001735 3102
 2.7984E+01 9.8276E-01 3.1094E+01 9.0507E-01 3.4203E+01 8.3808E-011735 3102
 3.7313E+01 7.7961E-01 4.3531E+01 6.8218E-01 4.9750E+01 6.0406E-011735 3102
 5.5969E+01 5.3990E-01 6.2188E+01 4.8625E-01 6.8406E+01 4.4071E-011735 3102
 7.4625E+01 4.0161E-01 8.7063E+01 3.3803E-01 9.3281E+01 3.1190E-011735 3102
 9.9500E+01 2.8873E-01 1.1194E+02 2.4957E-01 1.2438E+02 2.1786E-011735 3102
 1.3681E+02 1.9180E-01 1.4925E+02 1.7009E-01 1.6169E+02 1.5182E-011735 3102
 1.7413E+02 1.3629E-01 1.8656E+02 1.2299E-01 1.9900E+02 1.1151E-011735 3102
 2.1144E+02 1.0156E-01 2.2388E+02 9.2880E-02 2.3631E+02 8.5284E-021735 3102
 2.4875E+02 7.8620E-02 2.7363E+02 6.7654E-02 2.8606E+02 6.3211E-021735 3102
 2.9850E+02 5.9429E-02 3.1094E+02 5.6347E-02 3.2338E+02 5.4111E-021735 3102
 3.2959E+02 5.3412E-02 3.3581E+02 5.3095E-02 3.4203E+02 5.3301E-021735 3102
 3.4825E+02 5.4265E-02 3.5447E+02 5.6407E-02 3.6069E+02 6.0531E-021735 3102
