K - 39N,G    1.0000+00* JENDL-3.1                                 1939 3102
 1.1109E+03 1.5881E+00 1.1111E+03 1.3230E+00 1.1114E+03 1.1055E+001939 3102
 1.1117E+03 9.2928E-01 1.1119E+03 7.8742E-01 1.1122E+03 6.7345E-011939 3102
 1.1124E+03 5.8165E-01 1.1127E+03 5.0729E-01 1.1130E+03 4.4654E-011939 3102
 1.1132E+03 3.9642E-01 1.1135E+03 3.5465E-01 1.1138E+03 3.1946E-011939 3102
 1.1140E+03 2.8952E-01 1.1143E+03 2.6382E-01 1.1148E+03 2.2216E-011939 3102
 1.1154E+03 1.9006E-01 1.1159E+03 1.6476E-01 1.1164E+03 1.4445E-011939 3102
 1.1170E+03 1.2789E-01 1.1175E+03 1.1419E-01 1.1185E+03 9.3014E-021939 3102
 1.1196E+03 7.7519E-02 1.1207E+03 6.5828E-02 1.1217E+03 5.6807E-021939 3102
 1.1228E+03 4.9724E-02 1.1238E+03 4.4082E-02 1.1260E+03 3.5655E-021939 3102
 1.1281E+03 2.9697E-02 1.1302E+03 2.5378E-02 1.1323E+03 2.2150E-021939 3102
 1.1344E+03 1.9709E-02 1.1387E+03 1.6229E-02 1.1429E+03 1.3895E-021939 3102
 1.1472E+03 1.2277E-02 1.1514E+03 1.1119E-02 1.1599E+03 9.5759E-031939 3102
 1.1684E+03 8.6098E-03 1.1768E+03 7.9693E-03 1.1938E+03 7.1777E-031939 3102
 1.2108E+03 6.7070E-03 1.2277E+03 6.3933E-03 1.2447E+03 6.1648E-031939 3102
 1.2786E+03 5.8392E-03 1.3465E+03 5.4103E-03 1.3804E+03 5.2451E-031939 3102
 1.5161E+03 4.7188E-03 1.6517E+03 4.3036E-03 1.9231E+03 3.6532E-031939 3102
 2.1945E+03 3.1604E-03 2.4659E+03 2.7801E-03 2.6694E+03 2.5600E-031939 3102
 2.7372E+03 2.5013E-03 2.8729E+03 2.4190E-03 2.9408E+03 2.4099E-031939 3102
 3.0086E+03 2.4496E-03 3.0764E+03 2.6076E-03 3.1104E+03 2.7968E-031939 3102
 3.1443E+03 3.1719E-03 3.1782E+03 4.0063E-03 3.1952E+03 4.8586E-031939 3102
 3.2121E+03 6.4216E-03 3.2206E+03 7.7465E-03 3.2291E+03 9.8109E-031939 3102
 3.2376E+03 1.3155E-02 3.2418E+03 1.5692E-02 3.2460E+03 1.9287E-021939 3102
 3.2503E+03 2.4517E-02 3.2545E+03 3.2377E-02 3.2566E+03 3.7952E-021939 3102
 3.2588E+03 4.5341E-02 3.2609E+03 5.5339E-02 3.2630E+03 6.9300E-021939 3102
 3.2651E+03 8.9549E-02 3.2662E+03 1.0329E-01 3.2673E+03 1.2061E-011939 3102
 3.2683E+03 1.4302E-01 3.2694E+03 1.7284E-01 3.2704E+03 2.1399E-011939 3102
 3.2715E+03 2.7369E-01 3.2720E+03 3.1462E-01 3.2726E+03 3.6681E-011939 3102
 3.2731E+03 4.3504E-01 3.2736E+03 5.2647E-01 3.2741E+03 6.5161E-011939 3102
 3.2744E+03 7.3128E-01 3.2747E+03 8.2534E-01 3.2749E+03 9.3644E-011939 3102
 3.2752E+03 1.0675E+00 3.2755E+03 1.2217E+00 3.2757E+03 1.4023E+001939 3102
 3.2760E+03 1.6128E+00 3.2763E+03 1.8561E+00 3.2765E+03 2.1352E+001939 3102
 3.2768E+03 2.4520E+00 3.2771E+03 2.8076E+00 3.2773E+03 3.2019E+001939 3102
 3.2776E+03 3.6329E+00 3.2779E+03 4.0971E+00 3.2784E+03 5.0996E+001939 3102
 3.2788E+03 5.8796E+00 3.2794E+03 7.1156E+00 3.2798E+03 7.7402E+001939 3102
 3.2802E+03 8.2118E+00 3.2807E+03 8.5619E+00 3.2810E+03 8.6069E+001939 3102
 3.2813E+03 8.5617E+00 3.2819E+03 8.0728E+00 3.2824E+03 7.3804E+001939 3102
 3.2830E+03 6.3974E+00 3.2839E+03 4.5987E+00 3.2844E+03 3.6006E+001939 3102
 3.2846E+03 3.2980E+00 3.2850E+03 2.7451E+00 3.2854E+03 2.2690E+001939 3102
 3.2857E+03 1.8673E+00 3.2861E+03 1.5352E+00 3.2865E+03 1.2643E+001939 3102
 3.2868E+03 1.0474E+00 3.2872E+03 8.7448E-01 3.2876E+03 7.3730E-011939 3102
 3.2880E+03 6.2821E-01 3.2883E+03 5.4158E-01 3.2887E+03 4.7210E-011939 3102
 3.2891E+03 4.1583E-01 3.2894E+03 3.6972E-01 3.2902E+03 2.9940E-011939 3102
 3.2909E+03 2.4871E-01 3.2917E+03 2.1076E-01 3.2924E+03 1.8134E-011939 3102
 3.2939E+03 1.3909E-01 3.2954E+03 1.1050E-01 3.2968E+03 9.0111E-021939 3102
 3.2983E+03 7.5076E-02 3.2998E+03 6.3693E-02 3.3028E+03 4.7737E-021939 3102
 3.3057E+03 3.7183E-02 3.3087E+03 2.9910E-02 3.3116E+03 2.4774E-021939 3102
 3.3176E+03 1.7985E-02 3.3235E+03 1.3761E-02 3.3294E+03 1.1050E-021939 3102
 3.3413E+03 7.8230E-03 3.3531E+03 6.0212E-03 3.3650E+03 4.9322E-031939 3102
 3.3768E+03 4.2267E-03 3.4005E+03 3.3854E-03 3.4242E+03 2.9167E-031939 3102
 3.4716E+03 2.4341E-03 3.5190E+03 2.1930E-03 3.5663E+03 2.0495E-031939 3102
