K - 39N,G    1.0000+00* JENDL-3.1                                 1939 3102
 2.5555E+04 5.4532E-01 2.5564E+04 5.2194E-01 2.5573E+04 4.8721E-011939 3102
 2.5582E+04 4.4565E-01 2.5599E+04 3.5781E-01 2.5608E+04 3.1692E-011939 3102
 2.5617E+04 2.7989E-01 2.5625E+04 2.5191E-01 2.5632E+04 2.2691E-011939 3102
 2.5640E+04 2.0474E-01 2.5647E+04 1.8510E-01 2.5662E+04 1.5246E-011939 3102
 2.5670E+04 1.3892E-01 2.5685E+04 1.1633E-01 2.5692E+04 1.0697E-011939 3102
 2.5707E+04 9.1108E-02 2.5722E+04 7.8273E-02 2.5737E+04 6.7853E-021939 3102
 2.5752E+04 5.9316E-02 2.5767E+04 5.2241E-02 2.5782E+04 4.6331E-021939 3102
 2.5797E+04 4.1344E-02 2.5812E+04 3.7108E-02 2.5827E+04 3.3477E-021939 3102
 2.5842E+04 3.0348E-02 2.5857E+04 2.7630E-02 2.5887E+04 2.3191E-021939 3102
 2.5917E+04 1.9736E-02 2.5947E+04 1.6982E-02 2.5977E+04 1.4764E-021939 3102
 2.6007E+04 1.2953E-02 2.6037E+04 1.1455E-02 2.6067E+04 1.0204E-021939 3102
 2.6127E+04 8.2477E-03 2.6158E+04 7.4752E-03 2.6218E+04 6.2257E-031939 3102
 2.6248E+04 5.7166E-03 2.6338E+04 4.5216E-03 2.6398E+04 3.9231E-031939 3102
 2.6458E+04 3.4386E-03 2.6518E+04 3.0408E-03 2.6638E+04 2.4328E-031939 3102
 2.6758E+04 1.9965E-03 2.6938E+04 1.5420E-03 2.7179E+04 1.1549E-031939 3102
 2.7299E+04 1.0186E-03 2.7539E+04 8.1695E-04 2.7899E+04 6.2425E-041939 3102
 2.8500E+04 4.5047E-04 2.8980E+04 3.7646E-04 2.9461E+04 3.3300E-041939 3102
 3.0422E+04 3.0149E-04 3.1623E+04 3.7249E-04 3.2103E+04 5.0670E-041939 3102
 3.2464E+04 7.9297E-04 3.2584E+04 9.9302E-04 3.2704E+04 1.3215E-031939 3102
 3.2764E+04 1.5719E-03 3.2884E+04 2.4169E-03 3.2974E+04 3.7100E-031939 3102
 3.3004E+04 4.4081E-03 3.3034E+04 5.3396E-03 3.3064E+04 6.6072E-031939 3102
 3.3094E+04 8.4166E-03 3.3109E+04 9.6323E-03 3.3124E+04 1.1141E-021939 3102
 3.3139E+04 1.3044E-02 3.3154E+04 1.5493E-02 3.3169E+04 1.8675E-021939 3102
 3.3177E+04 2.0647E-02 3.3184E+04 2.2978E-02 3.3192E+04 2.5734E-021939 3102
 3.3199E+04 2.9027E-02 3.3207E+04 3.3001E-02 3.3214E+04 3.7856E-021939 3102
 3.3222E+04 4.3862E-02 3.3229E+04 5.1414E-02 3.3237E+04 6.1049E-021939 3102
 3.3241E+04 6.6906E-02 3.3244E+04 7.3683E-02 3.3248E+04 8.1535E-021939 3102
 3.3252E+04 9.0718E-02 3.3256E+04 1.0154E-01 3.3259E+04 1.1443E-011939 3102
 3.3263E+04 1.2987E-01 3.3267E+04 1.4865E-01 3.3271E+04 1.7162E-011939 3102
 3.3275E+04 2.0026E-01 3.3278E+04 2.3629E-01 3.3280E+04 2.5785E-011939 3102
 3.3282E+04 2.8248E-01 3.3284E+04 3.1043E-01 3.3286E+04 3.4259E-011939 3102
 3.3288E+04 3.7954E-01 3.3290E+04 4.2207E-01 3.3291E+04 4.7079E-011939 3102
 3.3293E+04 5.2718E-01 3.3295E+04 5.9196E-01 3.3297E+04 6.6599E-011939 3102
 3.3299E+04 7.4942E-01 3.3301E+04 8.4331E-01 3.3305E+04 1.0581E+001939 3102
 3.3308E+04 1.2834E+00 3.3311E+04 1.4458E+00 3.3314E+04 1.5827E+001939 3102
 3.3315E+04 1.6497E+00 3.3317E+04 1.6920E+00 3.3319E+04 1.7063E+001939 3102
 3.3321E+04 1.6919E+00 3.3323E+04 1.6495E+00 3.3324E+04 1.5824E+001939 3102
 3.3327E+04 1.4461E+00 3.3333E+04 1.0573E+00 3.3338E+04 8.2872E-011939 3102
 3.3340E+04 7.2990E-01 3.3342E+04 6.4265E-01 3.3344E+04 5.6697E-011939 3102
 3.3346E+04 5.0120E-01 3.3348E+04 4.4461E-01 3.3350E+04 3.9600E-011939 3102
 3.3352E+04 3.5442E-01 3.3354E+04 3.1842E-01 3.3356E+04 2.8733E-011939 3102
 3.3358E+04 2.6037E-01 3.3360E+04 2.3701E-01 3.3362E+04 2.1647E-011939 3102
 3.3366E+04 1.8247E-01 3.3370E+04 1.5580E-01 3.3374E+04 1.3443E-011939 3102
 3.3378E+04 1.1714E-01 3.3382E+04 1.0292E-01 3.3386E+04 9.1154E-021939 3102
 3.3390E+04 8.1264E-02 3.3394E+04 7.2918E-02 3.3398E+04 6.5783E-021939 3102
 3.3402E+04 5.9673E-02 3.3406E+04 5.4378E-02 3.3414E+04 4.5713E-021939 3102
 3.3422E+04 3.8937E-02 3.3430E+04 3.3557E-02 3.3438E+04 2.9225E-021939 3102
 3.3446E+04 2.5686E-02 3.3455E+04 2.2763E-02 3.3463E+04 2.0340E-021939 3102
 3.3479E+04 1.6527E-02 3.3495E+04 1.3676E-02 3.3511E+04 1.1514E-021939 3102
 3.3527E+04 9.8346E-03 3.3559E+04 7.4480E-03 3.3592E+04 5.8573E-031939 3102
 3.3624E+04 4.7327E-03 3.3689E+04 3.3054E-03 3.3785E+04 2.1784E-031939 3102
 3.3850E+04 1.7415E-03 3.3979E+04 1.2240E-03 3.4108E+04 9.4149E-041939 3102
 3.4367E+04 6.6196E-04 3.4883E+04 4.7917E-04 3.5400E+04 4.4506E-041939 3102
 3.6174E+04 5.2076E-04 3.6691E+04 7.5773E-04 3.6820E+04 9.0695E-041939 3102
 3.6949E+04 1.1689E-03 3.7014E+04 1.3840E-03 3.7111E+04 1.9252E-031939 3102
 3.7143E+04 2.2132E-03 3.7175E+04 2.5931E-03 3.7208E+04 3.1096E-031939 3102
 3.7240E+04 3.8280E-03 3.7272E+04 4.8847E-03 3.7288E+04 5.6140E-031939 3102
 3.7304E+04 6.5391E-03 3.7321E+04 7.7365E-03 3.7337E+04 9.3251E-031939 3102
 3.7353E+04 1.1460E-02 3.7361E+04 1.2822E-02 3.7369E+04 1.4472E-021939 3102
 3.7377E+04 1.6476E-02 3.7385E+04 1.8938E-02 3.7393E+04 2.2002E-021939 3102
 3.7401E+04 2.5875E-02 3.7409E+04 3.0829E-02 3.7413E+04 3.3847E-021939 3102
 3.7417E+04 3.7340E-02 3.7421E+04 4.1388E-02 3.7425E+04 4.6128E-021939 3102
 3.7429E+04 5.1681E-02 3.7434E+04 5.8263E-02 3.7438E+04 6.6075E-021939 3102
 3.7442E+04 7.5452E-02 3.7446E+04 8.6711E-02 3.7450E+04 1.0035E-011939 3102
 3.7454E+04 1.1679E-01 3.7458E+04 1.3665E-01 3.7462E+04 1.6029E-011939 3102
 3.7466E+04 1.8785E-01 3.7469E+04 2.1075E-01 3.7481E+04 3.0517E-011939 3102
 3.7484E+04 3.2218E-01 3.7487E+04 3.3313E-01 3.7490E+04 3.3690E-011939 3102
 3.7493E+04 3.3306E-01 3.7496E+04 3.2201E-01 3.7499E+04 3.0499E-011939 3102
 3.7511E+04 2.1049E-01 3.7514E+04 1.8751E-01 3.7519E+04 1.5503E-011939 3102
 3.7521E+04 1.4093E-01 3.7526E+04 1.1678E-01 3.7531E+04 9.7440E-021939 3102
 3.7534E+04 8.9310E-02 3.7538E+04 7.5596E-02 3.7543E+04 6.4594E-021939 3102
 3.7548E+04 5.5694E-02 3.7553E+04 4.8422E-02 3.7558E+04 4.2453E-021939 3102
 3.7563E+04 3.7498E-02 3.7567E+04 3.3350E-02 3.7572E+04 2.9843E-021939 3102
 3.7577E+04 2.6872E-02 3.7582E+04 2.4327E-02 3.7592E+04 2.0218E-021939 3102
 3.7601E+04 1.7061E-02 3.7611E+04 1.4594E-02 3.7621E+04 1.2637E-021939 3102
 3.7630E+04 1.1060E-02 3.7640E+04 9.7746E-03 3.7650E+04 8.7221E-031939 3102
 3.7669E+04 7.0866E-03 3.7688E+04 5.8844E-03 3.7708E+04 4.9861E-031939 3102
 3.7727E+04 4.2982E-03 3.7746E+04 3.7654E-03 3.7785E+04 2.9927E-031939 3102
 3.7824E+04 2.4681E-03 3.7862E+04 2.1005E-03 3.7940E+04 1.6346E-031939 3102
 3.7978E+04 1.4836E-03 3.8133E+04 1.1391E-03 3.8288E+04 9.9427E-041939 3102
 3.8597E+04 9.1602E-04 3.9061E+04 9.9406E-04 3.9216E+04 1.0496E-031939 3102
 3.9525E+04 1.2020E-03 3.9680E+04 1.3013E-03 3.9834E+04 1.4193E-031939 3102
 3.9989E+04 1.5596E-03 4.0144E+04 1.7270E-03 4.0298E+04 1.9280E-031939 3102
 4.0376E+04 2.0437E-03 4.0453E+04 2.1716E-03 4.0530E+04 2.3132E-031939 3102
 4.0608E+04 2.4704E-03 4.0685E+04 2.6456E-03 4.0762E+04 2.8416E-031939 3102
 4.0840E+04 3.0617E-03 4.0917E+04 3.3099E-03 4.0994E+04 3.5912E-031939 3102
 4.1072E+04 3.9118E-03 4.1149E+04 4.2790E-03 4.1226E+04 4.7024E-031939 3102
 4.1304E+04 5.1938E-03 4.1381E+04 5.7684E-03 4.1458E+04 6.4460E-031939 3102
 4.1536E+04 7.2521E-03 4.1613E+04 8.2185E-03 4.1652E+04 8.7754E-031939 3102
 4.1690E+04 9.3929E-03 4.1729E+04 1.0078E-02 4.1768E+04 1.0840E-021939 3102
 4.1806E+04 1.1691E-02 4.1845E+04 1.2645E-02 4.1884E+04 1.3718E-021939 3102
 4.1922E+04 1.4932E-02 4.1961E+04 1.6309E-02 4.2000E+04 1.7880E-021939 3102
 4.2038E+04 1.9680E-02 4.2077E+04 2.1754E-02 4.2116E+04 2.4156E-021939 3102
 4.2154E+04 2.6952E-02 4.2193E+04 3.0226E-02 4.2232E+04 3.4079E-021939 3102
 4.2270E+04 3.8638E-02 4.2309E+04 4.4053E-02 4.2348E+04 5.0504E-021939 3102
 4.2386E+04 5.8195E-02 4.2425E+04 6.7335E-02 4.2464E+04 7.8092E-021939 3102
 4.2496E+04 8.8366E-02 4.2528E+04 9.9743E-02 4.2625E+04 1.3599E-011939 3102
 4.2657E+04 1.4576E-01 4.2690E+04 1.5224E-01 4.2722E+04 1.5441E-011939 3102
 4.2754E+04 1.5190E-01 4.2787E+04 1.4514E-01 4.2819E+04 1.3519E-011939 3102
 4.2851E+04 1.2339E-01 4.2916E+04 9.8762E-02 4.2948E+04 8.7405E-021939 3102
 4.2980E+04 7.7196E-02 4.3027E+04 6.4570E-02 4.3073E+04 5.4219E-021939 3102
 4.3120E+04 4.5834E-02 4.3166E+04 3.9049E-02 4.3213E+04 3.3542E-021939 3102
 4.3259E+04 2.9043E-02 4.3306E+04 2.5343E-02 4.3352E+04 2.2276E-021939 3102
 4.3399E+04 1.9714E-02 4.3445E+04 1.7557E-02 4.3492E+04 1.5728E-021939 3102
 4.3538E+04 1.4165E-02 4.3585E+04 1.2822E-02 4.3631E+04 1.1661E-021939 3102
 4.3724E+04 9.7677E-03 4.3817E+04 8.3094E-03 4.3910E+04 7.1645E-031939 3102
 4.4003E+04 6.2502E-03 4.4096E+04 5.5130E-03 4.4189E+04 4.9130E-031939 3102
 4.4282E+04 4.4212E-03 4.4375E+04 4.0167E-03 4.4468E+04 3.6841E-031939 3102
 4.4654E+04 3.1941E-03 4.4840E+04 2.9015E-03 4.5026E+04 2.8054E-031939 3102
 4.5212E+04 2.9769E-03 4.5305E+04 3.2283E-03 4.5397E+04 3.6766E-031939 3102
 4.5490E+04 4.4684E-03 4.5560E+04 5.4654E-03 4.5630E+04 7.1423E-031939 3102
 4.5653E+04 7.9516E-03 4.5700E+04 1.0198E-02 4.5723E+04 1.1770E-021939 3102
 4.5746E+04 1.3805E-02 4.5769E+04 1.6517E-02 4.5781E+04 1.8215E-021939 3102
 4.5804E+04 2.2577E-02 4.5816E+04 2.5412E-02 4.5827E+04 2.8843E-021939 3102
 4.5839E+04 3.3048E-02 4.5851E+04 3.8264E-02 4.5862E+04 4.4798E-021939 3102
 4.5868E+04 4.8708E-02 4.5880E+04 5.8287E-02 4.5886E+04 6.4172E-021939 3102
 4.5891E+04 7.0976E-02 4.5897E+04 7.8889E-02 4.5903E+04 8.8147E-021939 3102
 4.5909E+04 9.9069E-02 4.5915E+04 1.1199E-01 4.5920E+04 1.2740E-011939 3102
 4.5926E+04 1.4588E-01 4.5932E+04 1.6814E-01 4.5938E+04 1.9502E-011939 3102
 4.5944E+04 2.2742E-01 4.5950E+04 2.6619E-01 4.5955E+04 3.1192E-011939 3102
 4.5960E+04 3.5139E-01 4.5978E+04 5.2234E-01 4.5982E+04 5.5470E-011939 3102
 4.5987E+04 5.7584E-01 4.5991E+04 5.8312E-01 4.5995E+04 5.7565E-011939 3102
 4.6000E+04 5.5435E-01 4.6004E+04 5.2188E-01 4.6022E+04 3.5093E-011939 3102
 4.6027E+04 3.1143E-01 4.6033E+04 2.6492E-01 4.6039E+04 2.2559E-011939 3102
 4.6044E+04 1.9286E-01 4.6050E+04 1.6579E-01 4.6056E+04 1.4349E-011939 3102
 4.6062E+04 1.2505E-01 4.6068E+04 1.0972E-01 4.6074E+04 9.6875E-021939 3102
 4.6080E+04 8.6084E-02 4.6086E+04 7.6939E-02 4.6092E+04 6.9137E-021939 3102
 4.6098E+04 6.2429E-02 4.6104E+04 5.6644E-02 4.6110E+04 5.1614E-021939 3102
 4.6122E+04 4.3402E-02 4.6134E+04 3.7014E-02 4.6146E+04 3.1912E-021939 3102
 4.6157E+04 2.7805E-02 4.6169E+04 2.4452E-02 4.6181E+04 2.1686E-021939 3102
 4.6193E+04 1.9374E-02 4.6217E+04 1.5764E-02 4.6253E+04 1.2043E-021939 3102
 4.6288E+04 9.5691E-03 4.6312E+04 8.3352E-03 4.6359E+04 6.5343E-031939 3102
 4.6431E+04 4.8318E-03 4.6550E+04 3.2869E-03 4.6645E+04 2.5903E-031939 3102
 4.6787E+04 1.9604E-03 4.7073E+04 1.3319E-03 4.7358E+04 1.0280E-031939 3102
 4.7548E+04 9.0186E-04 4.7929E+04 7.3897E-04 4.8309E+04 6.4071E-041939 3102
 4.8689E+04 5.7820E-04 4.9070E+04 5.3874E-04 4.9830E+04 5.0929E-041939 3102
 5.0781E+04 5.8126E-04 5.1162E+04 7.0545E-04 5.1542E+04 1.1281E-031939 3102
 5.1732E+04 1.9123E-03 5.1827E+04 2.9840E-03 5.1875E+04 4.0536E-031939 3102
 5.1922E+04 5.9561E-03 5.1946E+04 7.5405E-03 5.1970E+04 9.9867E-031939 3102
 5.1994E+04 1.3874E-02 5.2006E+04 1.6781E-02 5.2018E+04 2.0853E-021939 3102
 5.2029E+04 2.6669E-02 5.2041E+04 3.5307E-02 5.2047E+04 4.1347E-021939 3102
 5.2053E+04 4.9210E-02 5.2059E+04 5.9649E-02 5.2065E+04 7.3939E-021939 3102
 5.2071E+04 9.4170E-02 5.2074E+04 1.0766E-01 5.2077E+04 1.2440E-011939 3102
 5.2080E+04 1.4560E-01 5.2083E+04 1.7303E-01 5.2086E+04 2.0940E-011939 3102
 5.2089E+04 2.5906E-01 5.2090E+04 2.9047E-01 5.2092E+04 3.2790E-011939 3102
 5.2093E+04 3.7204E-01 5.2095E+04 4.2484E-01 5.2096E+04 4.8704E-011939 3102
 5.2098E+04 5.6101E-01 5.2099E+04 6.4784E-01 5.2101E+04 7.4876E-011939 3102
 5.2102E+04 8.6374E-01 5.2104E+04 9.9445E-01 5.2105E+04 1.1383E+001939 3102
 5.2113E+04 1.9592E+00 5.2114E+04 2.1342E+00 5.2116E+04 2.2412E+001939 3102
 5.2117E+04 2.3217E+00 5.2118E+04 2.3586E+00 5.2120E+04 2.3886E+001939 3102
 5.2122E+04 2.3585E+00 5.2123E+04 2.3216E+00 5.2124E+04 2.2410E+001939 3102
 5.2126E+04 2.1340E+00 5.2126E+04 2.0504E+00 5.2130E+04 1.7055E+001939 3102
 5.2133E+04 1.3106E+00 5.2135E+04 1.0696E+00 5.2137E+04 9.5972E-011939 3102
 5.2138E+04 8.5965E-01 5.2139E+04 7.6869E-01 5.2140E+04 6.8682E-011939 3102
 5.2141E+04 6.1313E-01 5.2142E+04 5.4840E-01 5.2144E+04 4.9131E-011939 3102
 5.2146E+04 3.9692E-01 5.2148E+04 3.2506E-01 5.2151E+04 2.6986E-011939 3102
 5.2153E+04 2.2750E-01 5.2155E+04 1.9430E-01 5.2158E+04 1.6812E-011939 3102
 5.2160E+04 1.4695E-01 5.2165E+04 1.1538E-01 5.2169E+04 9.3211E-021939 3102
 5.2174E+04 7.6997E-02 5.2179E+04 6.4780E-02 5.2183E+04 5.5341E-021939 3102
 5.2192E+04 4.1848E-02 5.2202E+04 3.2773E-02 5.2211E+04 2.6402E-021939 3102
 5.2220E+04 2.1824E-02 5.2239E+04 1.5691E-02 5.2258E+04 1.1818E-021939 3102
 5.2276E+04 9.2694E-03 5.2295E+04 7.5033E-03 5.2313E+04 6.2471E-031939 3102
 5.2351E+04 4.5797E-03 5.2425E+04 2.8771E-03 5.2499E+04 2.0875E-031939 3102
 5.2723E+04 1.2455E-03 5.3169E+04 9.8874E-04 5.3467E+04 1.0643E-031939 3102
 5.3615E+04 1.1564E-03 5.3764E+04 1.3051E-03 5.3913E+04 1.5576E-031939 3102
 5.3987E+04 1.7564E-03 5.4062E+04 2.0420E-03 5.4099E+04 2.2356E-031939 3102
 5.4136E+04 2.4819E-03 5.4173E+04 2.8005E-03 5.4211E+04 3.2240E-031939 3102
 5.4248E+04 3.7992E-03 5.4266E+04 4.1690E-03 5.4285E+04 4.6208E-031939 3102
 5.4304E+04 5.1741E-03 5.4322E+04 5.8618E-03 5.4341E+04 6.7314E-031939 3102
 5.4359E+04 7.8526E-03 5.4378E+04 9.3136E-03 5.4387E+04 1.0220E-021939 3102
 5.4397E+04 1.1291E-02 5.4406E+04 1.2558E-02 5.4415E+04 1.4069E-021939 3102
 5.4424E+04 1.5887E-02 5.4434E+04 1.8096E-02 5.4443E+04 2.0810E-021939 3102
 5.4452E+04 2.4176E-02 5.4462E+04 2.8391E-02 5.4471E+04 3.3754E-021939 3102
 5.4476E+04 3.6989E-02 5.4480E+04 4.0669E-02 5.4485E+04 4.4856E-021939 3102
 5.4490E+04 4.9622E-02 5.4494E+04 5.5039E-02 5.4499E+04 6.1178E-021939 3102
 5.4504E+04 6.8093E-02 5.4508E+04 7.5825E-02 5.4519E+04 9.5779E-021939 3102
 5.4526E+04 1.1200E-01 5.4534E+04 1.2711E-01 5.4540E+04 1.3510E-011939 3102
 5.4545E+04 1.4032E-01 5.4550E+04 1.4213E-01 5.4555E+04 1.4028E-011939 3102
 5.4560E+04 1.3502E-01 5.4566E+04 1.2702E-01 5.4587E+04 8.5339E-021939 3102
 5.4592E+04 7.5779E-02 5.4597E+04 6.6693E-02 5.4603E+04 5.8725E-021939 3102
 5.4608E+04 5.1845E-02 5.4614E+04 4.5922E-02 5.4620E+04 4.0854E-021939 3102
 5.4625E+04 3.6502E-02 5.4631E+04 3.2765E-02 5.4636E+04 2.9547E-021939 3102
 5.4642E+04 2.6771E-02 5.4647E+04 2.4360E-02 5.4653E+04 2.2263E-021939 3102
 5.4658E+04 2.0433E-02 5.4670E+04 1.7403E-02 5.4681E+04 1.5006E-021939 3102
 5.4692E+04 1.3096E-02 5.4703E+04 1.1553E-02 5.4714E+04 1.0292E-021939 3102
 5.4725E+04 9.2479E-03 5.4736E+04 8.3783E-03 5.4747E+04 7.6526E-031939 3102
 5.4770E+04 6.5012E-03 5.4792E+04 5.6358E-03 5.4814E+04 4.9780E-031939 3102
 5.4836E+04 4.4682E-03 5.4859E+04 4.0710E-03 5.4903E+04 3.4935E-031939 3102
 5.4947E+04 3.1052E-03 5.4992E+04 2.8403E-03 5.5036E+04 2.6569E-031939 3102
 5.5081E+04 2.5298E-03 5.5125E+04 2.4440E-03 5.5214E+04 2.3546E-031939 3102
 5.5303E+04 2.3389E-03 5.5392E+04 2.3743E-03 5.5481E+04 2.4487E-031939 3102
 5.5570E+04 2.5562E-03 5.5659E+04 2.6944E-03 5.5748E+04 2.8631E-031939 3102
 5.5837E+04 3.0643E-03 5.5925E+04 3.3010E-03 5.6014E+04 3.5784E-031939 3102
 5.6103E+04 3.9022E-03 5.6148E+04 4.0840E-03 5.6192E+04 4.2816E-031939 3102
 5.6237E+04 4.4958E-03 5.6281E+04 4.7285E-03 5.6326E+04 4.9815E-031939 3102
 5.6370E+04 5.2571E-03 5.6415E+04 5.5577E-03 5.6459E+04 5.8864E-031939 3102
 5.6503E+04 6.2465E-03 5.6548E+04 6.6418E-03 5.6592E+04 7.0769E-031939 3102
 5.6637E+04 7.5570E-03 5.6681E+04 8.0881E-03 5.6726E+04 8.6773E-031939 3102
 5.6770E+04 9.3328E-03 5.6815E+04 1.0064E-02 5.6859E+04 1.0883E-021939 3102
 5.6904E+04 1.1804E-02 5.6948E+04 1.2841E-02 5.6992E+04 1.4014E-021939 3102
 5.7037E+04 1.5346E-02 5.7081E+04 1.6863E-02 5.7126E+04 1.8597E-021939 3102
 5.7170E+04 2.0584E-02 5.7215E+04 2.2867E-02 5.7259E+04 2.5497E-021939 3102
 5.7304E+04 2.8525E-02 5.7348E+04 3.2012E-02 5.7393E+04 3.6012E-021939 3102
 5.7437E+04 4.0568E-02 5.7483E+04 4.5898E-02 5.7529E+04 5.1797E-021939 3102
 5.7575E+04 5.8099E-02 5.7668E+04 7.0596E-02 5.7714E+04 7.5666E-021939 3102
 5.7760E+04 7.9028E-02 5.7806E+04 8.0157E-02 5.7852E+04 7.8856E-021939 3102
 5.7898E+04 7.5347E-02 5.7944E+04 7.0188E-02 5.7991E+04 6.4072E-021939 3102
 5.8129E+04 4.5450E-02 5.8175E+04 4.0165E-02 5.8224E+04 3.5205E-021939 3102
 5.8274E+04 3.0923E-02 5.8323E+04 2.7255E-02 5.8372E+04 2.4124E-021939 3102
 5.8421E+04 2.1454E-02 5.8471E+04 1.9173E-02 5.8520E+04 1.7221E-021939 3102
 5.8569E+04 1.5546E-02 5.8668E+04 1.2859E-02 5.8717E+04 1.1782E-021939 3102
 5.8815E+04 1.0040E-02 5.8865E+04 9.3411E-03 5.8963E+04 8.2161E-031939 3102
 5.9062E+04 7.4013E-03 5.9160E+04 6.8667E-03 5.9259E+04 6.6263E-031939 3102
 5.9357E+04 6.7610E-03 5.9406E+04 7.0258E-03 5.9480E+04 7.7942E-031939 3102
 5.9529E+04 8.6988E-03 5.9554E+04 9.3243E-03 5.9603E+04 1.1081E-021939 3102
 5.9628E+04 1.2309E-02 5.9653E+04 1.3861E-02 5.9677E+04 1.5832E-021939 3102
 5.9702E+04 1.8341E-02 5.9726E+04 2.1524E-02 5.9751E+04 2.5491E-021939 3102
 5.9767E+04 2.8448E-02 5.9829E+04 4.2241E-02 5.9845E+04 4.5074E-021939 3102
 5.9860E+04 4.6936E-02 5.9876E+04 4.7552E-02 5.9892E+04 4.6812E-021939 3102
 5.9907E+04 4.4834E-02 5.9923E+04 4.1906E-02 5.9985E+04 2.7836E-021939 3102
 6.0001E+04 2.4798E-02 6.0028E+04 2.0395E-02 6.0041E+04 1.8559E-021939 3102
 6.0068E+04 1.5506E-02 6.0108E+04 1.2160E-02 6.0135E+04 1.0496E-021939 3102
 6.0162E+04 9.1711E-03 6.0189E+04 8.1033E-03 6.0216E+04 7.2323E-031939 3102
 6.0269E+04 5.9134E-03 6.0350E+04 4.6063E-03 6.0430E+04 3.7629E-031939 3102
 6.0591E+04 2.7476E-03 6.0752E+04 2.1685E-03 6.0860E+04 1.9030E-031939 3102
 6.1074E+04 1.5282E-03 6.1289E+04 1.2746E-03 6.1504E+04 1.0903E-031939 3102
 6.1933E+04 8.3804E-04 6.2577E+04 6.0989E-04 6.3221E+04 4.7041E-041939 3102
 6.4294E+04 3.3150E-04 6.5152E+04 2.6388E-04 6.6440E+04 1.9935E-041939 3102
 6.7728E+04 1.5931E-04 6.8587E+04 1.4066E-04 7.0304E+04 1.1528E-041939 3102
 7.2880E+04 9.5175E-05 7.5455E+04 8.8423E-05 7.9748E+04 1.0598E-041939 3102
 8.1466E+04 1.3349E-04 8.2753E+04 1.7615E-04 8.3183E+04 1.9888E-041939 3102
 8.4256E+04 2.9600E-04 8.4900E+04 4.1273E-04 8.5114E+04 4.7164E-041939 3102
 8.5436E+04 5.9214E-04 8.5651E+04 7.0502E-04 8.5973E+04 9.5672E-041939 3102
 8.6080E+04 1.0745E-03 8.6188E+04 1.2171E-03 8.6295E+04 1.3923E-031939 3102
 8.6402E+04 1.6105E-03 8.6563E+04 2.0519E-03 8.6671E+04 2.4607E-031939 3102
 8.6724E+04 2.7134E-03 8.6778E+04 3.0076E-03 8.6832E+04 3.3528E-031939 3102
 8.6885E+04 3.7610E-03 8.6939E+04 4.2481E-03 8.6993E+04 4.8350E-031939 3102
 8.7046E+04 5.5496E-03 8.7100E+04 6.4294E-03 8.7154E+04 7.5195E-031939 3102
 8.7207E+04 8.8951E-03 8.7234E+04 9.7220E-03 8.7261E+04 1.0660E-021939 3102
 8.7288E+04 1.1727E-02 8.7315E+04 1.2945E-02 8.7341E+04 1.4336E-021939 3102
 8.7368E+04 1.5929E-02 8.7395E+04 1.7755E-02 8.7422E+04 1.9843E-021939 3102
 8.7449E+04 2.2224E-02 8.7476E+04 2.4926E-02 8.7505E+04 2.8244E-021939 3102
 8.7534E+04 3.1918E-02 8.7622E+04 4.3653E-02 8.7651E+04 4.6834E-021939 3102
 8.7681E+04 4.8945E-02 8.7710E+04 4.9665E-02 8.7739E+04 4.8871E-021939 3102
 8.7768E+04 4.6700E-02 8.7798E+04 4.3484E-02 8.7886E+04 3.1753E-021939 3102
 8.7915E+04 2.8098E-02 8.7944E+04 2.4815E-02 8.7985E+04 2.0910E-021939 3102
 8.8025E+04 1.7681E-02 8.8066E+04 1.5044E-02 8.8106E+04 1.2894E-021939 3102
 8.8147E+04 1.1136E-02 8.8187E+04 9.6908E-03 8.8227E+04 8.4952E-031939 3102
 8.8268E+04 7.4985E-03 8.8308E+04 6.6619E-03 8.8349E+04 5.9543E-031939 3102
 8.8389E+04 5.3519E-03 8.8430E+04 4.8353E-03 8.8470E+04 4.3898E-031939 3102
 8.8511E+04 4.0031E-03 8.8592E+04 3.3714E-03 8.8672E+04 2.8807E-031939 3102
 8.8753E+04 2.4912E-03 8.8834E+04 2.1785E-03 8.8915E+04 1.9241E-031939 3102
 8.8996E+04 1.7145E-03 8.9077E+04 1.5400E-03 8.9239E+04 1.2691E-031939 3102
 8.9482E+04 9.9282E-04 8.9724E+04 8.1217E-04 8.9886E+04 7.2513E-041939 3102
 9.0210E+04 6.0375E-04 9.0695E+04 5.0478E-04 9.1181E+04 4.7016E-041939 3102
 9.1666E+04 4.9603E-04 9.2152E+04 6.4251E-04 9.2475E+04 9.8382E-041939 3102
 9.2556E+04 1.1674E-03 9.2718E+04 1.9072E-03 9.2799E+04 2.7203E-031939 3102
 9.2839E+04 3.3933E-03 9.2880E+04 4.4222E-03 9.2920E+04 6.0462E-031939 3102
 9.2940E+04 7.2493E-03 9.2961E+04 8.9193E-03 9.2981E+04 1.1283E-021939 3102
 9.3001E+04 1.4728E-02 9.3011E+04 1.7097E-02 9.3021E+04 2.0148E-021939 3102
 9.3031E+04 2.4135E-02 9.3042E+04 2.9473E-02 9.3052E+04 3.6806E-021939 3102
 9.3062E+04 4.7294E-02 9.3067E+04 5.4328E-02 9.3072E+04 6.3118E-021939 3102
 9.3077E+04 7.4269E-02 9.3082E+04 8.8676E-02 9.3087E+04 1.0762E-011939 3102
