Y - 91N,G    1.0000+00* JEF-2.2                                   3991 3102
 8.6555E-01 2.3944E-01 9.5535E-01 2.2794E-01 1.0528E+00 2.1711E-013991 3102
 1.1315E+00 2.0941E-01 1.2150E+00 2.0207E-01 1.2940E+00 1.9580E-013991 3102
 1.3772E+00 1.8979E-01 1.4530E+00 1.8477E-01 1.5323E+00 1.7992E-013991 3102
 1.6151E+00 1.7525E-01 1.7017E+00 1.7075E-01 1.8580E+00 1.6342E-013991 3102
 2.0261E+00 1.5649E-01 2.1833E+00 1.5075E-01 2.3505E+00 1.4528E-013991 3102
 2.5084E+00 1.4063E-01 2.6749E+00 1.3618E-01 2.8333E+00 1.3232E-013991 3102
 2.9994E+00 1.2861E-01 3.3106E+00 1.2243E-01 3.6482E+00 1.1662E-013991 3102
 3.8964E+00 1.1283E-01 4.1584E+00 1.0922E-01 4.4073E+00 1.0609E-013991 3102
 4.6686E+00 1.0308E-01 5.1578E+00 9.8079E-02 5.6889E+00 9.3384E-023991 3102
 6.1816E+00 8.9583E-02 6.7093E+00 8.5986E-02 7.2044E+00 8.2977E-023991 3102
 7.7297E+00 8.0107E-02 8.2267E+00 7.7648E-02 8.7500E+00 7.5289E-023991 3102
 9.2485E+00 7.3232E-02 9.7704E+00 7.1252E-02 1.0750E+01 6.7929E-023991 3102
 1.1811E+01 6.4806E-02 1.2798E+01 6.2257E-02 1.3852E+01 5.9840E-023991 3102
 1.4843E+01 5.7807E-02 1.5893E+01 5.5865E-02 1.6887E+01 5.4194E-023991 3102
 1.7933E+01 5.2589E-02 1.8931E+01 5.1184E-02 1.9974E+01 4.9831E-023991 3102
 2.1936E+01 4.7552E-02 2.4055E+01 4.5408E-02 2.6029E+01 4.3652E-023991 3102
 2.8137E+01 4.1985E-02 3.0120E+01 4.0579E-02 3.2218E+01 3.9235E-023991 3102
 3.4208E+01 3.8076E-02 3.6300E+01 3.6964E-02 4.0209E+01 3.5122E-023991 3102
 4.4462E+01 3.3399E-02 4.8401E+01 3.2011E-02 5.2625E+01 3.0699E-023991 3102
 5.6584E+01 2.9605E-02 6.0788E+01 2.8563E-02 6.4762E+01 2.7673E-023991 3102
 6.8951E+01 2.6819E-02 7.2765E+01 2.6106E-02 7.6753E+01 2.5419E-023991 3102
 8.0921E+01 2.4756E-02 8.5277E+01 2.4115E-02 9.3142E+01 2.3075E-023991 3102
 1.0160E+02 2.2093E-02 1.0951E+02 2.1280E-02 1.1793E+02 2.0507E-023991 3102
 1.2587E+02 1.9849E-02 1.3425E+02 1.9219E-02 1.4187E+02 1.8696E-023991 3102
 1.4984E+02 1.8192E-02 1.5818E+02 1.7706E-02 1.6691E+02 1.7237E-023991 3102
 1.8262E+02 1.6479E-02 1.9956E+02 1.5764E-02 2.1537E+02 1.5174E-023991 3102
 2.3221E+02 1.4614E-02 2.4809E+02 1.4138E-02 2.6486E+02 1.3683E-023991 3102
 2.8007E+02 1.3306E-02 2.9601E+02 1.2943E-02 3.1270E+02 1.2593E-023991 3102
 3.3016E+02 1.2256E-02 3.6159E+02 1.1711E-02 3.9546E+02 1.1198E-023991 3102
 4.2708E+02 1.0776E-02 4.6077E+02 1.0374E-02 4.9252E+02 1.0034E-023991 3102
 4.9461E+02 9.9023E-03 4.9671E+02 9.8857E-03 5.2188E+02 9.8570E-033991 3102
 5.2397E+02 9.8836E-03 5.2424E+02 1.0108E-02 5.2450E+02 1.1204E-023991 3102
 5.2463E+02 1.2673E-02 5.2476E+02 1.5416E-02 5.2482E+02 1.7513E-023991 3102
 5.2489E+02 2.0258E-02 5.2496E+02 2.3803E-02 5.2502E+02 2.8320E-023991 3102
 5.2509E+02 3.3999E-02 5.2515E+02 4.1020E-02 5.2522E+02 4.9601E-023991 3102
 5.2528E+02 5.9908E-02 5.2535E+02 7.2153E-02 5.2541E+02 8.6447E-023991 3102
 5.2548E+02 1.0292E-01 5.2555E+02 1.2164E-01 5.2561E+02 1.4265E-013991 3102
 5.2568E+02 1.6581E-01 5.2574E+02 1.9103E-01 5.2581E+02 2.1811E-013991 3102
 5.2587E+02 2.4680E-01 5.2594E+02 2.7669E-01 5.2607E+02 3.3871E-013991 3102
 5.2621E+02 4.0266E-01 5.2628E+02 4.3337E-01 5.2635E+02 4.6265E-013991 3102
 5.2641E+02 4.9014E-01 5.2648E+02 5.1554E-01 5.2655E+02 5.3864E-013991 3102
 5.2662E+02 5.5933E-01 5.2669E+02 5.7757E-01 5.2676E+02 5.9337E-013991 3102
 5.2683E+02 6.0686E-01 5.2689E+02 6.1818E-01 5.2696E+02 6.2754E-013991 3102
 5.2703E+02 6.3514E-01 5.2717E+02 6.4600E-01 5.2731E+02 6.5248E-013991 3102
 5.2744E+02 6.5607E-01 5.2772E+02 6.5871E-01 5.2827E+02 6.5887E-013991 3102
 5.3047E+02 6.5779E-01 5.3926E+02 6.5639E-01 5.4146E+02 6.5527E-013991 3102
 5.4256E+02 6.5321E-01 5.4311E+02 6.5063E-01 5.4366E+02 6.4660E-013991 3102
 5.6183E+02 6.2626E-01 5.8061E+02 6.0656E-01 6.0000E+02 5.8758E-013991 3102
 6.4174E+02 5.6472E-01 6.8596E+02 5.4302E-01 7.3209E+02 5.2263E-013991 3102
 7.8088E+02 5.0318E-01 8.3170E+02 4.8487E-01 8.8535E+02 4.6737E-013991 3102
 9.4117E+02 4.5087E-01 1.0000E+03 4.3508E-01 1.0984E+03 4.1303E-013991 3102
 1.2037E+03 3.9259E-01 1.3163E+03 3.7360E-01 1.4365E+03 3.5594E-013991 3102
 1.5641E+03 3.3955E-01 1.7011E+03 3.2411E-01 1.8454E+03 3.0980E-013991 3102
 2.0000E+03 2.9629E-01 2.1090E+03 2.8787E-01 2.2229E+03 2.7974E-013991 3102
 2.3405E+03 2.7201E-01 2.4634E+03 2.6455E-01 2.5892E+03 2.5748E-013991 3102
 2.7205E+03 2.5064E-01 3.0000E+03 2.3766E-01 3.2103E+03 2.2810E-013991 3102
 3.4332E+03 2.1900E-01 3.6645E+03 2.1052E-01 3.9093E+03 2.0242E-013991 3102
 4.1629E+03 1.9486E-01 4.4307E+03 1.8763E-01 4.7079E+03 1.8085E-013991 3102
 5.0000E+03 1.7437E-01 5.2217E+03 1.6917E-01 5.4523E+03 1.6414E-013991 3102
 5.6919E+03 1.5928E-01 5.9410E+03 1.5459E-01 6.1913E+03 1.5019E-013991 3102
 6.4510E+03 1.4594E-01 7.3299E+03 1.3317E-01 7.6741E+03 1.2867E-013991 3102
 8.0330E+03 1.2433E-01 8.4072E+03 1.2016E-01 8.7820E+03 1.1629E-013991 3102
 9.1720E+03 1.1256E-01 9.5778E+03 1.0897E-01 1.0000E+04 1.0550E-013991 3102
 1.0484E+04 1.0168E-01 1.0989E+04 9.8001E-02 1.1517E+04 9.4471E-023991 3102
 1.2068E+04 9.1080E-02 1.2619E+04 8.7960E-02 1.3192E+04 8.4957E-023991 3102
 1.3790E+04 8.2065E-02 1.4412E+04 7.9281E-02 1.5033E+04 7.6707E-023991 3102
 1.5680E+04 7.4225E-02 1.6351E+04 7.1830E-02 1.7050E+04 6.9519E-023991 3102
 1.7747E+04 6.7375E-02 1.8470E+04 6.5303E-02 1.9221E+04 6.3301E-023991 3102
 2.0000E+04 6.1365E-02 2.0937E+04 5.9143E-02 2.1915E+04 5.7008E-023991 3102
 2.2935E+04 5.4955E-02 2.4000E+04 5.2982E-02 2.5385E+04 5.0653E-023991 3102
 2.6844E+04 4.8434E-02 2.8381E+04 4.6321E-02 3.0000E+04 4.4306E-023991 3102
 3.1184E+04 4.3020E-02 3.2411E+04 4.1776E-02 3.5000E+04 3.9404E-023991 3102
 3.7423E+04 3.7447E-02 4.0000E+04 3.5598E-02 4.2311E+04 3.4109E-023991 3102
 4.4744E+04 3.2689E-02 4.7305E+04 3.1334E-02 5.0000E+04 3.0040E-023991 3102
 5.2227E+04 2.9188E-02 5.4541E+04 2.8364E-02 5.6946E+04 2.7568E-023991 3102
 5.9444E+04 2.6797E-02 6.4531E+04 2.5383E-02 7.0000E+04 2.4056E-023991 3102
 7.6785E+04 2.2906E-02 8.4117E+04 2.1826E-02 9.1769E+04 2.0842E-023991 3102
 1.0000E+05 1.9915E-02 1.0698E+05 1.9404E-02 1.1435E+05 1.8913E-023991 3102
 1.2197E+05 1.8448E-02 1.3000E+05 1.8001E-02 1.4442E+05 1.7548E-023991 3102
 1.6000E+05 1.7118E-02 2.0000E+05 1.6647E-02 2.4000E+05 1.6476E-023991 3102
 3.0000E+05 1.6480E-02 3.7000E+05 1.6631E-02 4.0858E+05 1.6706E-023991 3102
 4.5000E+05 1.6780E-02 5.0000E+05 1.6864E-02 5.5000E+05 1.6941E-023991 3102
 5.6176E+05 1.6275E-02 5.6176E+05 1.6275E-02 5.7877E+05 1.5380E-023991 3102
 5.9629E+05 1.4534E-02 6.1434E+05 1.3734E-02 6.3294E+05 1.2979E-023991 3102
 6.5300E+05 1.2233E-02 6.6014E+05 1.1983E-02 6.6014E+05 1.1983E-023991 3102
 6.6211E+05 1.1916E-02 6.6408E+05 1.1849E-02 6.6804E+05 1.1716E-023991 3102
 6.7202E+05 1.1585E-02 6.7603E+05 1.1455E-02 6.8194E+05 1.1267E-023991 3102
 6.8791E+05 1.1082E-02 7.0000E+05 1.0722E-02 7.1720E+05 1.0433E-023991 3102
 7.3482E+05 1.0151E-02 7.7136E+05 9.6108E-03 8.0973E+05 9.0992E-033991 3102
 8.5000E+05 8.6148E-03 8.9213E+05 8.3634E-03 9.3607E+05 8.1209E-033991 3102
 9.3607E+05 8.1209E-03 1.0000E+06 7.7991E-03 1.0470E+06 7.3918E-033991 3102
 1.0959E+06 7.0074E-03 1.1469E+06 6.6445E-03 1.2001E+06 6.3018E-033991 3102
 1.2491E+06 6.0141E-03 1.3000E+06 5.7396E-03 1.3199E+06 5.6070E-033991 3102
 1.3605E+06 5.3513E-03 1.4027E+06 5.1060E-03 1.4456E+06 4.8745E-033991 3102
 1.4901E+06 4.6523E-03 1.5000E+06 4.6051E-03 1.5631E+06 4.3222E-033991 3102
 1.5900E+06 4.2102E-03 1.5975E+06 4.1798E-03 1.5975E+06 4.1797E-033991 3102
 1.6000E+06 4.1698E-03 1.6001E+06 4.1695E-03 1.6450E+06 3.9663E-033991 3102
 1.6916E+06 3.7715E-03 1.7393E+06 3.5873E-03 1.7886E+06 3.4109E-033991 3102
 1.8391E+06 3.2441E-03 1.8913E+06 3.0844E-03 1.9447E+06 2.9334E-033991 3102
 2.0000E+06 2.7888E-03 2.0935E+06 2.6445E-03 2.1912E+06 2.5078E-033991 3102
 2.2933E+06 2.3785E-03 2.4000E+06 2.2560E-03 2.5000E+06 2.1595E-033991 3102
 2.6173E+06 2.0559E-03 2.7396E+06 1.9577E-03 2.8671E+06 1.8646E-033991 3102
 3.0000E+06 1.7763E-03 3.1202E+06 1.7777E-03 3.2436E+06 1.7792E-033991 3102
 3.3702E+06 1.7806E-03 3.5000E+06 1.7820E-03 3.6208E+06 1.7832E-033991 3102
 3.7444E+06 1.7845E-03 3.8708E+06 1.7857E-03 4.0000E+06 1.7869E-033991 3102
 4.2451E+06 1.7891E-03 4.5000E+06 1.7913E-03 4.6217E+06 1.7923E-033991 3102
 4.7456E+06 1.7933E-03 4.8717E+06 1.7942E-03 5.0000E+06 1.7952E-033991 3102
 5.1215E+06 1.7706E-03 5.2449E+06 1.7466E-03 5.5000E+06 1.6996E-033991 3102
 5.5369E+06 1.6930E-03 5.5380E+06 1.6929E-03 5.7659E+06 1.6541E-033991 3102
 6.0000E+06 1.6167E-03 6.2467E+06 1.5797E-03 6.5000E+06 1.5440E-033991 3102
 6.7469E+06 1.5113E-03 7.0000E+06 1.4797E-03 7.0986E+06 1.4746E-033991 3102
 7.1000E+06 1.4745E-03 7.2975E+06 1.4645E-03 7.5000E+06 1.4546E-033991 3102
 7.7473E+06 1.4430E-03 8.0000E+06 1.4316E-03 8.2475E+06 1.4208E-033991 3102
 8.5000E+06 1.4102E-03 8.7476E+06 1.4002E-03 9.0000E+06 1.3904E-033991 3102
 9.2477E+06 1.3811E-03 9.5000E+06 1.3719E-03 9.7479E+06 1.3632E-033991 3102
 1.0000E+07 1.3546E-03 1.0248E+07 1.3701E-03 1.0500E+07 1.3857E-033991 3102
 1.0748E+07 1.4009E-03 1.1000E+07 1.4161E-03 1.1248E+07 1.4309E-033991 3102
 1.1500E+07 1.4457E-03 1.1613E+07 1.4524E-03 1.1615E+07 1.4525E-033991 3102
 1.2000E+07 1.4747E-03 1.2248E+07 1.4985E-03 1.2500E+07 1.5225E-033991 3102
 1.2748E+07 1.5462E-03 1.3000E+07 1.5700E-03 1.3212E+07 1.5899E-033991 3102
 1.3426E+07 1.6100E-03 1.3428E+07 1.6103E-03 1.3500E+07 1.6170E-033991 3102
 1.3534E+07 1.6202E-03 1.3766E+07 1.6418E-03 1.4000E+07 1.6637E-033991 3102
 1.4249E+07 1.6867E-03 1.4500E+07 1.7100E-03 1.4749E+07 1.7328E-033991 3102
 1.5000E+07 1.7559E-03 1.5500E+07 1.8015E-03 1.6000E+07 1.8468E-033991 3102
 1.6249E+07 1.8692E-03 1.6500E+07 1.8918E-03 1.6749E+07 1.9141E-033991 3102
 1.7000E+07 1.9365E-03 1.7320E+07 1.9650E-03 1.7500E+07 1.9809E-033991 3102
 1.7749E+07 2.0029E-03 1.8000E+07 2.0250E-03 1.8249E+07 2.0469E-033991 3102
 1.8500E+07 2.0689E-03 1.8749E+07 2.0906E-03 1.9000E+07 2.1125E-033991 3102
 1.9249E+07 2.1341E-03 1.9500E+07 2.1559E-03 1.9749E+07 2.1774E-033991 3102
 2.0000E+07 2.1990E-03                                            3991 3102
                                                                  3991 3  0
