S - 36N,G    1.0000+00* JEF-2.2                                   1636 3102
                                                                  1636 3102
 1.60360+04 3.5658E+01          0         99          0          01636 3102
 3.0000E+02 4.3017E+06          0          0          1        4571636 3102
        457          2                                            1636 3102
 1.0000E-05 5.3750E+00 1.0750E-05 5.1845E+00 1.1544E-05 5.0034E+001636 3102
 1.2296E-05 4.8482E+00 1.3087E-05 4.6997E+00 1.3826E-05 4.5727E+001636 3102
 1.4565E-05 4.4555E+00 1.5370E-05 4.3376E+00 1.6174E-05 4.2286E+001636 3102
 1.7664E-05 4.0470E+00 1.9261E-05 3.8760E+00 2.0759E-05 3.7341E+001636 3102
 2.2349E-05 3.5994E+00 2.3852E-05 3.4845E+00 2.5436E-05 3.3748E+001636 3102
 2.6979E-05 3.2773E+00 2.8523E-05 3.1878E+00 3.1489E-05 3.0348E+001636 3102
 3.4697E-05 2.8919E+00 3.7683E-05 2.7757E+00 4.0872E-05 2.6660E+001636 3102
 4.3872E-05 2.5739E+00 4.7046E-05 2.4862E+00 5.0057E-05 2.4109E+001636 3102
 5.3220E-05 2.3388E+00 5.6307E-05 2.2744E+00 5.9395E-05 2.2151E+001636 3102
 6.5336E-05 2.1131E+00 7.1743E-05 2.0176E+00 7.7721E-05 1.9395E+001636 3102
 8.4092E-05 1.8656E+00 9.0097E-05 1.8033E+00 9.6440E-05 1.7439E+001636 3102
 1.0247E-04 1.6927E+00 1.0879E-04 1.6437E+00 1.2063E-04 1.5624E+001636 3102
 1.3349E-04 1.4869E+00 1.4542E-04 1.4260E+00 1.5818E-04 1.3687E+001636 3102
 1.7017E-04 1.3209E+00 1.8288E-04 1.2755E+00 1.9492E-04 1.2367E+001636 3102
 2.0758E-04 1.1996E+00 2.1940E-04 1.1680E+00 2.3122E-04 1.1388E+001636 3102
 2.4410E-04 1.1095E+00 2.5697E-04 1.0824E+00 2.8080E-04 1.0374E+001636 3102
 3.0637E-04 9.9512E-01 3.3033E-04 9.6009E-01 3.5576E-04 9.2689E-011636 3102
 3.7982E-04 8.9866E-01 4.0516E-04 8.7171E-01 4.2878E-04 8.4880E-011636 3102
 4.5240E-04 8.2773E-01 4.7817E-04 8.0657E-01 5.0395E-04 7.8707E-011636 3102
 5.5157E-04 7.5476E-01 6.0273E-04 7.2446E-01 6.5063E-04 6.9945E-011636 3102
 7.0152E-04 6.7576E-01 7.4962E-04 6.5566E-01 8.0031E-04 6.3648E-011636 3102
 8.4753E-04 6.2021E-01 8.9474E-04 6.0526E-01 9.4632E-04 5.9025E-011636 3102
 9.9789E-04 5.7642E-01 1.0931E-03 5.5353E-01 1.1955E-03 5.3207E-011636 3102
 1.2912E-03 5.1436E-01 1.3930E-03 4.9758E-01 1.4892E-03 4.8334E-011636 3102
 1.5906E-03 4.6975E-01 1.6850E-03 4.5822E-01 1.7794E-03 4.4761E-011636 3102
 1.9858E-03 4.2709E-01 2.1762E-03 4.1079E-01 2.3809E-03 3.9546E-011636 3102
 2.5724E-03 3.8278E-01 2.7761E-03 3.7073E-01 2.9684E-03 3.6049E-011636 3102
 3.1713E-03 3.5068E-01 3.5488E-03 3.3465E-01 3.9616E-03 3.1973E-011636 3102
 4.3423E-03 3.0784E-01 4.7519E-03 2.9661E-01 5.1349E-03 2.8731E-011636 3102
 5.5422E-03 2.7845E-01 5.9268E-03 2.7090E-01 6.3325E-03 2.6365E-011636 3102
 7.0876E-03 2.5180E-01 7.9131E-03 2.4073E-01 8.6746E-03 2.3189E-011636 3102
 9.4938E-03 2.2353E-01 1.0260E-02 2.1660E-01 1.1074E-02 2.0998E-011636 3102
 1.1844E-02 2.0434E-01 1.2655E-02 1.9892E-01 1.4165E-02 1.9004E-011636 3102
 1.5816E-02 1.8175E-01 1.7339E-02 1.7512E-01 1.8978E-02 1.6886E-011636 3102
 2.0509E-02 1.6367E-01 2.2139E-02 1.5873E-01 2.3677E-02 1.5453E-011636 3102
 2.5300E-02 1.5050E-01 2.7602E-02 1.4540E-01 3.0068E-02 1.4058E-011636 3102
 3.2383E-02 1.3655E-01 3.4837E-02 1.3270E-01 3.7160E-02 1.2940E-011636 3102
 3.9605E-02 1.2622E-01 4.4373E-02 1.2075E-01 4.8957E-02 1.1621E-011636 3102
 5.3910E-02 1.1192E-01 5.8524E-02 1.0839E-01 6.3447E-02 1.0503E-011636 3102
 6.8082E-02 1.0218E-01 7.2984E-02 9.9452E-02 7.7635E-02 9.7090E-021636 3102
 8.2520E-02 9.4814E-02 9.1663E-02 9.1018E-02 1.0159E-01 8.7444E-021636 3102
 1.1080E-01 8.4535E-02 1.2067E-01 8.1772E-02 1.2993E-01 7.9450E-021636 3102
 1.3974E-01 7.7230E-02 1.4903E-01 7.5322E-02 1.5881E-01 7.3488E-021636 3102
 1.7789E-01 7.0321E-02 1.9622E-01 6.7685E-02 2.1603E-01 6.5195E-021636 3102
 2.3449E-01 6.3145E-02 2.5418E-01 6.1192E-02 2.7272E-01 5.9537E-021636 3102
 2.9233E-01 5.7950E-02 3.1094E-01 5.6577E-02 3.3048E-01 5.5257E-021636 3102
 3.6705E-01 5.3054E-02 4.0677E-01 5.0972E-02 4.4361E-01 4.9279E-021636 3102
 4.8306E-01 4.7670E-02 5.2010E-01 4.6318E-02 5.5936E-01 4.5024E-021636 3102
 5.9653E-01 4.3912E-02 6.3565E-01 4.2847E-02 7.0868E-01 4.1078E-021636 3102
 7.8824E-01 3.9410E-02 8.6185E-01 3.8063E-02 9.4083E-01 3.6785E-021636 3102
 1.0148E+00 3.5716E-02 1.0934E+00 3.4694E-02 1.1677E+00 3.3817E-021636 3102
 1.2460E+00 3.2980E-02 1.3919E+00 3.1594E-02 1.5512E+00 3.0288E-021636 3102
 1.6983E+00 2.9238E-02 1.8563E+00 2.8242E-02 2.0043E+00 2.7411E-021636 3102
 2.1615E+00 2.6617E-02 2.3101E+00 2.5937E-02 2.4667E+00 2.5287E-021636 3102
 2.7585E+00 2.4214E-02 3.0770E+00 2.3205E-02 3.3712E+00 2.2395E-021636 3102
 3.6874E+00 2.1627E-02 3.9833E+00 2.0987E-02 4.2977E+00 2.0375E-021636 3102
 4.5949E+00 1.9852E-02 4.9081E+00 1.9351E-02 5.4915E+00 1.8525E-021636 3102
 6.1288E+00 1.7750E-02 6.7171E+00 1.7128E-02 7.3495E+00 1.6539E-021636 3102
 7.9412E+00 1.6048E-02 8.5702E+00 1.5579E-02 9.1644E+00 1.5178E-021636 3102
 9.7909E+00 1.4793E-02 1.0958E+01 1.4160E-02 1.2232E+01 1.3567E-021636 3102
 1.3409E+01 1.3091E-02 1.4674E+01 1.2639E-02 1.5857E+01 1.2264E-021636 3102
 1.7115E+01 1.1905E-02 1.8303E+01 1.1598E-02 1.9556E+01 1.1304E-021636 3102
 2.1890E+01 1.0819E-02 2.4439E+01 1.0365E-02 2.6792E+01 1.0001E-021636 3102
 2.9322E+01 9.6564E-03 3.1689E+01 9.3692E-03 3.4205E+01 9.0949E-031636 3102
 3.6581E+01 8.8603E-03 3.9088E+01 8.6352E-03 4.3754E+01 8.2649E-031636 3102
 4.8853E+01 7.9180E-03 5.3559E+01 7.6398E-03 5.8619E+01 7.3762E-031636 3102
 6.3352E+01 7.1568E-03 6.8385E+01 6.9472E-03 7.3138E+01 6.7680E-031636 3102
 7.8150E+01 6.5959E-03 8.7482E+01 6.3129E-03 9.7681E+01 6.0479E-031636 3102
 1.0709E+02 5.8354E-03 1.1721E+02 5.6340E-03 1.2668E+02 5.4664E-031636 3102
 1.3674E+02 5.3063E-03 1.4625E+02 5.1694E-03 1.5627E+02 5.0379E-031636 3102
 1.7494E+02 4.8217E-03 1.9534E+02 4.6193E-03 2.1416E+02 4.4569E-031636 3102
 2.3440E+02 4.3032E-03 2.5333E+02 4.1751E-03 2.7346E+02 4.0528E-031636 3102
 2.9247E+02 3.9483E-03 3.1252E+02 3.8478E-03 3.4985E+02 3.6827E-031636 3102
 3.9065E+02 3.5281E-03 4.2829E+02 3.4041E-03 4.6877E+02 3.2866E-031636 3102
 5.0664E+02 3.1888E-03 5.4690E+02 3.0954E-03 5.8492E+02 3.0156E-031636 3102
 6.2502E+02 2.9388E-03 6.9968E+02 2.8127E-03 7.8127E+02 2.6946E-031636 3102
 8.5656E+02 2.5999E-03 9.3752E+02 2.5102E-03 1.0133E+03 2.4355E-031636 3102
 1.0938E+03 2.3642E-03 1.1698E+03 2.3032E-03 1.2500E+03 2.2446E-031636 3102
 1.3993E+03 2.1482E-03 1.5625E+03 2.0580E-03 1.7131E+03 1.9857E-031636 3102
