O - 18N,G    1.0000+00* ESTIMATE, O16                              818 3102
 4.5970E+06 3.9440E-05 4.5980E+06 3.9448E-05 4.5990E+06 3.9456E-05 818 3102
 4.6000E+06 3.9464E-05 4.6050E+06 3.9505E-05 4.6100E+06 3.9545E-05 818 3102
 4.6150E+06 3.9586E-05 4.6200E+06 3.9627E-05 4.6250E+06 3.9667E-05 818 3102
 4.6260E+06 3.9676E-05 4.6270E+06 3.9684E-05 4.6280E+06 3.9692E-05 818 3102
 4.6290E+06 3.9700E-05 4.6300E+06 3.9708E-05 4.6310E+06 3.9716E-05 818 3102
 4.6320E+06 3.9725E-05 4.6330E+06 3.9733E-05 4.6340E+06 3.9741E-05 818 3102
 4.6350E+06 3.9749E-05 4.6360E+06 3.9757E-05 4.6370E+06 3.9765E-05 818 3102
 4.6380E+06 3.9773E-05 4.6390E+06 3.9782E-05 4.6400E+06 3.9790E-05 818 3102
 4.6450E+06 3.9831E-05 4.6500E+06 3.9872E-05 4.6550E+06 3.9912E-05 818 3102
 4.6600E+06 3.9953E-05 4.6650E+06 3.9994E-05 4.6700E+06 4.0035E-05 818 3102
 4.6750E+06 4.0076E-05 4.6800E+06 4.0117E-05 4.6850E+06 4.0158E-05 818 3102
 4.6900E+06 4.0199E-05 4.6950E+06 4.0241E-05 4.7000E+06 4.0282E-05 818 3102
 4.7050E+06 4.0323E-05 4.7100E+06 4.0364E-05 4.7150E+06 4.0405E-05 818 3102
 4.7200E+06 4.0446E-05 4.7250E+06 4.0488E-05 4.7300E+06 4.0529E-05 818 3102
 4.7350E+06 4.0570E-05 4.7400E+06 4.0612E-05 4.7450E+06 4.0653E-05 818 3102
 4.7500E+06 4.0695E-05 4.7550E+06 4.0736E-05 4.7600E+06 4.0778E-05 818 3102
 4.7650E+06 4.0819E-05 4.7700E+06 4.0861E-05 4.7750E+06 4.0902E-05 818 3102
 4.7800E+06 4.0944E-05 4.7850E+06 4.0985E-05 4.7900E+06 4.1027E-05 818 3102
 4.7950E+06 4.1069E-05 4.8000E+06 4.1110E-05 4.8050E+06 4.1152E-05 818 3102
 4.8100E+06 4.1194E-05 4.8150E+06 4.1236E-05 4.8200E+06 4.1277E-05 818 3102
 4.8250E+06 4.1319E-05 4.8300E+06 4.1361E-05 4.8320E+06 4.1378E-05 818 3102
 4.8340E+06 4.1395E-05 4.8350E+06 4.1403E-05 4.8360E+06 4.1411E-05 818 3102
 4.8370E+06 4.1420E-05 4.8380E+06 4.1428E-05 4.8390E+06 4.1437E-05 818 3102
 4.8400E+06 4.1445E-05 4.8410E+06 4.1453E-05 4.8420E+06 4.1462E-05 818 3102
 4.8430E+06 4.1470E-05 4.8440E+06 4.1479E-05 4.8450E+06 4.1487E-05 818 3102
 4.8500E+06 4.1529E-05 4.8550E+06 4.1571E-05 4.8600E+06 4.1613E-05 818 3102
 4.8700E+06 4.1697E-05 4.8800E+06 4.1781E-05 4.8900E+06 4.1866E-05 818 3102
 4.9000E+06 4.1950E-05 4.9100E+06 4.2035E-05 4.9200E+06 4.2120E-05 818 3102
 4.9300E+06 4.2205E-05 4.9400E+06 4.2290E-05 4.9500E+06 4.2375E-05 818 3102
 4.9600E+06 4.2460E-05 4.9700E+06 4.2545E-05 4.9800E+06 4.2631E-05 818 3102
 4.9900E+06 4.2717E-05 5.0000E+06 4.2802E-05 5.0100E+06 4.2888E-05 818 3102
 5.0200E+06 4.2974E-05 5.0300E+06 4.3060E-05 5.0400E+06 4.3146E-05 818 3102
 5.0500E+06 4.3233E-05 5.0600E+06 4.3319E-05 5.0700E+06 4.3406E-05 818 3102
 5.0800E+06 4.3492E-05 5.0900E+06 4.3579E-05 5.1000E+06 4.3666E-05 818 3102
 5.1020E+06 4.3684E-05 5.1040E+06 4.3701E-05 5.1060E+06 4.3718E-05 818 3102
 5.1080E+06 4.3736E-05 5.1100E+06 4.3753E-05 5.1120E+06 4.3771E-05 818 3102
 5.1140E+06 4.3788E-05 5.1150E+06 4.3797E-05 5.1160E+06 4.3805E-05 818 3102
 5.1170E+06 4.3814E-05 5.1180E+06 4.3823E-05 5.1190E+06 4.3832E-05 818 3102
 5.1200E+06 4.3840E-05 5.1210E+06 4.3849E-05 5.1220E+06 4.3858E-05 818 3102
 5.1230E+06 4.3867E-05 5.1240E+06 4.3875E-05 5.1250E+06 4.3884E-05 818 3102
 5.1260E+06 4.3893E-05 5.1270E+06 4.3901E-05 5.1280E+06 4.3910E-05 818 3102
 5.1290E+06 4.3919E-05 5.1300E+06 4.3928E-05 5.1310E+06 4.3936E-05 818 3102
 5.1320E+06 4.3945E-05 5.1330E+06 4.3954E-05 5.1340E+06 4.3963E-05 818 3102
 5.1350E+06 4.3971E-05 5.1360E+06 4.3980E-05 5.1370E+06 4.3989E-05 818 3102
 5.1380E+06 4.3998E-05 5.1390E+06 4.4006E-05 5.1400E+06 4.4015E-05 818 3102
 5.1420E+06 4.4033E-05 5.1440E+06 4.4050E-05 5.1460E+06 4.4068E-05 818 3102
 5.1480E+06 4.4085E-05 5.1500E+06 4.4103E-05 5.1550E+06 4.4147E-05 818 3102
 5.1600E+06 4.4190E-05 5.1650E+06 4.4234E-05 5.1700E+06 4.4278E-05 818 3102
 5.1800E+06 4.4366E-05 5.1900E+06 4.4454E-05 5.2000E+06 4.4542E-05 818 3102
 5.2100E+06 4.4631E-05 5.2200E+06 4.4719E-05 5.2300E+06 4.4808E-05 818 3102
 5.2400E+06 4.4896E-05 5.2500E+06 4.4985E-05 5.2600E+06 4.5074E-05 818 3102
 5.2700E+06 4.5163E-05 5.2800E+06 4.5252E-05 5.2900E+06 4.5342E-05 818 3102
 5.3000E+06 4.5431E-05 5.3100E+06 4.5521E-05 5.3200E+06 4.5611E-05 818 3102
 5.3300E+06 4.5701E-05 5.3400E+06 4.5791E-05 5.3500E+06 4.5881E-05 818 3102
 5.3550E+06 4.5926E-05 5.3600E+06 4.5971E-05 5.3650E+06 4.6016E-05 818 3102
 5.3660E+06 4.6025E-05 5.3670E+06 4.6034E-05 5.3680E+06 4.6043E-05 818 3102
 5.3690E+06 4.6052E-05 5.3700E+06 4.6061E-05 5.3710E+06 4.6070E-05 818 3102
 5.3720E+06 4.6079E-05 5.3730E+06 4.6088E-05 5.3740E+06 4.6098E-05 818 3102
 5.3750E+06 4.6107E-05 5.3800E+06 4.6152E-05 5.3850E+06 4.6197E-05 818 3102
 5.3900E+06 4.6242E-05 5.3950E+06 4.6288E-05 5.4000E+06 4.6333E-05 818 3102
 5.4100E+06 4.6424E-05 5.4200E+06 4.6515E-05 5.4300E+06 4.6606E-05 818 3102
 5.4400E+06 4.6698E-05 5.4500E+06 4.6789E-05 5.4600E+06 4.6881E-05 818 3102
 5.4700E+06 4.6973E-05 5.4800E+06 4.7064E-05 5.4900E+06 4.7156E-05 818 3102
 5.5000E+06 4.7249E-05 5.5100E+06 4.7341E-05 5.5200E+06 4.7433E-05 818 3102
 5.5300E+06 4.7526E-05 5.5400E+06 4.7619E-05 5.5500E+06 4.7711E-05 818 3102
 5.5600E+06 4.7804E-05 5.5700E+06 4.7897E-05 5.5800E+06 4.7991E-05 818 3102
 5.5900E+06 4.8084E-05 5.6000E+06 4.8178E-05 5.6050E+06 4.8224E-05 818 3102
 5.6100E+06 4.8271E-05 5.6150E+06 4.8318E-05 5.6200E+06 4.8365E-05 818 3102
 5.6250E+06 4.8412E-05 5.6300E+06 4.8459E-05 5.6350E+06 4.8506E-05 818 3102
 5.6396E+06 4.8549E-05 5.6400E+06 4.8553E-05 5.6450E+06 4.8600E-05 818 3102
 5.6500E+06 4.8647E-05 5.6550E+06 4.8695E-05 5.6600E+06 4.8742E-05 818 3102
 5.6620E+06 4.8761E-05 5.6650E+06 4.8789E-05 5.6680E+06 4.8817E-05 818 3102
 5.6700E+06 4.8836E-05 5.6720E+06 4.8855E-05 5.6760E+06 4.8893E-05 818 3102
 5.6780E+06 4.8912E-05 5.6800E+06 4.8931E-05 5.6850E+06 4.8978E-05 818 3102
 5.6900E+06 4.9026E-05 5.6950E+06 4.9073E-05 5.7000E+06 4.9121E-05 818 3102
 5.7100E+06 4.9216E-05 5.7200E+06 4.9311E-05 5.7300E+06 4.9406E-05 818 3102
 5.7400E+06 4.9502E-05 5.7500E+06 4.9598E-05 5.7600E+06 4.9693E-05 818 3102
 5.7700E+06 4.9789E-05 5.7800E+06 4.9886E-05 5.7900E+06 4.9982E-05 818 3102
 5.8000E+06 5.0078E-05 5.8100E+06 5.0175E-05 5.8200E+06 5.0271E-05 818 3102
 5.8300E+06 5.0368E-05 5.8400E+06 5.0465E-05 5.8500E+06 5.0562E-05 818 3102
 5.8600E+06 5.0660E-05 5.8700E+06 5.0757E-05 5.8750E+06 5.0806E-05 818 3102
 5.8800E+06 5.0855E-05 5.8850E+06 5.0904E-05 5.8900E+06 5.0953E-05 818 3102
 5.8950E+06 5.1001E-05 5.9000E+06 5.1050E-05 5.9050E+06 5.1099E-05 818 3102
 5.9080E+06 5.1129E-05 5.9100E+06 5.1149E-05 5.9120E+06 5.1168E-05 818 3102
 5.9150E+06 5.1198E-05 5.9160E+06 5.1207E-05 5.9170E+06 5.1217E-05 818 3102
 5.9180E+06 5.1227E-05 5.9190E+06 5.1237E-05 5.9200E+06 5.1247E-05 818 3102
 5.9210E+06 5.1257E-05 5.9220E+06 5.1266E-05 5.9230E+06 5.1276E-05 818 3102
 5.9240E+06 5.1286E-05 5.9250E+06 5.1296E-05 5.9260E+06 5.1306E-05 818 3102
 5.9280E+06 5.1325E-05 5.9300E+06 5.1345E-05 5.9350E+06 5.1394E-05 818 3102
 5.9400E+06 5.1444E-05 5.9450E+06 5.1493E-05 5.9500E+06 5.1542E-05 818 3102
 5.9550E+06 5.1592E-05 5.9600E+06 5.1641E-05 5.9650E+06 5.1691E-05 818 3102
 5.9700E+06 5.1740E-05 5.9750E+06 5.1790E-05 5.9800E+06 5.1839E-05 818 3102
 5.9820E+06 5.1859E-05 5.9840E+06 5.1879E-05 5.9850E+06 5.1889E-05 818 3102
 5.9860E+06 5.1899E-05 5.9880E+06 5.1919E-05 5.9900E+06 5.1938E-05 818 3102
 5.9920E+06 5.1958E-05 5.9940E+06 5.1978E-05 5.9950E+06 5.1988E-05 818 3102
 5.9960E+06 5.1998E-05 5.9970E+06 5.2008E-05 5.9980E+06 5.2018E-05 818 3102
 5.9990E+06 5.2028E-05 6.0000E+06 5.2038E-05 6.0010E+06 5.2048E-05 818 3102
 6.0020E+06 5.2058E-05 6.0030E+06 5.2068E-05 6.0040E+06 5.2078E-05 818 3102
 6.0060E+06 5.2098E-05 6.0080E+06 5.2117E-05 6.0100E+06 5.2137E-05 818 3102
 6.0120E+06 5.2157E-05 6.0140E+06 5.2177E-05 6.0150E+06 5.2187E-05 818 3102
 6.0160E+06 5.2197E-05 6.0180E+06 5.2217E-05 6.0200E+06 5.2237E-05 818 3102
 6.0250E+06 5.2287E-05 6.0300E+06 5.2337E-05 6.0350E+06 5.2387E-05 818 3102
 6.0400E+06 5.2437E-05 6.0450E+06 5.2487E-05 6.0480E+06 5.2517E-05 818 3102
 6.0500E+06 5.2537E-05 6.0520E+06 5.2557E-05 6.0540E+06 5.2577E-05 818 3102
 6.0550E+06 5.2587E-05 6.0560E+06 5.2598E-05 6.0570E+06 5.2608E-05 818 3102
 6.0580E+06 5.2618E-05 6.0590E+06 5.2628E-05 6.0600E+06 5.2638E-05 818 3102
 6.0610E+06 5.2648E-05 6.0620E+06 5.2658E-05 6.0630E+06 5.2668E-05 818 3102
 6.0640E+06 5.2678E-05 6.0650E+06 5.2688E-05 6.0660E+06 5.2698E-05 818 3102
 6.0670E+06 5.2708E-05 6.0680E+06 5.2718E-05 6.0700E+06 5.2738E-05 818 3102
 6.0710E+06 5.2748E-05 6.0720E+06 5.2758E-05 6.0730E+06 5.2768E-05 818 3102
 6.0740E+06 5.2778E-05 6.0750E+06 5.2789E-05 6.0760E+06 5.2799E-05 818 3102
 6.0770E+06 5.2809E-05 6.0780E+06 5.2819E-05 6.0790E+06 5.2829E-05 818 3102
 6.0800E+06 5.2839E-05 6.0820E+06 5.2859E-05 6.0840E+06 5.2879E-05 818 3102
 6.0850E+06 5.2889E-05 6.0860E+06 5.2899E-05 6.0880E+06 5.2920E-05 818 3102
 6.0900E+06 5.2940E-05 6.0920E+06 5.2960E-05 6.0940E+06 5.2980E-05 818 3102
 6.0960E+06 5.3000E-05 6.0980E+06 5.3020E-05 6.1000E+06 5.3041E-05 818 3102
 6.1020E+06 5.3061E-05 6.1040E+06 5.3081E-05 6.1060E+06 5.3101E-05 818 3102
 6.1080E+06 5.3122E-05 6.1100E+06 5.3142E-05 6.1150E+06 5.3192E-05 818 3102
 6.1200E+06 5.3243E-05 6.1250E+06 5.3294E-05 6.1300E+06 5.3345E-05 818 3102
 6.1400E+06 5.3446E-05 6.1500E+06 5.3548E-05 6.1600E+06 5.3650E-05 818 3102
 6.1700E+06 5.3752E-05 6.1800E+06 5.3854E-05 6.1900E+06 5.3957E-05 818 3102
 6.2000E+06 5.4059E-05 6.2100E+06 5.4162E-05 6.2200E+06 5.4265E-05 818 3102
 6.2300E+06 5.4368E-05 6.2400E+06 5.4471E-05 6.2600E+06 5.4678E-05 818 3102
 6.2710E+06 5.4793E-05 6.2723E+06 5.4806E-05 6.2800E+06 5.4886E-05 818 3102
 6.3000E+06 5.5094E-05 6.3100E+06 5.5199E-05 6.3200E+06 5.5303E-05 818 3102
 6.3400E+06 5.5513E-05 6.3500E+06 5.5618E-05 6.3600E+06 5.5723E-05 818 3102
 6.3700E+06 5.5829E-05 6.3800E+06 5.5934E-05 6.3850E+06 5.5987E-05 818 3102
 6.3900E+06 5.6040E-05 6.3950E+06 5.6093E-05 6.4000E+06 5.6146E-05 818 3102
 6.4050E+06 5.6199E-05 6.4100E+06 5.6252E-05 6.4150E+06 5.6305E-05 818 3102
 6.4200E+06 5.6358E-05 6.4300E+06 5.6465E-05 6.4310E+06 5.6476E-05 818 3102
 6.4340E+06 5.6508E-05 6.4400E+06 5.6572E-05 6.4500E+06 5.6678E-05 818 3102
 6.4510E+06 5.6689E-05 6.4522E+06 5.6702E-05 6.4523E+06 5.6703E-05 818 3102
 6.4600E+06 5.6785E-05 6.4700E+06 5.6892E-05 6.4800E+06 5.7000E-05 818 3102
 6.4900E+06 5.7107E-05 6.5000E+06 5.7215E-05 6.5100E+06 5.7323E-05 818 3102
 6.5166E+06 5.7394E-05 6.5180E+06 5.7409E-05 6.5200E+06 5.7431E-05 818 3102
 6.5400E+06 5.7647E-05 6.5500E+06 5.7756E-05 6.5600E+06 5.7864E-05 818 3102
 6.5800E+06 5.8082E-05 6.6000E+06 5.8301E-05 6.6200E+06 5.8520E-05 818 3102
 6.6400E+06 5.8740E-05 6.6500E+06 5.8851E-05 6.6550E+06 5.8906E-05 818 3102
 6.6600E+06 5.8961E-05 6.6650E+06 5.9017E-05 6.6700E+06 5.9072E-05 818 3102
 6.6750E+06 5.9127E-05 6.6800E+06 5.9183E-05 6.6850E+06 5.9238E-05 818 3102
 6.6900E+06 5.9294E-05 6.6950E+06 5.9349E-05 6.7000E+06 5.9405E-05 818 3102
 6.7200E+06 5.9628E-05 6.7400E+06 5.9852E-05 6.7600E+06 6.0076E-05 818 3102
 6.7700E+06 6.0189E-05 6.7800E+06 6.0302E-05 6.7900E+06 6.0414E-05 818 3102
 6.7950E+06 6.0471E-05 6.8000E+06 6.0528E-05 6.8050E+06 6.0584E-05 818 3102
 6.8100E+06 6.0641E-05 6.8200E+06 6.0754E-05 6.8300E+06 6.0868E-05 818 3102
 6.8400E+06 6.0982E-05 6.8500E+06 6.1096E-05 6.8600E+06 6.1210E-05 818 3102
 6.8800E+06 6.1439E-05 6.9000E+06 6.1669E-05 6.9200E+06 6.1899E-05 818 3102
 6.9400E+06 6.2131E-05 6.9500E+06 6.2246E-05 6.9600E+06 6.2363E-05 818 3102
 6.9800E+06 6.2595E-05 7.0000E+06 6.2829E-05 7.0200E+06 6.3064E-05 818 3102
 7.0300E+06 6.3181E-05 7.0350E+06 6.3240E-05 7.0400E+06 6.3299E-05 818 3102
 7.0450E+06 6.3358E-05 7.0500E+06 6.3417E-05 7.0550E+06 6.3476E-05 818 3102
 7.0600E+06 6.3535E-05 7.0650E+06 6.3594E-05 7.0700E+06 6.3653E-05 818 3102
 7.0800E+06 6.3772E-05 7.0900E+06 6.3890E-05 7.1000E+06 6.4009E-05 818 3102
 7.1200E+06 6.4248E-05 7.1400E+06 6.4487E-05 7.1500E+06 6.4607E-05 818 3102
 7.1600E+06 6.4727E-05 7.1700E+06 6.4847E-05 7.1800E+06 6.4968E-05 818 3102
 7.1900E+06 6.5088E-05 7.2000E+06 6.5209E-05 7.2100E+06 6.5331E-05 818 3102
 7.2200E+06 6.5452E-05 7.2300E+06 6.5574E-05 7.2400E+06 6.5695E-05 818 3102
 7.2500E+06 6.5817E-05 7.2600E+06 6.5939E-05 7.2800E+06 6.6184E-05 818 3102
 7.3000E+06 6.6430E-05 7.3200E+06 6.6677E-05 7.3250E+06 6.6739E-05 818 3102
 7.3300E+06 6.6801E-05 7.3350E+06 6.6863E-05 7.3400E+06 6.6925E-05 818 3102
 7.3450E+06 6.6987E-05 7.3500E+06 6.7049E-05 7.3530E+06 6.7086E-05 818 3102
 7.3534E+06 6.7086E-05 7.3534E+06 6.7091E-05 7.3550E+06 6.7111E-05 818 3102
 7.3600E+06 6.7173E-05 7.3650E+06 6.7235E-05 7.3700E+06 6.7297E-05 818 3102
 7.3750E+06 6.7360E-05 7.3800E+06 6.7422E-05 7.3850E+06 6.7485E-05 818 3102
 7.3900E+06 6.7547E-05 7.4000E+06 6.7672E-05 7.4200E+06 6.7923E-05 818 3102
 7.4400E+06 6.8175E-05 7.4500E+06 6.8301E-05 7.4600E+06 6.8428E-05 818 3102
 7.4800E+06 6.8681E-05 7.5000E+06 6.8936E-05 7.5200E+06 6.9191E-05 818 3102
 7.5400E+06 6.9448E-05 7.5500E+06 6.9576E-05 7.5600E+06 6.9705E-05 818 3102
 7.5658E+06 6.9779E-05 7.5658E+06 6.9779E-05 7.5680E+06 6.9808E-05 818 3102
 7.6000E+06 7.0222E-05 7.6400E+06 7.0742E-05 7.6500E+06 7.0873E-05 818 3102
 7.6600E+06 7.1004E-05 7.6800E+06 7.1267E-05 7.7000E+06 7.1530E-05 818 3102
 7.7250E+06 7.1861E-05 7.7400E+06 7.2060E-05 7.7500E+06 7.2193E-05 818 3102
 7.7600E+06 7.2326E-05 7.7750E+06 7.2527E-05 7.7800E+06 7.2594E-05 818 3102
 7.8000E+06 7.2862E-05 7.8200E+06 7.3131E-05 7.8400E+06 7.3401E-05 818 3102
 7.8500E+06 7.3537E-05 7.8600E+06 7.3672E-05 7.8800E+06 7.3944E-05 818 3102
 7.9000E+06 7.4217E-05 7.9200E+06 7.4492E-05 7.9400E+06 7.4767E-05 818 3102
 7.9500E+06 7.4904E-05 7.9600E+06 7.5042E-05 7.9800E+06 7.5319E-05 818 3102
 8.0000E+06 7.5597E-05 8.0200E+06 7.5876E-05 8.0400E+06 7.6156E-05 818 3102
 8.0600E+06 7.6437E-05 8.0800E+06 7.6719E-05 8.1000E+06 7.7002E-05 818 3102
 8.1500E+06 7.7714E-05 8.2000E+06 7.8433E-05 8.2400E+06 7.9012E-05 818 3102
 8.2500E+06 7.9158E-05 8.2800E+06 7.9596E-05 8.3000E+06 7.9890E-05 818 3102
 8.3200E+06 8.0184E-05 8.3400E+06 8.0480E-05 8.3500E+06 8.0628E-05 818 3102
 8.3600E+06 8.0776E-05 8.4000E+06 8.1373E-05 8.4400E+06 8.1974E-05 818 3102
 8.4500E+06 8.2125E-05 8.4600E+06 8.2276E-05 8.5000E+06 8.2884E-05 818 3102
 8.5200E+06 8.3190E-05 8.5400E+06 8.3497E-05 8.5500E+06 8.3650E-05 818 3102
 8.5600E+06 8.3804E-05 8.6000E+06 8.4424E-05 8.6200E+06 8.4735E-05 818 3102
 8.6400E+06 8.5047E-05 8.6500E+06 8.5204E-05 8.6600E+06 8.5361E-05 818 3102
 8.6800E+06 8.5676E-05 8.7000E+06 8.5992E-05 8.7200E+06 8.6309E-05 818 3102
 8.7400E+06 8.6627E-05 8.7450E+06 8.6707E-05 8.7500E+06 8.6787E-05 818 3102
 8.7600E+06 8.6947E-05 8.7800E+06 8.7268E-05 8.8000E+06 8.7590E-05 818 3102
 8.8200E+06 8.7913E-05 8.8400E+06 8.8237E-05 8.8500E+06 8.8400E-05 818 3102
 8.8600E+06 8.8563E-05 8.8800E+06 8.8890E-05 8.9000E+06 8.9218E-05 818 3102
 8.9200E+06 8.9547E-05 8.9400E+06 8.9878E-05 8.9500E+06 9.0044E-05 818 3102
 8.9600E+06 9.0210E-05 8.9800E+06 9.0543E-05 8.9870E+06 9.0660E-05 818 3102
 9.0000E+06 9.0877E-05 9.0200E+06 9.1213E-05 9.0400E+06 9.1550E-05 818 3102
 9.0500E+06 9.1719E-05 9.0600E+06 9.1888E-05 9.0800E+06 9.2228E-05 818 3102
 9.1000E+06 9.2569E-05 9.1200E+06 9.2911E-05 9.1360E+06 9.3185E-05 818 3102
 9.1400E+06 9.3254E-05 9.1500E+06 9.3426E-05 9.1600E+06 9.3599E-05 818 3102
 9.1800E+06 9.3945E-05 9.2000E+06 9.4293E-05 9.2480E+06 9.5132E-05 818 3102
 9.2500E+06 9.5167E-05 9.3000E+06 9.6050E-05 9.3500E+06 9.6942E-05 818 3102
 9.4000E+06 9.7842E-05 9.4310E+06 9.8405E-05 9.4315E+06 9.8414E-05 818 3102
 9.4500E+06 9.8752E-05 9.4700E+06 9.9118E-05 9.5000E+06 9.9670E-05 818 3102
 9.5080E+06 9.9817E-05 9.5500E+06 1.0060E-04 9.6000E+06 1.0153E-04 818 3102
 9.6500E+06 1.0248E-04 9.6760E+06 1.0297E-04 9.7000E+06 1.0343E-04 818 3102
 9.7200E+06 1.0382E-04 9.7400E+06 1.0421E-04 9.7500E+06 1.0440E-04 818 3102
 9.7600E+06 1.0459E-04 9.7800E+06 1.0498E-04 9.8000E+06 1.0537E-04 818 3102
 9.8500E+06 1.0636E-04 9.9000E+06 1.0735E-04 9.9500E+06 1.0836E-04 818 3102
 1.0000E+07 1.0937E-04 1.0100E+07 1.1143E-04 1.0122E+07 1.1189E-04 818 3102
 1.0150E+07 1.1247E-04 1.0190E+07 1.1332E-04 1.0190E+07 1.1332E-04 818 3102
 1.0200E+07 1.1353E-04 1.0202E+07 1.1357E-04 1.0245E+07 1.1449E-04 818 3102
 1.0245E+07 1.1449E-04 1.0247E+07 1.1453E-04 1.0250E+07 1.1460E-04 818 3102
 1.0300E+07 1.1568E-04 1.0350E+07 1.1677E-04 1.0400E+07 1.1787E-04 818 3102
 1.0450E+07 1.1898E-04 1.0465E+07 1.1931E-04 1.0465E+07 1.1931E-04 818 3102
 1.0468E+07 1.1938E-04 1.0500E+07 1.2010E-04 1.0526E+07 1.2069E-04 818 3102
 1.0528E+07 1.2074E-04 1.0550E+07 1.2124E-04 1.0563E+07 1.2153E-04 818 3102
 1.0600E+07 1.2238E-04 1.0650E+07 1.2354E-04 1.0669E+07 1.2399E-04 818 3102
 1.0680E+07 1.2425E-04 1.0690E+07 1.2448E-04 1.0700E+07 1.2472E-04 818 3102
 1.0710E+07 1.2495E-04 1.0720E+07 1.2519E-04 1.0730E+07 1.2543E-04 818 3102
 1.0740E+07 1.2566E-04 1.0750E+07 1.2590E-04 1.0760E+07 1.2614E-04 818 3102
 1.0770E+07 1.2638E-04 1.0780E+07 1.2662E-04 1.0790E+07 1.2686E-04 818 3102
 1.0800E+07 1.2710E-04 1.0810E+07 1.2734E-04 1.0820E+07 1.2758E-04 818 3102
 1.0830E+07 1.2782E-04 1.0840E+07 1.2806E-04 1.0850E+07 1.2831E-04 818 3102
 1.0860E+07 1.2855E-04 1.0870E+07 1.2879E-04 1.0880E+07 1.2904E-04 818 3102
 1.0890E+07 1.2928E-04 1.0900E+07 1.2953E-04 1.0910E+07 1.2978E-04 818 3102
 1.0920E+07 1.3002E-04 1.0930E+07 1.3027E-04 1.0940E+07 1.3052E-04 818 3102
 1.0950E+07 1.3076E-04 1.0960E+07 1.3101E-04 1.0970E+07 1.3126E-04 818 3102
 1.0980E+07 1.3151E-04 1.0990E+07 1.3176E-04 1.1000E+07 1.3201E-04 818 3102
 1.1007E+07 1.3219E-04 1.1009E+07 1.3224E-04 1.1100E+07 1.3455E-04 818 3102
 1.1150E+07 1.3584E-04 1.1200E+07 1.3715E-04 1.1220E+07 1.3767E-04 818 3102
 1.1300E+07 1.3980E-04 1.1350E+07 1.4115E-04 1.1400E+07 1.4251E-04 818 3102
 1.1450E+07 1.4389E-04 1.1500E+07 1.4528E-04 1.1520E+07 1.4584E-04 818 3102
 1.1540E+07 1.4640E-04 1.1600E+07 1.4811E-04 1.1643E+07 1.4935E-04 818 3102
 1.1648E+07 1.4949E-04 1.1650E+07 1.4955E-04 1.1700E+07 1.5101E-04 818 3102
 1.1750E+07 1.5248E-04 1.1779E+07 1.5334E-04 1.1779E+07 1.5334E-04 818 3102
 1.1779E+07 1.5334E-04 1.1796E+07 1.5385E-04 1.1797E+07 1.5388E-04 818 3102
 1.1800E+07 1.5397E-04 1.1850E+07 1.5548E-04 1.1900E+07 1.5700E-04 818 3102
 1.1950E+07 1.5854E-04 1.1970E+07 1.5916E-04 1.1970E+07 1.5916E-04 818 3102
 1.2000E+07 1.6010E-04 1.2100E+07 1.6327E-04 1.2110E+07 1.6359E-04 818 3102
 1.2161E+07 1.6524E-04 1.2200E+07 1.6651E-04 1.2247E+07 1.6807E-04 818 3102
 1.2248E+07 1.6810E-04 1.2300E+07 1.6984E-04 1.2332E+07 1.7091E-04 818 3102
 1.2333E+07 1.7095E-04 1.2363E+07 1.7197E-04 1.2370E+07 1.7221E-04 818 3102
 1.2400E+07 1.7324E-04 1.2500E+07 1.7672E-04 1.2550E+07 1.7849E-04 818 3102
 1.2580E+07 1.7956E-04 1.2600E+07 1.8028E-04 1.2620E+07 1.8100E-04 818 3102
 1.2650E+07 1.8209E-04 1.2700E+07 1.8393E-04 1.2750E+07 1.8579E-04 818 3102
 1.2800E+07 1.8767E-04 1.2809E+07 1.8801E-04 1.2813E+07 1.8816E-04 818 3102
 1.2850E+07 1.8957E-04 1.2900E+07 1.9149E-04 1.2950E+07 1.9344E-04 818 3102
 1.3000E+07 1.9542E-04 1.3050E+07 1.9741E-04 1.3100E+07 1.9943E-04 818 3102
 1.3150E+07 2.0148E-04 1.3200E+07 2.0355E-04 1.3225E+07 2.0460E-04 818 3102
 1.3225E+07 2.0460E-04 1.3227E+07 2.0468E-04 1.3300E+07 2.0778E-04 818 3102
 1.3318E+07 2.0855E-04 1.3320E+07 2.0863E-04 1.3400E+07 2.1210E-04 818 3102
 1.3500E+07 2.1654E-04 1.3600E+07 2.2109E-04 1.3602E+07 2.2118E-04 818 3102
 1.3603E+07 2.2123E-04 1.3610E+07 2.2155E-04 1.3620E+07 2.2201E-04 818 3102
 1.3630E+07 2.2248E-04 1.3640E+07 2.2294E-04 1.3650E+07 2.2341E-04 818 3102
 1.3660E+07 2.2388E-04 1.3670E+07 2.2435E-04 1.3680E+07 2.2481E-04 818 3102
 1.3690E+07 2.2529E-04 1.3700E+07 2.2576E-04 1.3710E+07 2.2623E-04 818 3102
 1.3720E+07 2.2671E-04 1.3730E+07 2.2718E-04 1.3740E+07 2.2766E-04 818 3102
 1.3750E+07 2.2814E-04 1.3760E+07 2.2862E-04 1.3770E+07 2.2910E-04 818 3102
 1.3780E+07 2.2958E-04 1.3785E+07 2.2982E-04 1.3787E+07 2.2992E-04 818 3102
