O - 18N,G    1.0000+00* ESTIMATE, O16                              818 3102
 4.6000E+05 4.4559E-08 4.6500E+05 4.4319E-08 4.7000E+05 4.4082E-08 818 3102
 4.7500E+05 4.3850E-08 4.8000E+05 4.3621E-08 4.8500E+05 4.3395E-08 818 3102
 4.9000E+05 4.3173E-08 4.9500E+05 4.2955E-08 5.0000E+05 4.2739E-08 818 3102
 5.1000E+05 4.2318E-08 5.2000E+05 4.1909E-08 5.3000E+05 4.1512E-08 818 3102
 5.4000E+05 4.1126E-08 5.5000E+05 4.0750E-08 5.6000E+05 4.0385E-08 818 3102
 5.7000E+05 4.0029E-08 5.8000E+05 3.9683E-08 5.9000E+05 3.9345E-08 818 3102
 6.0000E+05 3.9016E-08 6.2000E+05 3.8381E-08 6.4000E+05 3.7777E-08 818 3102
 6.6000E+05 3.7200E-08 6.8000E+05 3.6649E-08 7.0000E+05 3.6121E-08 818 3102
 7.2000E+05 3.5616E-08 7.4000E+05 3.5132E-08 7.6000E+05 3.4666E-08 818 3102
 7.8000E+05 3.4219E-08 8.0000E+05 3.3789E-08 8.2000E+05 3.3374E-08 818 3102
 8.4000E+05 3.2974E-08 8.6000E+05 3.2589E-08 8.8000E+05 3.2216E-08 818 3102
 9.0000E+05 3.1856E-08 9.1000E+05 3.1681E-08 9.2000E+05 3.1508E-08 818 3102
 9.3000E+05 3.1338E-08 9.4000E+05 3.1171E-08 9.5000E+05 3.1006E-08 818 3102
 9.6000E+05 3.0845E-08 9.8000E+05 3.0528E-08 9.9000E+05 3.0374E-08 818 3102
 1.0000E+06 3.0221E-08 1.0100E+06 3.0071E-08 1.0200E+06 2.9924E-08 818 3102
 1.0300E+06 2.9778E-08 1.0400E+06 2.9634E-08 1.0500E+06 2.9493E-08 818 3102
 1.0600E+06 2.9354E-08 1.0700E+06 2.9216E-08 1.0800E+06 2.9081E-08 818 3102
 1.0900E+06 2.8947E-08 1.1000E+06 2.8815E-08 1.1200E+06 2.8556E-08 818 3102
 1.1400E+06 2.8305E-08 1.1600E+06 2.8060E-08 1.1800E+06 2.7821E-08 818 3102
 1.2000E+06 2.7588E-08 1.2200E+06 2.7361E-08 1.2400E+06 2.7140E-08 818 3102
 1.2500E+06 2.7031E-08 1.2600E+06 2.6923E-08 1.2700E+06 2.6817E-08 818 3102
 1.2800E+06 2.6712E-08 1.2850E+06 2.6660E-08 1.2900E+06 2.6608E-08 818 3102
 1.2950E+06 2.6557E-08 1.3000E+06 2.6506E-08 1.3050E+06 2.6455E-08 818 3102
 1.3100E+06 2.6405E-08 1.3150E+06 2.6354E-08 1.3200E+06 2.6304E-08 818 3102
 1.3250E+06 2.6255E-08 1.3300E+06 2.6205E-08 1.3400E+06 2.6107E-08 818 3102
 1.3500E+06 2.6010E-08 1.3600E+06 2.5915E-08 1.3700E+06 2.5820E-08 818 3102
 1.3800E+06 2.5726E-08 1.3900E+06 2.5633E-08 1.4000E+06 2.5542E-08 818 3102
 1.4500E+06 2.5097E-08 1.5000E+06 2.4676E-08 1.5500E+06 2.4274E-08 818 3102
 1.6000E+06 2.3892E-08 1.6200E+06 2.3744E-08 1.6300E+06 2.3671E-08 818 3102
 1.6400E+06 2.3599E-08 1.6420E+06 2.3585E-08 1.6430E+06 2.3577E-08 818 3102
 1.6440E+06 2.3570E-08 1.6450E+06 2.3563E-08 1.6460E+06 2.3556E-08 818 3102
 1.6470E+06 2.3549E-08 1.6480E+06 2.3542E-08 1.6485E+06 2.3538E-08 818 3102
 1.6490E+06 2.3534E-08 1.6495E+06 2.3531E-08 1.6500E+06 2.3527E-08 818 3102
 1.6505E+06 2.3524E-08 1.6510E+06 2.3520E-08 1.6515E+06 2.3517E-08 818 3102
 1.6520E+06 2.3513E-08 1.6530E+06 2.3506E-08 1.6540E+06 2.3499E-08 818 3102
 1.6550E+06 2.3492E-08 1.6560E+06 2.3485E-08 1.6570E+06 2.3478E-08 818 3102
 1.6580E+06 2.3470E-08 1.6590E+06 2.3463E-08 1.6600E+06 2.3456E-08 818 3102
 1.6650E+06 2.3421E-08 1.6700E+06 2.3386E-08 1.6750E+06 2.3351E-08 818 3102
 1.6800E+06 2.3316E-08 1.6850E+06 2.3282E-08 1.6900E+06 2.3247E-08 818 3102
 1.6950E+06 2.3213E-08 1.7000E+06 2.3179E-08 1.7200E+06 2.3044E-08 818 3102
 1.7400E+06 2.2911E-08 1.7600E+06 2.2780E-08 1.7800E+06 2.2652E-08 818 3102
 1.8000E+06 2.2526E-08 1.8200E+06 2.2402E-08 1.8220E+06 2.2389E-08 818 3102
 1.8240E+06 2.2377E-08 1.8260E+06 2.2365E-08 1.8280E+06 2.2352E-08 818 3102
 1.8300E+06 2.2340E-08 1.8310E+06 2.2334E-08 1.8320E+06 2.2328E-08 818 3102
 1.8330E+06 2.2322E-08 1.8340E+06 2.2316E-08 1.8350E+06 2.2310E-08 818 3102
 1.8360E+06 2.2304E-08 1.8370E+06 2.2298E-08 1.8380E+06 2.2292E-08 818 3102
 1.8390E+06 2.2286E-08 1.8400E+06 2.2279E-08 1.8420E+06 2.2267E-08 818 3102
 1.8440E+06 2.2255E-08 1.8460E+06 2.2243E-08 1.8480E+06 2.2231E-08 818 3102
 1.8500E+06 2.2219E-08 1.8520E+06 2.2207E-08 1.8540E+06 2.2195E-08 818 3102
 1.8560E+06 2.2183E-08 1.8580E+06 2.2171E-08 1.8600E+06 2.2159E-08 818 3102
 1.8650E+06 2.2130E-08 1.8700E+06 2.2100E-08 1.8750E+06 2.2071E-08 818 3102
 1.8800E+06 2.2041E-08 1.8850E+06 2.2012E-08 1.8900E+06 2.1983E-08 818 3102
 1.8950E+06 2.1954E-08 1.9000E+06 2.1925E-08 1.9050E+06 2.1896E-08 818 3102
 1.9100E+06 2.1867E-08 1.9150E+06 2.1839E-08 1.9200E+06 2.1810E-08 818 3102
 1.9250E+06 2.1782E-08 1.9300E+06 2.1754E-08 1.9350E+06 2.1726E-08 818 3102
 1.9400E+06 2.1698E-08 1.9500E+06 2.1642E-08 1.9600E+06 2.1587E-08 818 3102
 1.9700E+06 2.1532E-08 1.9800E+06 2.1477E-08 1.9900E+06 2.1423E-08 818 3102
 2.0000E+06 2.1370E-08 2.0500E+06 2.1108E-08 2.1000E+06 2.0855E-08 818 3102
 2.1500E+06 2.0611E-08 2.2000E+06 2.0375E-08 2.2200E+06 2.0283E-08 818 3102
 2.2400E+06 2.0192E-08 2.2600E+06 2.0103E-08 2.2800E+06 2.0015E-08 818 3102
 2.3000E+06 1.9927E-08 2.3050E+06 1.9906E-08 2.3100E+06 1.9884E-08 818 3102
 2.3150E+06 1.9863E-08 2.3200E+06 1.9841E-08 2.3250E+06 1.9820E-08 818 3102
 2.3300E+06 1.9799E-08 2.3350E+06 1.9777E-08 2.3400E+06 1.9756E-08 818 3102
 2.3450E+06 1.9735E-08 2.3500E+06 1.9714E-08 2.3550E+06 1.9693E-08 818 3102
 2.3553E+06 1.9692E-08 2.3554E+06 1.9692E-08 2.3600E+06 1.9672E-08 818 3102
 2.3650E+06 1.9652E-08 2.3700E+06 1.9631E-08 2.3750E+06 1.9610E-08 818 3102
 2.3800E+06 1.9590E-08 2.3900E+06 1.9549E-08 2.4000E+06 1.9508E-08 818 3102
 2.4100E+06 1.9467E-08 2.4200E+06 1.9427E-08 2.4300E+06 1.9387E-08 818 3102
 2.4400E+06 1.9347E-08 2.4500E+06 1.9308E-08 2.4600E+06 1.9268E-08 818 3102
 2.4700E+06 1.9229E-08 2.4800E+06 1.9191E-08 2.4900E+06 1.9152E-08 818 3102
 2.5000E+06 1.9114E-08 2.5200E+06 1.9038E-08 2.5400E+06 1.8963E-08 818 3102
 2.5600E+06 1.8888E-08 2.5800E+06 1.8815E-08 2.6000E+06 1.8742E-08 818 3102
 2.6500E+06 1.8565E-08 2.7000E+06 1.8392E-08 2.7500E+06 1.8224E-08 818 3102
 2.8000E+06 1.8061E-08 2.8500E+06 1.7902E-08 2.8600E+06 1.7870E-08 818 3102
 2.8700E+06 1.7839E-08 2.8800E+06 1.7808E-08 2.8820E+06 1.7802E-08 818 3102
 2.8840E+06 1.7796E-08 2.8860E+06 1.7790E-08 2.8870E+06 1.7786E-08 818 3102
 2.8880E+06 1.7783E-08 2.8882E+06 1.7783E-08 2.8884E+06 1.7782E-08 818 3102
 2.8885E+06 1.7782E-08 2.8886E+06 1.7782E-08 2.8887E+06 1.7781E-08 818 3102
 2.8888E+06 1.7781E-08 2.8889E+06 1.7781E-08 2.8890E+06 1.7780E-08 818 3102
 2.8891E+06 1.7780E-08 2.8892E+06 1.7780E-08 2.8893E+06 1.7779E-08 818 3102
 2.8894E+06 1.7779E-08 2.8895E+06 1.7779E-08 2.8896E+06 1.7778E-08 818 3102
 2.8897E+06 1.7778E-08 2.8898E+06 1.7778E-08 2.8900E+06 1.7777E-08 818 3102
 2.8905E+06 1.7776E-08 2.8910E+06 1.7774E-08 2.8920E+06 1.7771E-08 818 3102
 2.8940E+06 1.7765E-08 2.8960E+06 1.7759E-08 2.8980E+06 1.7753E-08 818 3102
 2.9000E+06 1.7747E-08 2.9500E+06 1.7596E-08 3.0000E+06 2.7656E-05 818 3102
 3.0050E+06 2.7690E-05 3.0055E+06 2.7694E-05 3.0060E+06 2.7697E-05 818 3102
 3.0061E+06 2.7698E-05 3.0062E+06 2.7698E-05 3.0063E+06 2.7699E-05 818 3102
 3.0064E+06 2.7700E-05 3.0065E+06 2.7700E-05 3.0066E+06 2.7701E-05 818 3102
 3.0067E+06 2.7702E-05 3.0068E+06 2.7702E-05 3.0069E+06 2.7703E-05 818 3102
 3.0070E+06 2.7704E-05 3.0071E+06 2.7704E-05 3.0072E+06 2.7705E-05 818 3102
 3.0073E+06 2.7706E-05 3.0074E+06 2.7706E-05 3.0075E+06 2.7707E-05 818 3102
 3.0076E+06 2.7708E-05 3.0077E+06 2.7708E-05 3.0078E+06 2.7709E-05 818 3102
 3.0079E+06 2.7710E-05 3.0080E+06 2.7710E-05 3.0082E+06 2.7712E-05 818 3102
