V - 51N,G    1.0000+00* JENDL-3.1                                 2351 3102
 2.0773E+04 5.6755E-02 2.0776E+04 4.3674E-02 2.0780E+04 3.5687E-022351 3102
 2.0787E+04 2.6661E-02 2.0794E+04 2.1900E-02 2.0809E+04 1.7297E-022351 3102
 2.0823E+04 1.5217E-02 2.0866E+04 1.3534E-02 2.0895E+04 1.3551E-022351 3102
 2.0952E+04 1.4400E-02 2.0980E+04 1.5073E-02 2.1038E+04 1.6810E-022351 3102
 2.1095E+04 1.9120E-02 2.1152E+04 2.2277E-02 2.1188E+04 2.6434E-022351 3102
 2.1195E+04 3.4141E-02 2.1197E+04 4.3104E-02 2.1199E+04 6.2300E-022351 3102
 2.1201E+04 9.9873E-02 2.1202E+04 1.6372E-01 2.1204E+04 2.5466E-012351 3102
 2.1206E+04 3.5983E-01 2.1208E+04 4.5156E-01 2.1209E+04 4.9224E-012351 3102
 2.1210E+04 4.9997E-01 2.1211E+04 4.8216E-01 2.1212E+04 4.5099E-012351 3102
 2.1214E+04 3.5687E-01 2.1216E+04 2.4985E-01 2.1218E+04 1.5886E-012351 3102
 2.1220E+04 9.6501E-02 2.1221E+04 6.0917E-02 2.1223E+04 4.3415E-022351 3102
 2.1225E+04 3.5613E-02 2.1232E+04 2.9809E-02 2.1254E+04 3.0287E-022351 3102
 2.1269E+04 3.1582E-02 2.1298E+04 3.4787E-02 2.1327E+04 3.8621E-022351 3102
 2.1357E+04 4.3123E-02 2.1386E+04 4.8367E-02 2.1401E+04 5.1295E-022351 3102
 2.1415E+04 5.4460E-02 2.1430E+04 5.7859E-02 2.1445E+04 6.1500E-022351 3102
 2.1459E+04 6.5232E-02 2.1473E+04 6.9196E-02 2.1501E+04 7.7715E-022351 3102
 2.1529E+04 8.6814E-02 2.1557E+04 9.6072E-02 2.1585E+04 1.0478E-012351 3102
 2.1614E+04 1.1202E-01 2.1642E+04 1.1678E-01 2.1670E+04 1.1831E-012351 3102
 2.1698E+04 1.1631E-01 2.1726E+04 1.1114E-01 2.1755E+04 1.0360E-012351 3102
 2.1783E+04 9.4693E-02 2.1811E+04 8.5356E-02 2.1867E+04 6.7726E-022351 3102
 2.1895E+04 6.0058E-02 2.1932E+04 5.1492E-02 2.1968E+04 4.4324E-022351 3102
 2.2005E+04 3.8387E-02 2.2041E+04 3.3478E-02 2.2078E+04 2.9413E-022351 3102
 2.2151E+04 2.3202E-02 2.2224E+04 1.8804E-02 2.2260E+04 1.7083E-022351 3102
 2.2333E+04 1.4332E-02 2.2370E+04 1.3226E-02 2.2479E+04 1.0665E-022351 3102
 2.2552E+04 9.4089E-03 2.2698E+04 7.5891E-03 2.2844E+04 6.3585E-032351 3102
 2.3062E+04 5.1412E-03 2.3208E+04 4.5821E-03 2.3500E+04 3.8090E-032351 3102
 2.3646E+04 3.5356E-03 2.3938E+04 3.1535E-03 2.4047E+04 3.1098E-032351 3102
 2.4156E+04 3.7190E-03 2.4175E+04 4.4035E-03 2.4193E+04 6.3820E-032351 3102
 2.4202E+04 9.4547E-03 2.4207E+04 1.2843E-02 2.4211E+04 2.1143E-022351 3102
 2.4213E+04 3.3140E-02 2.4216E+04 6.3624E-02 2.4218E+04 1.3924E-012351 3102
 2.4219E+04 2.0722E-01 2.4220E+04 3.0340E-01 2.4221E+04 4.3244E-012351 3102
 2.4223E+04 5.9551E-01 2.4224E+04 7.8837E-01 2.4227E+04 1.3120E+002351 3102
 2.4228E+04 1.5170E+00 2.4229E+04 1.6223E+00 2.4230E+04 1.6402E+002351 3102
 2.4231E+04 1.6226E+00 2.4232E+04 1.4864E+00 2.4233E+04 1.3183E+002351 3102
 2.4235E+04 1.0110E+00 2.4237E+04 6.0958E-01 2.4238E+04 4.4661E-012351 3102
 2.4240E+04 3.1535E-01 2.4241E+04 2.1740E-01 2.4242E+04 1.4681E-012351 3102
 2.4244E+04 6.7505E-02 2.4246E+04 3.4913E-02 2.4249E+04 2.1970E-022351 3102
 2.4253E+04 1.3131E-02 2.4258E+04 9.6069E-03 2.4267E+04 6.4197E-032351 3102
 2.4285E+04 4.3509E-03 2.4303E+04 3.6135E-03 2.4339E+04 3.0948E-032351 3102
 2.4411E+04 2.7863E-03 2.4663E+04 2.5029E-03 2.5383E+04 2.1485E-032351 3102
 2.5959E+04 1.9855E-03 2.6823E+04 1.8781E-03 2.7399E+04 1.9254E-032351 3102
 2.7975E+04 2.1870E-03 2.8407E+04 2.7930E-03 2.8623E+04 3.4892E-032351 3102
 2.8732E+04 4.1280E-03 2.8804E+04 5.6878E-03 2.8813E+04 6.7869E-032351 3102
 2.8817E+04 8.1185E-03 2.8822E+04 1.2705E-02 2.8824E+04 2.0564E-022351 3102
 2.8826E+04 3.9891E-02 2.8828E+04 8.2679E-02 2.8831E+04 1.6357E-012351 3102
 2.8833E+04 2.8960E-01 2.8835E+04 4.4523E-01 2.8838E+04 6.1269E-012351 3102
 2.8840E+04 6.5808E-01 2.8840E+04 6.6032E-01 2.8841E+04 6.5390E-012351 3102
 2.8842E+04 6.2830E-01 2.8844E+04 4.8668E-01 2.8846E+04 3.9519E-012351 3102
 2.8848E+04 2.2451E-01 2.8851E+04 1.0697E-01 2.8854E+04 4.6394E-022351 3102
 2.8856E+04 2.1392E-02 2.8859E+04 1.2560E-02 2.8861E+04 9.5210E-032351 3102
 2.8872E+04 7.0256E-03 2.8882E+04 6.1819E-03 2.8903E+04 5.8383E-032351 3102
 2.8966E+04 6.4151E-03 2.9091E+04 9.1008E-03 2.9175E+04 1.2394E-022351 3102
 2.9238E+04 1.6468E-02 2.9280E+04 2.0549E-02 2.9321E+04 2.6478E-022351 3102
 2.9342E+04 3.0489E-02 2.9363E+04 3.5494E-02 2.9384E+04 4.1786E-022351 3102
 2.9395E+04 4.5549E-02 2.9405E+04 4.9877E-02 2.9415E+04 5.4821E-022351 3102
 2.9426E+04 6.0502E-02 2.9436E+04 6.7042E-02 2.9447E+04 7.4614E-022351 3102
 2.9457E+04 8.3394E-02 2.9468E+04 9.3617E-02 2.9478E+04 1.0551E-012351 3102
 2.9489E+04 1.1937E-01 2.9499E+04 1.3543E-01 2.9510E+04 1.5391E-012351 3102
 2.9520E+04 1.7402E-01 2.9530E+04 1.9625E-01 2.9540E+04 2.1998E-012351 3102
 2.9560E+04 2.6674E-01 2.9570E+04 2.8560E-01 2.9580E+04 2.9817E-012351 3102
 2.9590E+04 3.0250E-01 2.9600E+04 2.9788E-01 2.9610E+04 2.8506E-012351 3102
 2.9620E+04 2.6603E-01 2.9630E+04 2.4332E-01 2.9650E+04 1.9544E-012351 3102
 2.9670E+04 1.5315E-01 2.9682E+04 1.3358E-01 2.9704E+04 1.0238E-012351 3102
 2.9715E+04 9.0166E-02 2.9738E+04 7.0977E-02 2.9760E+04 5.6997E-022351 3102
 2.9793E+04 4.2489E-02 2.9827E+04 3.2917E-02 2.9849E+04 2.8312E-022351 3102
 2.9894E+04 2.1881E-02 2.9927E+04 1.8961E-02 2.9950E+04 1.8076E-022351 3102
 2.9978E+04 1.9636E-02 2.9989E+04 2.2929E-02 2.9995E+04 2.6317E-022351 3102
 3.0000E+04 3.2322E-02 3.0006E+04 4.4567E-02 3.0011E+04 7.9675E-022351 3102
 3.0014E+04 1.2743E-01 3.0017E+04 2.2850E-01 3.0018E+04 3.1062E-012351 3102
 3.0020E+04 4.2070E-01 3.0021E+04 5.5974E-01 3.0023E+04 8.1249E-012351 3102
 3.0026E+04 1.1701E+00 3.0028E+04 1.3669E+00 3.0029E+04 1.4235E+002351 3102
 3.0030E+04 1.4332E+00 3.0032E+04 1.3822E+00 3.0033E+04 1.2494E+002351 3102
 3.0040E+04 4.8465E-01 3.0042E+04 3.0141E-01 3.0043E+04 2.3606E-012351 3102
 3.0045E+04 1.4673E-01 3.0047E+04 9.6816E-02 3.0050E+04 6.9121E-022351 3102
 3.0054E+04 4.3458E-02 3.0058E+04 3.2149E-02 3.0067E+04 2.1839E-022351 3102
 3.0085E+04 1.4412E-02 3.0111E+04 1.0623E-02 3.0155E+04 8.1771E-032351 3102
 3.0208E+04 6.6928E-03 3.0279E+04 5.4811E-03 3.0385E+04 4.3453E-032351 3102
 3.0596E+04 3.1134E-03 3.0808E+04 2.4763E-03 3.1020E+04 2.1023E-032351 3102
 3.1302E+04 1.8028E-03 3.1584E+04 1.6244E-03 3.2078E+04 1.4861E-032351 3102
 3.2219E+04 1.7362E-03 3.2254E+04 2.6320E-03 3.2263E+04 3.7064E-032351 3102
 3.2267E+04 5.2436E-03 3.2270E+04 7.1720E-03 3.2272E+04 1.1707E-022351 3102
 3.2274E+04 2.2426E-02 3.2276E+04 4.6424E-02 3.2279E+04 9.3660E-022351 3102
 3.2281E+04 1.7432E-01 3.2287E+04 5.3445E-01 3.2289E+04 5.7835E-012351 3102
 3.2290E+04 5.9286E-01 3.2291E+04 5.8777E-01 3.2292E+04 5.6910E-012351 3102
 3.2294E+04 4.6453E-01 3.2295E+04 3.9377E-01 3.2297E+04 3.2084E-012351 3102
 3.2300E+04 1.3665E-01 3.2303E+04 6.5782E-02 3.2305E+04 2.9472E-022351 3102
 3.2308E+04 1.3814E-02 3.2310E+04 7.6894E-03 3.2312E+04 5.3073E-032351 3102
 3.2315E+04 4.2511E-03 3.2320E+04 3.2323E-03 3.2329E+04 2.3940E-032351 3102
 3.2368E+04 1.6661E-03 3.2602E+04 1.4426E-03 3.2836E+04 1.5076E-032351 3102
 3.3069E+04 1.7763E-03 3.3186E+04 2.1674E-03 3.3264E+04 2.7398E-032351 3102
 3.3303E+04 3.2537E-03 3.3352E+04 4.3634E-03 3.3381E+04 5.5407E-032351 3102
 3.3410E+04 7.5288E-03 3.3430E+04 9.7290E-03 3.3459E+04 1.6032E-022351 3102
 3.3469E+04 1.9763E-02 3.3488E+04 3.3097E-02 3.3498E+04 4.5539E-022351 3102
 3.3503E+04 5.4579E-02 3.3508E+04 6.6750E-02 3.3510E+04 7.4429E-022351 3102
 3.3512E+04 8.3547E-02 3.3515E+04 9.4362E-02 3.3517E+04 1.0739E-012351 3102
 3.3520E+04 1.2305E-01 3.3522E+04 1.4216E-01 3.3523E+04 1.5315E-012351 3102
 3.3525E+04 1.6539E-01 3.3526E+04 1.7893E-01 3.3527E+04 1.9390E-012351 3102
 3.3528E+04 2.1028E-01 3.3529E+04 2.2846E-01 3.3531E+04 2.4841E-012351 3102
 3.3532E+04 2.7018E-01 3.3533E+04 2.9361E-01 3.3534E+04 3.1901E-012351 3102
 3.3536E+04 3.4609E-01 3.3537E+04 3.7459E-01 3.3538E+04 4.1475E-012351 3102
 3.3540E+04 4.5586E-01 3.3542E+04 4.9600E-01 3.3547E+04 5.8974E-012351 3102
 3.3548E+04 6.0531E-01 3.3550E+04 6.1062E-01 3.3552E+04 6.0533E-012351 3102
 3.3553E+04 5.8977E-01 3.3555E+04 5.6513E-01 3.3557E+04 5.3320E-012351 3102
 3.3558E+04 4.9608E-01 3.3560E+04 4.5596E-01 3.3562E+04 4.1487E-012351 3102
 3.3565E+04 3.3116E-01 3.3571E+04 2.2513E-01 3.3576E+04 1.5532E-012351 3102
 3.3580E+04 1.2373E-01 3.3586E+04 9.1071E-02 3.3593E+04 6.4078E-022351 3102
 3.3597E+04 5.4848E-02 3.3605E+04 4.1476E-02 3.3612E+04 3.2498E-022351 3102
 3.3624E+04 2.3736E-02 3.3635E+04 1.8201E-02 3.3654E+04 1.2634E-022351 3102
 3.3669E+04 9.9240E-03 3.3691E+04 7.3616E-03 3.3714E+04 5.7861E-032351 3102
 3.3759E+04 4.0186E-03 3.3834E+04 2.7205E-03 3.3925E+04 2.0722E-032351 3102
 3.4045E+04 1.6968E-03 3.4286E+04 1.4243E-03 3.4527E+04 1.3339E-032351 3102
 3.5009E+04 1.2966E-03 3.5491E+04 1.3364E-03 3.6213E+04 1.5326E-032351 3102
 3.6695E+04 1.9039E-03 3.6876E+04 2.2391E-03 3.6997E+04 2.6705E-032351 3102
 3.7087E+04 3.2849E-03 3.7162E+04 4.2882E-03 3.7207E+04 5.4118E-032351 3102
 3.7237E+04 6.6257E-03 3.7283E+04 1.0003E-02 3.7313E+04 1.4639E-022351 3102
 3.7335E+04 2.1412E-02 3.7350E+04 2.9449E-02 3.7365E+04 4.3678E-022351 3102
 3.7377E+04 6.2801E-02 3.7380E+04 7.2220E-02 3.7384E+04 8.3970E-022351 3102
 3.7388E+04 9.8929E-02 3.7392E+04 1.1822E-01 3.7394E+04 1.3005E-012351 3102
 3.7396E+04 1.4379E-01 3.7397E+04 1.5968E-01 3.7399E+04 1.7826E-012351 3102
 3.7401E+04 2.0007E-01 3.7403E+04 2.2593E-01 3.7405E+04 2.5638E-012351 3102
 3.7407E+04 2.9242E-01 3.7408E+04 3.1283E-01 3.7409E+04 3.3500E-012351 3102
 3.7410E+04 3.5904E-01 3.7411E+04 3.8532E-01 3.7412E+04 4.1338E-012351 3102
 3.7412E+04 4.4351E-01 3.7413E+04 4.7574E-01 3.7414E+04 5.1002E-012351 3102
 3.7416E+04 5.8426E-01 3.7417E+04 6.2379E-01 3.7420E+04 7.3047E-012351 3102
 3.7424E+04 9.1557E-01 3.7427E+04 1.0009E+00 3.7429E+04 1.0240E+002351 3102
 3.7430E+04 1.0320E+00 3.7431E+04 1.0243E+00 3.7433E+04 1.0014E+002351 3102
 3.7434E+04 9.6478E-01 3.7436E+04 9.1637E-01 3.7439E+04 7.9666E-012351 3102
 3.7442E+04 6.6535E-01 3.7444E+04 5.8376E-01 3.7448E+04 4.4076E-012351 3102
 3.7450E+04 3.8177E-01 3.7453E+04 2.8855E-01 3.7457E+04 2.2208E-012351 3102
 3.7459E+04 1.9653E-01 3.7463E+04 1.5644E-01 3.7465E+04 1.4068E-012351 3102
 3.7469E+04 1.1552E-01 3.7471E+04 1.0537E-01 3.7476E+04 8.1890E-022351 3102
 3.7484E+04 6.1180E-02 3.7488E+04 5.3682E-02 3.7496E+04 4.2423E-022351 3102
 3.7507E+04 3.1363E-02 3.7519E+04 2.4337E-02 3.7534E+04 1.8330E-022351 3102
 3.7557E+04 1.3048E-02 3.7580E+04 1.0019E-02 3.7610E+04 7.6702E-032351 3102
 3.7641E+04 6.2731E-03 3.7687E+04 5.0761E-03 3.7779E+04 4.0332E-032351 3102
 3.7871E+04 3.6879E-03 3.7932E+04 3.6264E-03 3.8055E+04 3.7202E-032351 3102
 3.8300E+04 4.4891E-03 3.8484E+04 5.6095E-03 3.8668E+04 7.5182E-032351 3102
 3.8791E+04 9.5746E-03 3.8913E+04 1.2777E-02 3.8975E+04 1.5079E-022351 3102
 3.9036E+04 1.8113E-02 3.9067E+04 1.9996E-02 3.9097E+04 2.2195E-022351 3102
 3.9128E+04 2.4779E-02 3.9159E+04 2.7836E-02 3.9189E+04 3.1479E-022351 3102
 3.9220E+04 3.5834E-02 3.9235E+04 3.8331E-02 3.9251E+04 4.1101E-022351 3102
 3.9266E+04 4.4158E-02 3.9281E+04 4.7537E-02 3.9297E+04 5.1275E-022351 3102
 3.9312E+04 5.5421E-02 3.9327E+04 6.0020E-02 3.9343E+04 6.5127E-022351 3102
 3.9358E+04 7.0800E-02 3.9373E+04 7.7113E-02 3.9389E+04 8.4169E-022351 3102
 3.9404E+04 9.2164E-02 3.9415E+04 9.9172E-02 3.9427E+04 1.1000E-012351 3102
 3.9432E+04 1.3331E-01 3.9435E+04 1.7115E-01 3.9438E+04 2.5012E-012351 3102
 3.9441E+04 3.8486E-01 3.9444E+04 5.6466E-01 3.9447E+04 7.7047E-012351 3102
 3.9449E+04 8.2841E-01 3.9450E+04 8.3158E-01 3.9453E+04 7.7863E-012351 3102
 3.9454E+04 7.3248E-01 3.9457E+04 5.4834E-01 3.9459E+04 4.2196E-012351 3102
 3.9461E+04 3.1657E-01 3.9463E+04 2.4015E-01 3.9465E+04 1.9116E-012351 3102
 3.9467E+04 1.6302E-01 3.9471E+04 1.4204E-01 3.9475E+04 1.3870E-012351 3102
 3.9483E+04 1.4113E-01 3.9531E+04 1.6767E-01 3.9548E+04 1.7429E-012351 3102
 3.9564E+04 1.7842E-01 3.9580E+04 1.7967E-01 3.9602E+04 1.7671E-012351 3102
 3.9624E+04 1.6893E-01 3.9646E+04 1.5745E-01 3.9668E+04 1.4383E-012351 3102
 3.9712E+04 1.1533E-01 3.9734E+04 1.0217E-01 3.9776E+04 8.0847E-022351 3102
 3.9795E+04 7.2474E-02 3.9835E+04 5.8639E-02 3.9894E+04 4.3647E-022351 3102
 3.9933E+04 3.6432E-02 3.9953E+04 3.3461E-02 3.9993E+04 2.8469E-022351 3102
 4.0032E+04 2.4478E-02 4.0071E+04 2.1265E-02 4.0150E+04 1.6499E-022351 3102
 4.0190E+04 1.4711E-02 4.0268E+04 1.1947E-02 4.0347E+04 9.9482E-032351 3102
 4.0465E+04 7.8804E-03 4.0623E+04 6.2343E-03 4.0741E+04 5.6983E-032351 3102
 4.0820E+04 5.9510E-03 4.0899E+04 8.1382E-03 4.0938E+04 1.2930E-022351 3102
 4.0948E+04 1.5558E-02 4.0968E+04 2.6660E-02 4.0978E+04 3.9313E-022351 3102
 4.0983E+04 5.0216E-02 4.0988E+04 6.7666E-02 4.0993E+04 9.8982E-022351 3102
 4.0995E+04 1.2573E-01 4.0998E+04 1.6785E-01 4.1000E+04 2.3727E-012351 3102
 4.1002E+04 3.5484E-01 4.1004E+04 4.4075E-01 4.1005E+04 5.5036E-012351 3102
 4.1006E+04 6.8774E-01 4.1007E+04 8.5759E-01 4.1009E+04 1.0586E+002351 3102
 4.1010E+04 1.2908E+00 4.1012E+04 1.8283E+00 4.1014E+04 2.2465E+002351 3102
 4.1016E+04 2.6223E+00 4.1018E+04 2.8622E+00 4.1019E+04 2.9838E+002351 3102
 4.1020E+04 3.0125E+00 4.1021E+04 3.0000E+00 4.1022E+04 2.8631E+002351 3102
 4.1023E+04 2.7256E+00 4.1025E+04 2.4948E+00 4.1028E+04 1.7890E+002351 3102
 4.1030E+04 1.2410E+00 4.1032E+04 1.0064E+00 4.1033E+04 8.0623E-012351 3102
 4.1034E+04 6.4206E-01 4.1036E+04 5.0905E-01 4.1037E+04 4.0534E-012351 3102
 4.1038E+04 3.2459E-01 4.1041E+04 2.1649E-01 4.1043E+04 1.5351E-012351 3102
 4.1046E+04 1.1577E-01 4.1048E+04 9.1572E-02 4.1053E+04 6.2919E-022351 3102
 4.1059E+04 4.6766E-02 4.1064E+04 3.6601E-02 4.1074E+04 2.4780E-022351 3102
 4.1084E+04 1.8233E-02 4.1104E+04 1.1769E-02 4.1125E+04 8.7536E-032351 3102
 4.1166E+04 5.9835E-03 4.1268E+04 3.9425E-03 4.1390E+04 3.2188E-032351 3102
 4.1676E+04 2.7687E-03 4.1840E+04 2.9190E-03 4.1962E+04 3.4217E-032351 3102
 4.2044E+04 4.2419E-03 4.2105E+04 5.5282E-03 4.2146E+04 7.1284E-032351 3102
 4.2208E+04 1.2634E-02 4.2228E+04 1.6455E-02 4.2248E+04 2.2739E-022351 3102
 4.2269E+04 3.4067E-02 4.2279E+04 4.3520E-02 4.2284E+04 4.9843E-022351 3102
 4.2289E+04 5.7650E-02 4.2294E+04 6.7401E-02 4.2297E+04 7.3219E-022351 3102
 4.2302E+04 8.7339E-02 4.2305E+04 9.5940E-02 4.2307E+04 1.0576E-012351 3102
 4.2310E+04 1.1710E-01 4.2312E+04 1.3013E-01 4.2315E+04 1.4517E-012351 3102
 4.2317E+04 1.6257E-01 4.2320E+04 1.8276E-01 4.2323E+04 2.0591E-012351 3102
 4.2325E+04 2.3248E-01 4.2328E+04 2.6240E-01 4.2330E+04 2.9576E-012351 3102
 4.2333E+04 3.3063E-01 4.2335E+04 3.6735E-01 4.2338E+04 4.0416E-012351 3102
 4.2343E+04 4.7037E-01 4.2345E+04 4.9491E-01 4.2348E+04 5.1066E-012351 3102
 4.2350E+04 5.1610E-01 4.2352E+04 5.1071E-01 4.2355E+04 4.9500E-012351 3102
 4.2357E+04 4.7059E-01 4.2360E+04 4.3949E-01 4.2365E+04 3.6737E-012351 3102
 4.2370E+04 2.9550E-01 4.2376E+04 2.2180E-01 4.2382E+04 1.6704E-012351 3102
 4.2386E+04 1.3958E-01 4.2390E+04 1.1783E-01 4.2394E+04 1.0041E-012351 3102
 4.2398E+04 8.6432E-02 4.2402E+04 7.5048E-02 4.2410E+04 5.8027E-022351 3102
 4.2414E+04 5.1603E-02 4.2423E+04 4.1587E-02 4.2431E+04 3.4264E-022351 3102
 4.2443E+04 2.6535E-02 4.2451E+04 2.2806E-02 4.2467E+04 1.7439E-022351 3102
 4.2491E+04 1.2513E-02 4.2508E+04 1.0400E-02 4.2532E+04 8.2188E-032351 3102
 4.2581E+04 5.7144E-03 4.2629E+04 4.3839E-03 4.2662E+04 3.8197E-032351 3102
 4.2759E+04 2.8410E-03 4.2889E+04 2.2509E-03 4.3083E+04 1.8627E-032351 3102
 4.3408E+04 1.6148E-03 4.3797E+04 1.5395E-03 4.4154E+04 1.7776E-032351 3102
 4.4235E+04 2.0867E-03 4.4284E+04 2.5324E-03 4.4316E+04 3.1413E-032351 3102
 4.4357E+04 4.9660E-03 4.4381E+04 7.9884E-03 4.4389E+04 9.9267E-032351 3102
 4.4397E+04 1.2870E-02 4.4405E+04 1.7644E-02 4.4413E+04 2.6432E-022351 3102
 4.4421E+04 4.6089E-02 4.4425E+04 6.6991E-02 4.4427E+04 8.3636E-022351 3102
 4.4430E+04 1.0706E-01 4.4432E+04 1.3999E-01 4.4433E+04 1.6111E-012351 3102
 4.4434E+04 1.8622E-01 4.4435E+04 2.1522E-01 4.4436E+04 2.4904E-012351 3102
 4.4437E+04 2.8724E-01 4.4438E+04 3.3058E-01 4.4439E+04 3.7802E-012351 3102
 4.4440E+04 4.2945E-01 4.4441E+04 4.8403E-01 4.4442E+04 5.4116E-012351 3102
 4.4444E+04 6.5453E-01 4.4445E+04 7.3162E-01 4.4447E+04 8.1359E-012351 3102
 4.4449E+04 8.4783E-01 4.4450E+04 8.5452E-01 4.4452E+04 8.3966E-012351 3102
 4.4453E+04 7.9651E-01 4.4454E+04 7.5459E-01 4.4456E+04 6.8771E-012351 3102
 4.4458E+04 5.7212E-01 4.4460E+04 4.5424E-01 4.4461E+04 3.8159E-012351 3102
 4.4466E+04 2.1186E-01 4.4467E+04 1.7326E-01 4.4470E+04 1.1748E-012351 3102
 4.4471E+04 9.8012E-02 4.4474E+04 7.0794E-02 4.4477E+04 5.3585E-022351 3102
 4.4480E+04 4.2288E-02 4.4482E+04 3.4447E-02 4.4485E+04 2.8754E-022351 3102
 4.4491E+04 2.1139E-02 4.4494E+04 1.8504E-02 4.4505E+04 1.1964E-022351 3102
 4.4522E+04 7.4760E-03 4.4533E+04 5.9286E-03 4.4567E+04 3.6847E-032351 3102
 4.4601E+04 2.7818E-03 4.4657E+04 2.1516E-03 4.4724E+04 1.8486E-032351 3102
 4.4994E+04 1.5869E-03 4.5355E+04 1.6483E-03 4.5625E+04 2.0264E-032351 3102
 4.5715E+04 2.5952E-03 4.5760E+04 3.3464E-03 4.5805E+04 5.3878E-032351 3102
 4.5827E+04 8.1305E-03 4.5838E+04 1.0837E-02 4.5855E+04 1.9469E-022351 3102
 4.5861E+04 2.5400E-02 4.5867E+04 3.5073E-02 4.5869E+04 4.2436E-022351 3102
 4.5872E+04 5.2755E-02 4.5875E+04 6.7683E-02 4.5878E+04 9.0091E-022351 3102
 4.5879E+04 1.0533E-01 4.5881E+04 1.2430E-01 4.5882E+04 1.4766E-012351 3102
 4.5883E+04 1.7614E-01 4.5885E+04 2.1011E-01 4.5886E+04 2.5043E-012351 3102
 4.5888E+04 2.9683E-01 4.5890E+04 4.0429E-01 4.5893E+04 4.9098E-012351 3102
 4.5895E+04 5.9518E-01 4.5898E+04 6.6129E-01 4.5900E+04 6.7737E-012351 3102
 4.5901E+04 6.7016E-01 4.5902E+04 6.6128E-01 4.5905E+04 5.9516E-012351 3102
 4.5907E+04 4.9504E-01 4.5910E+04 3.7097E-01 4.5912E+04 2.9513E-012351 3102
 4.5913E+04 2.6113E-01 4.5915E+04 2.0316E-01 4.5918E+04 1.5740E-012351 3102
 4.5920E+04 1.2275E-01 4.5922E+04 9.7050E-02 4.5924E+04 7.8222E-022351 3102
 4.5926E+04 6.4227E-02 4.5930E+04 4.5746E-02 4.5934E+04 3.4556E-022351 3102
 4.5938E+04 2.7246E-02 4.5942E+04 2.2197E-02 4.5946E+04 1.8542E-022351 3102
 4.5962E+04 1.0676E-02 4.6003E+04 4.9380E-03 4.6068E+04 2.9340E-032351 3102
 4.6165E+04 2.2499E-03 4.6360E+04 2.0250E-03 4.6554E+04 2.0748E-032351 3102
 4.6944E+04 2.4288E-03 4.7074E+04 2.6292E-03 4.7268E+04 3.0687E-032351 3102
 4.7333E+04 3.2757E-03 4.7463E+04 3.8538E-03 4.7560E+04 4.5385E-032351 3102
 4.7658E+04 5.6940E-03 4.7723E+04 7.0048E-03 4.7755E+04 7.9663E-032351 3102
 4.7771E+04 8.5632E-03 4.7788E+04 9.2722E-03 4.7804E+04 1.0114E-022351 3102
 4.7820E+04 1.1119E-02 4.7828E+04 1.1697E-02 4.7836E+04 1.2341E-022351 3102
 4.7844E+04 1.3057E-02 4.7852E+04 1.3855E-02 4.7861E+04 1.4748E-022351 3102
 4.7869E+04 1.5751E-02 4.7877E+04 1.6882E-02 4.7885E+04 1.8166E-022351 3102
 4.7893E+04 1.9626E-02 4.7901E+04 2.1297E-02 4.7909E+04 2.3217E-022351 3102
 4.7917E+04 2.5439E-02 4.7925E+04 2.8012E-02 4.7934E+04 3.1004E-022351 3102
 4.7938E+04 3.2683E-02 4.7942E+04 3.4509E-02 4.7946E+04 3.6490E-022351 3102
 4.7950E+04 3.8642E-02 4.7954E+04 4.0972E-02 4.7958E+04 4.3507E-022351 3102
 4.7962E+04 4.6258E-02 4.7966E+04 4.9241E-02 4.7970E+04 5.2465E-022351 3102
 4.7974E+04 5.5961E-02 4.7978E+04 5.9733E-02 4.7982E+04 6.3787E-022351 3102
 4.7989E+04 7.1659E-02 4.7997E+04 8.0294E-02 4.8004E+04 8.9406E-022351 3102
 4.8018E+04 1.0725E-01 4.8026E+04 1.1442E-01 4.8033E+04 1.1917E-012351 3102
 4.8040E+04 1.2084E-01 4.8047E+04 1.1919E-01 4.8054E+04 1.1448E-012351 3102
 4.8062E+04 1.0741E-01 4.8069E+04 9.8866E-02 4.8083E+04 8.0602E-022351 3102
 4.8098E+04 6.4246E-02 4.8106E+04 5.6351E-02 4.8114E+04 4.9586E-022351 3102
 4.8123E+04 4.3851E-02 4.8131E+04 3.9014E-02 4.8139E+04 3.4937E-022351 3102
 4.8148E+04 3.1496E-02 4.8164E+04 2.6108E-02 4.8173E+04 2.3996E-022351 3102
 4.8189E+04 2.0634E-02 4.8198E+04 1.9304E-02 4.8214E+04 1.7139E-022351 3102
 4.8231E+04 1.5474E-02 4.8248E+04 1.4198E-02 4.8264E+04 1.3216E-022351 3102
 4.8281E+04 1.2461E-02 4.8314E+04 1.1459E-02 4.8331E+04 1.1162E-022351 3102
 4.8364E+04 1.0873E-02 4.8398E+04 1.0951E-02 4.8431E+04 1.1421E-022351 3102
 4.8481E+04 1.3261E-02 4.8514E+04 1.6069E-02 4.8548E+04 2.2320E-022351 3102
 4.8564E+04 2.9000E-02 4.8573E+04 3.4332E-02 4.8585E+04 4.7276E-022351 3102
 4.8589E+04 5.3928E-02 4.8593E+04 6.2494E-02 4.8598E+04 7.3823E-022351 3102
 4.8602E+04 8.9152E-02 4.8606E+04 1.1074E-01 4.8608E+04 1.2492E-012351 3102
 4.8610E+04 1.4223E-01 4.8612E+04 1.6357E-01 4.8614E+04 1.9023E-012351 3102
