V - 51N,G    1.0000+00* JENDL-3.1                                 2351 3102
 4.3752E+03 6.9642E-01 4.3761E+03 7.6810E-01 4.3766E+03 8.1913E-012351 3102
 4.3770E+03 8.8643E-01 4.3775E+03 9.7759E-01 4.3779E+03 1.1049E+002351 3102
 4.3784E+03 1.2856E+00 4.3786E+03 1.4033E+00 4.3789E+03 1.5443E+002351 3102
 4.3791E+03 1.7121E+00 4.3793E+03 1.9129E+00 4.3796E+03 2.1513E+002351 3102
 4.3798E+03 2.4331E+00 4.3800E+03 2.7640E+00 4.3803E+03 3.1496E+002351 3102
 4.3805E+03 3.5953E+00 4.3807E+03 4.1059E+00 4.3809E+03 4.6823E+002351 3102
 4.3812E+03 5.3315E+00 4.3814E+03 6.0514E+00 4.3816E+03 6.8397E+002351 3102
 4.3819E+03 7.6917E+00 4.3823E+03 9.5519E+00 4.3834E+03 1.3942E+012351 3102
 4.3837E+03 1.5230E+01 4.3841E+03 1.6298E+01 4.3844E+03 1.6974E+012351 3102
 4.3846E+03 1.7317E+01 4.3850E+03 1.7622E+01 4.3855E+03 1.7203E+012351 3102
 4.3858E+03 1.6695E+01 4.3861E+03 1.5951E+01 4.3865E+03 1.4346E+012351 3102
 4.3873E+03 1.1242E+01 4.3876E+03 9.6394E+00 4.3882E+03 7.3952E+002351 3102
 4.3886E+03 6.0807E+00 4.3890E+03 4.9468E+00 4.3891E+03 4.4477E+002351 3102
 4.3893E+03 3.9944E+00 4.3895E+03 3.5856E+00 4.3897E+03 3.2191E+002351 3102
 4.3899E+03 2.8927E+00 4.3901E+03 2.6036E+00 4.3903E+03 2.3500E+002351 3102
 4.3904E+03 2.1262E+00 4.3906E+03 1.9307E+00 4.3908E+03 1.7603E+002351 3102
 4.3912E+03 1.4840E+00 4.3916E+03 1.2767E+00 4.3919E+03 1.1218E+002351 3102
 4.3923E+03 1.0047E+00 4.3927E+03 9.1580E-01 4.3931E+03 8.4681E-012351 3102
 4.3938E+03 7.4884E-01 4.3946E+03 6.8305E-01 4.3953E+03 6.3587E-012351 3102
 4.3961E+03 6.0016E-01 4.3975E+03 5.4965E-01 4.3996E+03 5.0537E-012351 3102
 4.4017E+03 4.7665E-01 4.4037E+03 4.5642E-01 4.4058E+03 4.4095E-012351 3102
 4.4099E+03 4.1872E-01 4.4140E+03 4.0335E-01 4.4223E+03 3.8145E-012351 3102
 4.4305E+03 3.6494E-01 4.4470E+03 3.3876E-01 4.4635E+03 3.1687E-012351 3102
 4.4965E+03 2.7999E-01 4.5295E+03 2.4933E-01 4.5625E+03 2.2348E-012351 3102
 4.5955E+03 2.0153E-01 4.6285E+03 1.8280E-01 4.6615E+03 1.6676E-012351 3102
 4.6945E+03 1.5297E-01 4.7275E+03 1.4106E-01 4.7605E+03 1.3076E-012351 3102
 4.7935E+03 1.2182E-01 4.8595E+03 1.0721E-01 4.9254E+03 9.6014E-022351 3102
 4.9914E+03 8.7397E-02 5.0574E+03 8.0765E-02 5.1234E+03 7.5697E-022351 3102
 5.1894E+03 7.1893E-02 5.2554E+03 6.9138E-02 5.3214E+03 6.7281E-022351 3102
 5.3873E+03 6.6218E-02 5.4533E+03 6.5883E-02 5.5193E+03 6.6243E-022351 3102
 5.5853E+03 6.7290E-02 5.6513E+03 6.9047E-02 5.7173E+03 7.1563E-022351 3102
 5.7833E+03 7.4917E-02 5.8492E+03 7.9227E-02 5.9152E+03 8.4654E-022351 3102
 5.9812E+03 9.1417E-02 6.0472E+03 9.9806E-02 6.1132E+03 1.1021E-012351 3102
