K - 40N,G    1.0000+00* MASGAM                                    1940 3102
                                                                  1940 3102
 1.90400+04 3.9621E+01          0         99          0          01940 3102
 3.0000E+02 1.0094E+07          0          0          1         581940 3102
         58          5                                            1940 3102
 1.0000E-05 1.5090E+03 1.0000E-04 4.7718E+02 1.0000E-03 1.5090E+021940 3102
 1.0000E-02 4.7718E+01 2.5300E-02 3.0000E+01 1.0000E-01 1.5090E+011940 3102
 5.0000E-01 6.7483E+00 1.0000E+00 4.7718E+00 2.1500E+00 3.2543E+001940 3102
 4.6500E+00 2.2129E+00 1.0000E+01 1.5090E+00 1.5000E+01 1.2321E+001940 3102
 2.1500E+01 1.0291E+00 3.0000E+01 8.7121E-01 4.6500E+01 6.9977E-011940 3102
 7.0000E+01 5.7034E-01 1.0000E+02 4.7718E-01 1.5000E+02 3.8962E-011940 3102
 2.1500E+02 3.2543E-01 3.0000E+02 2.7550E-01 4.6500E+02 2.2129E-011940 3102
 7.0000E+02 1.8036E-01 1.0000E+03 1.5090E-01 1.5000E+03 1.2321E-011940 3102
 2.1500E+03 1.0291E-01 3.0000E+03 8.7120E-02 3.0000E+03 1.3137E-011940 3102
 4.6500E+03 9.1720E-02 7.0000E+03 6.5590E-02 1.0000E+04 4.8430E-021940 3102
 1.5000E+04 3.4110E-02 2.1500E+04 2.5040E-02 2.4500E+04 2.2440E-021940 3102
 3.0000E+04 1.9000E-02 4.6500E+04 1.0850E-02 7.0000E+04 7.4100E-031940 3102
 1.0000E+05 5.4200E-03 1.5000E+05 3.8700E-03 2.1500E+05 2.9100E-031940 3102
 3.0000E+05 2.2500E-03 4.6500E+05 1.6800E-03 7.0000E+05 1.3600E-031940 3102
 1.0000E+06 9.8000E-04 1.5000E+06 7.8000E-04 2.1500E+06 8.2000E-041940 3102
 3.0000E+06 8.1000E-04 4.6500E+06 6.2000E-04 7.0000E+06 4.3000E-041940 3102
 1.0000E+07 5.1000E-04 1.2000E+07 5.9000E-04 1.3000E+07 5.9000E-041940 3102
 1.4000E+07 5.7000E-04 1.5000E+07 4.9000E-04 1.6000E+07 4.6000E-041940 3102
 1.7000E+07 4.3000E-04 1.8000E+07 4.0000E-04 1.9000E+07 3.7000E-041940 3102
 2.0000E+07 3.4000E-04                                            1940 3102
                                                                  1940 3  0
