K - 43N,G    1.0000+00* MASGAM                                    1943 3102
                                                                  1943 3102
 1.90430+04 4.2592E+01          0         99          0          01943 3102
 3.0000E+02 7.2901E+06          0          0          1         581943 3102
         58          5                                            1943 3102
 1.0000E-05 5.9485E+01 1.0000E-04 1.8811E+01 1.0000E-03 5.9485E+001943 3102
 1.0000E-02 1.8811E+00 2.5300E-02 1.1826E+00 1.0000E-01 5.9485E-011943 3102
 5.0000E-01 2.6603E-01 1.0000E+00 1.8811E-01 2.1500E+00 1.2829E-011943 3102
 4.6500E+00 8.7230E-02 1.0000E+01 5.9490E-02 1.5000E+01 4.8570E-021943 3102
 2.1500E+01 4.0570E-02 3.0000E+01 3.4340E-02 4.6500E+01 2.7590E-021943 3102
 7.0000E+01 2.2480E-02 1.0000E+02 1.8810E-02 1.5000E+02 1.5360E-021943 3102
 2.1500E+02 1.2830E-02 3.0000E+02 1.0860E-02 4.6500E+02 8.7200E-031943 3102
 7.0000E+02 7.1100E-03 1.0000E+03 5.9500E-03 1.5000E+03 4.8600E-031943 3102
 2.1500E+03 4.0600E-03 3.0000E+03 3.4300E-03 3.0000E+03 1.2041E-011943 3102
 4.6500E+03 8.4920E-02 7.0000E+03 6.1300E-02 1.0000E+04 4.5620E-021943 3102
 1.5000E+04 3.2390E-02 2.1500E+04 2.3960E-02 2.4500E+04 2.1540E-021943 3102
 3.0000E+04 1.8350E-02 4.6500E+04 1.3300E-02 7.0000E+04 1.0110E-021943 3102
 1.0000E+05 8.0200E-03 1.5000E+05 6.1800E-03 2.1500E+05 4.8700E-031943 3102
 3.0000E+05 3.9700E-03 4.6500E+05 3.1100E-03 7.0000E+05 2.4800E-031943 3102
 1.0000E+06 1.2500E-03 1.5000E+06 1.0600E-03 2.1500E+06 1.1000E-031943 3102
 3.0000E+06 1.2100E-03 4.6500E+06 1.0600E-03 7.0000E+06 5.6000E-041943 3102
 1.0000E+07 3.5000E-04 1.2000E+07 4.5000E-04 1.3000E+07 5.2000E-041943 3102
 1.4000E+07 5.7000E-04 1.5000E+07 5.3000E-04 1.6000E+07 5.3000E-041943 3102
 1.7000E+07 5.1000E-04 1.8000E+07 4.9000E-04 1.9000E+07 4.5000E-041943 3102
 2.0000E+07 4.2000E-04                                            1943 3102
                                                                  1943 3  0
